N	2gram	Bakhtin_Fr	VLabPisa
1	таким образом	5	32
2	в этом	22	29
3	не только	24	26
4	и в	105	26
5	может быть	11	23
6	хотя бы	2	20
7	и не	34	20
8	в процессе	2	17
9	не может	9	17
10	в том	17	15
11	в его	24	15
12	этом отношении	5	14
13	прежде всего	26	13
14	все это	16	13
15	в частности	6	12
16	что в	4	11
17	с другой	3	11
18	из них	7	11
19	то же	6	10
20	не могут	4	10
21	но и	20	10
22	и др	32	10
23	о том	5	10
24	к этому	2	9
25	об этом	2	9
26	для него	12	9
27	он пишет	2	9
28	в своем	11	8
29	том что	9	8
30	могут быть	4	8
31	все эти	15	8
32	было бы	4	8
33	только в	16	8
34	это не	4	7
35	из этих	7	7
36	во всех	13	7
37	по отношению	2	7
38	в году	13	7
39	в основном	4	7
40	то что	7	7
41	отношению к	2	7
42	как и	15	7
43	их в	3	7
44	в нем	16	7
45	главным образом	6	7
46	не было	3	7
47	говорит о	2	7
48	же в	4	7
49	не в	4	6
50	в то	5	6
51	в себе	7	6
52	это и	3	6
53	все же	10	6
54	у него	2	6
55	в искусстве	3	6
56	так и	16	6
57	приводит к	2	6
58	один из	5	6
59	художественное творчество	2	6
60	и его	24	6
61	между тем	5	6
62	никогда не	11	5
63	даже в	6	5
64	сказать что	12	5
65	в плане	2	5
66	в одном	8	5
67	и образов	4	5
68	в пределах	3	5
69	в их	6	5
70	не является	4	5
71	одним из	4	5
72	к тому	3	5
73	как бы	33	5
74	в них	13	5
75	в целом	3	5
76	связи с	5	5
77	же время	5	5
78	по поводу	2	4
79	одна из	5	4
80	образов и	5	4
81	роль в	6	4
82	в виду	5	4
83	ее в	2	4
84	что он	5	4
85	в романе	8	4
86	по существу	2	4
87	что для	3	4
88	в единстве	2	4
89	в самом	7	4
90	как раз	3	4
91	в ее	5	4
92	с ними	2	4
93	в своей	8	4
94	в связи	2	4
95	во время	14	4
96	можно сказать	4	4
97	в этой	11	4
98	с его	9	4
99	и от	3	3
100	некоторые из	3	3
101	например в	3	3
102	и к	7	3
103	так же	2	3
104	но как	3	3
105	и он	3	3
106	этот процесс	5	3
107	всех этих	10	3
108	бы в	2	3
109	но даже	2	3
110	в форме	6	3
111	в значительной	9	3
112	в конце	3	3
113	др в	2	3
114	его в	7	3
115	и как	2	3
116	тому как	2	3
117	видеть в	2	3
118	подобно тому	2	3
119	значительной мере	3	3
120	для того	2	3
121	и их	3	3
122	как на	4	3
123	всех других	2	3
124	того что	3	3
125	так называемые	2	3
126	образом в	3	3
127	мы видели	3	3
128	нет и	2	3
129	далеко не	6	3
130	этот вопрос	2	3
131	она не	2	3
132	а в	4	3
133	или меньшей	7	3
134	в творчестве	2	3
135	именно в	6	3
136	точки зрения	10	3
137	даже и	5	3
138	мира и	4	3
139	и образы	4	3
140	между ними	4	3
141	большей или	7	3
142	человека и	4	3
143	разума и	2	3
144	что не	3	3
145	жизни и	14	3
146	того чтобы	3	3
147	что и	2	3
148	и по	3	3
149	или в	2	3
150	что они	2	3
151	вовсе не	25	3
152	в противоположность	3	3
153	не о	2	2
154	в целях	2	2
155	относится к	4	2
156	в книге	3	2
157	да и	5	2
158	на время	4	2
159	на эти	2	2
160	на это	2	2
161	или иной	5	2
162	меньшей степени	8	2
163	и потому	14	2
164	до нас	11	2
165	не подлежит	3	2
166	как например	2	2
167	к этим	2	2
168	еще и	6	2
169	так сказать	5	2
170	другом месте	2	2
171	о чем	3	2
172	одной стороны	2	2
173	можно было	4	2
174	вплоть до	2	2
175	при всей	2	2
176	начиная с	2	2
177	в другом	2	2
178	а о	2	2
179	и даже	10	2
180	вне его	2	2
181	от того	2	2
182	и у	7	2
183	связанное с	2	2
184	связана с	8	2
185	в особенности	7	2
186	в области	10	2
187	и наконец	2	2
188	понятно что	2	2
189	еще не	8	2
190	например у	2	2
191	в течение	3	2
192	всех его	3	2
193	в известной	7	2
194	в чем	2	2
195	сих пор	7	2
196	формы и	7	2
197	с одной	2	2
198	его от	2	2
199	как известно	2	2
200	одной из	3	2
201	так например	3	2
202	в жизни	7	2
203	но не	7	2
204	и для	3	2
205	искусства и	6	2
206	ни с	3	2
207	также и	3	2
208	не менее	2	2
209	на него	2	2
210	только с	3	2
211	но в	16	2
212	на то	2	2
213	в общем	4	2
214	он в	2	2
215	мы наблюдаем	3	2
216	многие из	2	2
217	не вполне	3	2
218	в своих	8	2
219	себе и	2	2
220	в ней	7	2
221	но для	3	2
222	между прочим	2	2
223	на этом	2	2
224	из которых	2	2
225	он и	3	2
226	что мы	2	2
227	с нею	2	2
228	образов в	4	2
229	всяком случае	2	2
230	для них	2	2
231	как пародия	2	2
232	отметить что	2	2
233	а затем	4	2
234	числе и	7	2
235	и дальше	2	2
236	по его	3	2
237	он не	3	2
238	и сам	2	2
239	во всей	4	2
240	из основных	2	2
241	но с	2	2
242	в большей	8	2
243	пародия на	3	2
244	на язык	2	2
245	хотя и	4	2
246	лишь в	4	2
247	том числе	10	2
248	некоторых из	2	2
249	во всяком	2	2
250	подчеркнуть что	2	2
251	до сих	7	2
252	дель арте	4	2
253	в системе	3	2
