N	2gram	Vygotskiy_	Problema
1	и в	55	182
2	то есть	44	165
3	и не	24	152
4	вовсе не	7	145
5	то что	47	144
6	не есть	4	113
7	не только	25	104
8	потому что	27	89
9	в этом	21	88
10	может быть	35	82
11	том что	30	81
12	в том	55	81
13	только в	18	73
14	сказать что	12	72
15	но и	12	70
16	у нас	4	68
17	также и	2	68
18	и даже	11	66
19	по себе	21	64
20	не менее	9	58
21	о том	11	57
22	так и	6	56
23	тем не	6	56
24	а не	18	56
25	но в	5	55
26	так что	8	52
27	ни в	9	51
28	для нас	5	50
29	и вообще	3	48
30	отнюдь не	11	48
31	в себе	6	48
32	при помощи	27	47
33	смысле слова	4	47
34	было бы	14	46
35	в своей	6	45
36	прежде всего	5	45
37	что в	39	44
38	в его	8	44
39	все эти	7	43
40	не в	19	43
41	таким образом	38	42
42	как раз	4	42
43	то же	17	42
44	если мы	21	42
45	так как	28	40
46	что мы	9	40
47	и то	4	40
48	что он	17	40
49	и что	28	40
50	не может	30	39
51	в этой	5	39
52	и тем	5	39
53	во всяком	9	39
54	как бы	11	39
55	никак не	7	37
56	хотя бы	4	37
57	того что	15	37
58	в нем	5	37
59	еще не	2	36
60	есть нечто	4	36
61	точки зрения	32	36
62	и все	8	36
63	и т	36	35
64	когда мы	4	35
65	в виду	6	34
66	и с	5	34
67	указывает на	6	34
68	как и	25	34
69	уже не	3	34
70	не является	5	33
71	в таком	5	33
72	т д	10	33
73	же самое	8	33
74	в то	8	32
75	едва ли	5	32
76	но не	5	32
77	в своем	3	31
78	в конце	6	31
79	связи с	2	31
80	все это	11	31
81	что такое	2	31
82	так же	29	31
83	но это	3	31
84	ясно что	22	30
85	с другой	7	30
86	и для	9	30
87	в настоящее	2	30
88	настоящее время	2	30
89	как мы	2	29
90	все же	9	29
91	об этом	3	29
92	в связи	3	29
93	можно сказать	2	29
94	и о	4	28
95	что же	4	28
96	есть только	7	28
97	мы не	15	28
98	а в	10	28
99	и как	9	27
100	ничего не	4	27
101	и это	6	27
102	хотя и	3	27
103	в результате	4	26
104	как будто	10	26
105	вместе с	10	26
106	другой стороны	7	26
107	и его	14	26
108	тем самым	2	25
109	с точки	12	25
110	и на	6	25
111	мы можем	6	25
112	всяком случае	7	25
113	на самом	6	24
114	не имеет	3	24
115	с тем	11	24
116	а только	4	23
117	мы находим	2	23
118	на то	17	23
119	таком случае	3	23
120	есть не	6	23
121	при этом	28	23
122	конце концов	6	23
123	в качестве	3	23
124	по своему	2	23
125	то и	2	23
126	никогда не	13	22
127	и если	4	22
128	сам по	4	22
129	его в	3	22
130	и есть	5	22
131	только на	7	22
132	что и	27	22
133	можно ли	2	22
134	и от	4	22
135	есть в	7	22
136	и к	5	22
137	мы должны	4	21
138	и ее	4	21
139	и без	3	21
140	для себя	2	21
141	сама по	2	21
142	в самом	18	21
143	и только	5	21
144	и потому	2	20
145	но как	4	20
146	для того	12	20
147	о чем	2	20
148	можно было	4	20
149	несмотря на	8	20
150	или в	2	20
151	тем что	7	20
152	в отношении	3	19
153	в каком	3	19
154	но если	2	19
155	как нечто	3	19
156	того или	2	19
157	то в	2	19
158	если бы	10	19
159	но только	6	19
160	то это	3	19
161	он не	8	19
162	с ним	2	19
163	уже в	3	19
164	самом деле	19	19
165	в них	4	19
166	это есть	6	19
167	как в	17	19
168	этом смысле	3	19
169	жизни и	5	19
170	того же	3	18
171	не будет	4	18
172	того чтобы	13	18
173	в ее	7	18
174	в этих	6	18
175	не было	5	18
176	не существует	4	18
177	в ней	3	18
178	что здесь	2	17
179	гораздо более	2	17
180	значение и	3	17
181	и здесь	3	17
182	в языке	3	17
183	без всякого	2	17
184	это и	3	17
185	совсем не	3	17
186	что они	7	17
187	тех или	2	17
188	совершенно не	7	17
189	во всех	4	17
190	но даже	4	16
191	к тому	8	16
192	художественного произведения	22	16
193	далеко не	7	16
194	как это	8	16
195	точно так	6	16
196	случае не	2	16
197	что она	11	16
198	будто бы	2	16
199	в чем	5	15
200	и более	3	15
201	казалось бы	4	15
202	в частности	6	15
203	у него	4	15
204	что не	2	15
205	с этим	7	15
206	в той	2	15
207	и сам	3	15
208	нет никакой	3	14
209	не что	2	14
210	не так	2	14
211	что все	10	14
212	говорит о	4	14
213	за пределы	2	14
214	уже и	2	14
215	людей и	2	14
216	иное как	2	14
217	что иное	2	14
218	сих пор	8	14
219	нас в	2	14
220	искусства и	24	14
221	в котором	5	14
222	нас не	2	14
223	с другими	2	14
224	то ни	2	14
225	только о	3	14
226	до сих	8	14
227	только при	4	13
228	который в	3	13
229	дело в	2	13
230	в других	3	13
231	из этого	5	13
232	в их	4	13
233	бы и	5	13
234	тому что	7	13
235	мы имеем	7	13
236	в области	12	13
237	мы в	3	13
238	же и	2	13
239	сами по	4	13
240	ни на	3	13
241	из них	4	13
242	что этот	3	12
243	в басне	5	12
244	в которой	6	12
245	с одной	6	12
246	в самой	2	12
247	и очень	2	12
248	в целом	8	12
249	что это	12	12
250	время как	6	12
