N	4gram	Tiupa_Narr	Narrotol
1	в то же время	3	8
2	состоит в том что	2	6
3	во времени и пространстве	4	5
4	свободен теперь как птица	2	4
5	обращает на себя внимание	3	3
6	матери и племянницы в	3	3
7	точно так же как	2	2
8	он прямо родился монахом	2	2
9	как будто он прямо	2	2
10	бы отдал только бы	2	2
11	бы быть прочитан как	2	2
12	быстро весело постукивая палочкой	2	2
13	в той или иной	2	2
14	захотелось вдруг за границу	3	2
15	которым можно было бы	2	2
16	идет по полю быстро	2	2
17	по полю быстро весело	2	2
18	от эпизода к эпизоду	2	2
19	полю быстро весело постукивая	2	2
20	на протяжении этого эпизода	2	2
21	будто он прямо родился	2	2
22	мог бы быть прочитан	2	2
