N	3gram	Propp_Isto	Problemy
1	по отношению к	6	18
2	на самом деле	2	15
3	не может быть	8	14
4	в большинстве случаев	4	12
5	до сих пор	11	10
6	с самого начала	4	9
7	с другой стороны	7	9
8	друг с другом	3	8
9	в том что	6	8
10	бы то ни	2	7
11	и т д	35	7
12	в отличие от	3	6
13	то ни было	2	6
14	подобно тому как	3	5
15	и в нем	2	5
16	в зависимости от	3	5
17	можно было бы	5	5
18	но все же	7	5
19	тем не менее	7	4
20	более или менее	5	4
21	о том что	5	4
22	само по себе	2	4
23	большей или меньшей	2	3
24	в то время	3	3
25	на то что	5	3
26	как мы увидим	2	3
27	все же не	2	3
28	на этот вопрос	2	3
29	то время как	3	3
30	в этом случае	3	3
31	мы увидим что	8	3
32	а может быть	2	3
33	то же самое	3	2
34	то что в	2	2
35	что он не	4	2
36	мы должны были	2	2
37	как один из	2	2
38	не только в	5	2
39	оно может быть	2	2
40	вместе с тем	7	2
41	дело в том	3	2
42	как будто бы	2	2
43	в этих случаях	10	2
