N	2gram	Ircho_Kome	Problemy
1	и в	40	106
2	и не	19	90
3	как бы	3	70
4	может быть	16	66
5	т е	14	59
6	в его	8	56
7	в этом	9	52
8	в нем	8	51
9	не может	3	49
10	что он	11	44
11	как и	12	44
12	но и	14	40
13	точки зрения	7	40
14	и его	17	39
15	не только	12	36
16	то же	7	36
17	то что	8	33
18	но в	6	33
19	прежде всего	8	32
20	в то	14	29
21	все это	7	29
22	он не	5	29
23	и все	4	28
24	не в	8	27
25	в одном	10	27
26	же время	5	26
27	к нему	5	25
28	в сущности	3	25
29	и т	11	25
30	в самом	5	25
31	и с	8	25
32	вовсе не	3	24
33	и на	9	23
34	таким образом	13	22
35	в каждом	2	22
36	по себе	2	22
37	как мы	5	21
38	все же	7	20
39	потому что	8	20
40	только в	6	20
41	что в	12	19
42	с его	4	19
43	отношению к	5	19
44	что же	2	19
45	в себе	3	18
46	по отношению	5	18
47	т п	7	18
48	еще не	7	18
49	но не	3	18
50	это не	2	17
51	в том	19	17
52	так и	17	17
53	а в	9	17
54	и к	2	17
55	так же	4	16
56	в другом	5	16
57	если бы	4	16
58	в своей	3	16
59	этом смысле	2	16
60	до конца	3	15
61	и для	4	15
62	у него	6	15
63	в отношении	6	14
64	так как	6	14
65	в своем	6	14
66	в конце	7	14
67	и сам	5	14
68	как раз	4	14
69	его в	6	13
70	и это	3	13
71	большинстве случаев	2	13
72	в целом	6	13
73	в мире	3	13
74	на него	4	13
75	но все	4	13
76	в большинстве	2	13
77	том что	19	12
78	даже в	3	12
79	ничего не	4	12
80	так что	6	12
81	к тому	15	12
82	между тем	9	12
83	что и	10	12
84	при этом	5	12
85	было бы	8	12
86	во всяком	4	12
87	но это	2	12
88	за пределы	2	12
89	и даже	5	12
90	и как	3	12
91	как в	8	12
92	в котором	6	12
93	и что	2	12
94	в форме	2	11
95	конце концов	4	11
96	ни одного	2	11
97	это слово	4	11
98	бы в	3	11
99	тем что	5	11
100	с другой	7	11
101	как будто	3	11
102	отношение к	3	10
103	для себя	2	10
104	самого начала	2	10
105	до сих	3	10
106	сих пор	3	10
107	в самой	2	10
108	той же	3	10
109	с самого	3	9
110	или в	5	9
111	могут быть	3	9
112	в них	7	9
113	хотя и	6	9
114	да и	5	9
115	другой стороны	6	9
116	хотя бы	2	9
117	человека в	2	9
118	что у	6	9
119	точек зрения	2	9
120	ни в	9	9
121	зрения на	2	9
122	всяком случае	4	9
123	в той	2	9
124	но он	2	9
125	уже в	9	8
126	наконец в	3	8
127	одним из	3	8
128	и о	3	8
129	несмотря на	5	8
130	же не	2	8
131	с ними	2	8
132	из его	6	8
133	и от	2	8
134	что это	5	8
135	все время	2	8
136	с их	4	8
137	ни было	4	8
138	в результате	5	8
139	о том	12	8
140	и у	3	8
141	из них	16	8
142	вопрос о	5	7
143	и следовательно	2	7
144	в этих	5	7
145	в их	6	7
146	в виде	3	7
147	в виду	2	7
148	тем как	2	7
149	только на	2	7
150	то ни	4	7
151	что они	4	7
152	и ее	5	7
153	тот же	5	7
154	бы то	4	7
155	его с	2	7
156	друг другу	2	7
157	что она	3	7
158	т д	4	7
159	и их	3	7
160	такой же	2	7
161	во всех	4	7
162	на этот	5	7
163	слова о	2	7
164	в себя	3	7
165	идет о	5	6
166	как он	2	6
167	отличие от	4	6
168	не менее	6	6
169	на его	5	6
170	себя в	2	6
171	и во	4	6
172	во время	11	6
173	должна была	3	6
174	и здесь	6	6
175	одна из	4	6
176	для этого	2	6
177	с этим	5	6
178	в начале	7	6
179	его творчества	4	6
180	можно было	5	6
181	за ним	2	6
182	и вот	4	6
183	друг друга	2	6
184	в отличие	3	6
185	в этой	9	6
186	на то	3	6
187	в своих	2	6
188	на этом	3	6
189	жизни и	4	6
190	как на	2	6
191	не мог	4	6
192	к которому	4	5
193	здесь мы	3	5
194	по своему	5	5
195	с тем	5	5
196	тому что	4	5
197	в общем	2	5
198	того же	4	5
199	на себя	5	5
200	в чем	3	5
201	однако в	4	5
202	один из	9	5
203	мы не	4	5
204	и самого	3	5
205	в ее	2	5
206	мира в	5	5
207	где он	2	5
208	на протяжении	14	5
209	нет и	2	5
210	тому же	14	5
211	именно в	5	5
212	с собой	2	5
213	в ней	2	5
214	вместе с	8	5
215	тем не	3	4
216	в духе	3	4
217	от того	3	4
218	из которых	5	4
219	или менее	2	4
220	каждый из	3	4
221	мы видели	2	4
222	от них	3	4
223	теперь в	2	4
224	в эту	2	4
225	а то	3	4
226	и без	3	4
227	то это	3	4
228	его творчестве	2	4
229	здесь в	4	4
230	находится в	2	4
231	протяжении всего	3	4
232	связи с	3	4
233	он был	4	4
234	в первом	2	4
235	быть даже	2	4
236	которую он	3	4
237	в первой	2	4
238	всего этого	2	4
239	хоть и	7	4
240	время как	6	4
241	то и	3	4
242	в литературе	2	4
243	в которой	9	4
244	это было	5	4
245	с ее	2	4
246	к концу	3	4
247	только что	2	4
248	об этом	2	4
249	этом отношении	3	4
250	с этой	3	4
251	времени и	2	4
252	жизнь и	2	4
253	именно потому	2	4
254	все что	3	4
255	еще более	2	4
256	и если	2	4
257	со своим	6	4
258	еще в	9	4
259	за собой	3	4
260	или к	2	3
261	о чем	2	3
262	ни одной	3	3
263	которые в	3	3
264	по своей	2	3
265	которых мы	2	3
266	мы знаем	5	3
267	в руках	4	3
268	может служить	2	3
269	так в	6	3
270	что на	4	3
271	почти не	2	3
