N	2gram	Bakhtin_fo	Marksizm
1	точки зрения	14	69
2	может быть	18	64
3	и в	84	63
4	и не	19	55
5	как бы	11	53
6	не может	8	47
7	с точки	9	46
8	и пр	2	42
9	и его	26	41
10	в этом	41	39
11	таким образом	14	38
12	в процессе	4	33
13	как мы	19	32
14	в пределах	8	31
15	лишь в	8	30
16	не только	16	29
17	речи в	2	29
18	в нем	28	28
19	то же	18	28
20	но и	14	27
21	самом деле	2	25
22	связи с	14	25
23	прежде всего	28	24
24	как и	15	24
25	в самом	9	24
26	так и	17	23
27	и т.п	6	23
28	только в	12	23
29	в том	16	22
30	то что	13	22
31	а не	7	22
32	при этом	8	20
33	так сказать	14	20
34	для него	5	20
35	если мы	2	20
36	том что	7	19
37	не в	10	19
38	в его	19	19
39	если бы	6	19
40	на почве	2	19
41	но в	16	18
42	в ее	6	18
43	и для	12	18
44	вовсе не	20	18
45	все же	12	17
46	в сущности	5	17
47	в то	13	16
48	по отношению	3	16
49	и как	12	16
50	слова и	4	16
51	что он	2	15
52	в связи	13	15
53	во всех	13	15
54	отношению к	5	15
55	отнюдь не	7	15
56	же время	13	15
57	с помощью	5	15
58	в данном	4	14
59	хотя бы	2	14
60	в смысле	5	14
61	ничего не	9	13
62	так же	7	13
63	мы не	4	13
64	того чтобы	11	13
65	было бы	2	13
66	в своей	2	13
67	не является	4	13
68	и здесь	2	13
69	что в	9	13
70	выражение в	3	12
71	в результате	6	12
72	а в	6	12
73	того же	9	12
74	в основе	9	12
75	для того	12	12
76	является не	2	12
77	он не	6	12
78	друг друга	3	11
79	как в	10	11
80	и все	10	11
81	и на	13	11
82	в ней	4	11
83	сих пор	4	11
84	не столько	2	11
85	все эти	12	11
86	на материале	3	11
87	и от	3	11
88	так как	12	11
89	еще не	8	11
90	и того	7	11
91	мы уже	17	11
92	до сих	4	11
93	никогда не	8	10
94	его в	8	10
95	и потому	4	10
96	в каждом	2	10
97	в основном	12	10
98	отличие от	3	10
99	самого начала	3	10
100	здесь мы	4	10
101	более того	4	10
102	с самого	3	10
103	здесь в	6	10
104	во всяком	5	10
105	с его	10	10
106	сказать что	4	10
107	одна из	3	10
108	к этому	5	10
109	в своем	8	10
110	совершенно не	3	10
111	в отличие	3	10
112	с другой	4	10
113	именно в	5	10
114	конечно не	7	10
115	в таком	4	10
116	в большинстве	3	10
117	и следовательно	5	9
118	в себе	7	9
119	одного и	6	9
120	а как	3	9
121	это не	8	9
122	только на	3	9
123	мы видели	2	9
124	одной из	3	9
125	и это	5	9
126	к тому	6	9
127	большинстве случаев	2	9
128	в истории	6	9
129	в нашем	3	9
130	рядом с	4	9
131	и эта	2	9
132	не имеет	5	9
133	как если	2	9
134	и более	3	9
135	ни в	9	9
136	точка зрения	4	9
137	же самое	2	9
138	быть и	4	9
139	в каком	2	8
140	в отношении	5	8
141	или иной	4	8
142	и ее	4	8
143	не как	2	8
144	в форме	5	8
145	и т.д	2	8
146	в их	9	8
147	с этим	11	8
148	на этой	4	8
149	что не	3	8
150	что и	5	8
151	этого слова	2	8
152	и даже	5	8
153	мы можем	2	8
154	кроме того	7	8
155	в данной	2	8
156	и их	11	8
157	у нас	2	8
158	в свою	2	8
159	и с	10	8
160	не было	8	8
161	к другому	2	8
162	у него	8	8
163	ясно что	2	8
164	до конца	5	7
165	бы он	2	7
166	того что	5	7
167	по себе	3	7
168	те же	5	7
169	место в	4	7
170	и те	4	7
171	могут быть	7	7
172	там где	4	7
173	в качестве	6	7
174	в этой	3	7
175	в начале	3	7
176	прямой и	2	7
177	в этих	6	7
178	далеко не	3	7
179	о том	4	7
180	в котором	8	7
181	той же	2	7
182	он сам	2	7
183	как раз	13	7
184	на основе	5	7
185	вполне понятно	4	7
186	вопрос о	2	6
187	мы должны	2	6
188	не имеют	4	6
189	то есть	42	6
190	в другом	2	6
191	характерно что	5	6
192	в точном	3	6
193	в различных	2	6
194	одной стороны	3	6
195	здесь же	2	6
196	должны быть	2	6
197	все это	10	6
198	с ее	7	6
199	тот же	4	6
200	этот процесс	5	6
201	с другими	3	6
202	из этих	5	6
203	как оно	2	6
204	же в	6	6
205	точном смысле	3	6
