N	3gram	Vygotskiy_	Dialekti
1	это значит что	6	47
2	с точки зрения	11	46
3	в том что	41	25
4	не может быть	5	18
5	не что иное	2	18
6	что иное как	2	18
7	само по себе	3	16
8	тем не менее	6	16
9	сам по себе	2	16
10	одно и то	6	12
11	и то же	6	12
12	о том что	3	12
13	с другой стороны	5	12
14	на то что	5	11
15	в самом деле	4	10
16	содержит в себе	2	9
17	и в этом	2	9
18	в то время	5	8
19	в этом смысле	7	8
20	то время как	5	8
21	та или иная	3	8
22	той или иной	2	7
23	сами по себе	4	7
24	точно так же	4	7
25	в связи с	8	7
26	более или менее	3	6
27	для того чтобы	14	6
28	то что мы	2	6
29	во всяком случае	10	6
30	в зависимости от	6	6
31	с одной стороны	8	6
32	только потому что	2	6
33	то и другое	5	5
34	на первый план	5	5
35	ничего общего с	2	5
36	до сих пор	3	5
37	одной и той	5	5
38	и той же	5	5
39	в том смысле	3	5
40	по сравнению с	4	5
41	то же самое	9	4
42	из того что	3	4
43	так же как	9	4
44	так как она	2	4
45	этой точки зрения	4	4
46	с этой точки	4	4
47	того и другого	2	4
48	в этом отношении	9	4
49	можно было бы	8	4
50	том смысле что	2	4
51	в одинаковой мере	2	4
52	связи с этим	2	4
53	же как и	6	3
54	и как бы	2	3
55	лежит в основе	3	3
56	с самого начала	6	3
57	как и в	3	3
58	если бы мы	2	3
59	речь идет о	2	3
60	же что и	2	3
61	ни в какой	5	3
62	в себе и	2	3
63	принять во внимание	2	3
64	того или иного	2	3
65	что он не	2	2
66	и что оно	2	2
67	но так как	2	2
68	мы не можем	2	2
69	если принять во	2	2
70	заключается только в	2	2
71	мы никогда не	3	2
72	не больше чем	2	2
73	друг с другом	10	2
74	мы должны сказать	2	2
75	что в основе	7	2
76	к выводу что	2	2
77	во внимание что	2	2
78	в обоих случаях	2	2
79	друг от друга	2	2
80	в последнее время	4	2
81	с первого взгляда	2	2
82	хотя бы и	2	2
83	том что в	3	2
84	мы видим что	2	2
85	в собственном смысле	12	2
86	имеет место в	2	2
87	что и в	6	2
88	так как он	2	2
89	то что с	2	2
90	и в отношении	3	2
91	так как это	2	2
92	в свою очередь	3	2
93	и вместе с	2	2
94	и то что	3	2
95	должны сказать что	2	2
