N	2gram	Nazirov_Tv	UchenyiS
1	и в	40	14
2	не только	16	10
3	а не	9	10
4	и не	12	8
5	прежде всего	10	8
6	то что	9	7
7	не может	9	7
8	вот почему	3	7
9	в этом	11	7
10	в искусстве	3	6
11	может быть	11	6
12	и только	2	5
13	то же	19	5
14	хотя бы	5	5
15	все это	14	5
16	в конечном	4	4
17	но и	10	4
18	в этой	7	4
19	конечном счете	4	4
20	с другой	4	4
21	в россии	5	4
22	в их	5	4
23	у нас	2	3
24	в частности	4	3
25	это не	9	3
26	вряд ли	2	3
27	в своей	8	3
28	все же	9	3
29	нашему мнению	9	3
30	как и	16	3
31	в то	23	3
32	но в	11	3
33	же время	18	3
34	по нашему	9	3
35	было бы	2	3
36	другой стороны	2	3
37	для него	9	3
38	в самом	6	2
39	в себе	3	2
40	и у	3	2
41	же не	2	2
42	на эту	4	2
43	что он	11	2
44	надо было	2	2
45	крайней мере	4	2
46	таким образом	14	2
47	но не	7	2
48	если бы	4	2
49	не все	2	2
50	между тем	2	2
51	самом деле	4	2
52	только в	7	2
53	одним из	6	2
54	не есть	2	2
55	что она	5	2
56	ничего не	3	2
57	и с	9	2
58	не случайно	6	2
59	что и	3	2
60	по крайней	4	2
61	могут быть	4	2
62	и через	4	2
63	не могут	2	2
64	превращается в	2	2
65	по себе	2	2
66	тем что	2	2
67	том что	14	2
68	а как	2	2
69	в его	19	2
70	это уже	7	2
71	сводится к	2	2
72	в том	13	2
73	что все	4	2
74	если не	4	2
75	с его	12	2
76	как раз	2	2
77	его и	2	2
78	но это	10	2
79	не в	3	2
80	нам представляется	2	2
81	в конце	5	2
82	мы не	3	2
83	не столько	4	2
