N	2gram	Bakhtin_sl	SlovoVZh
1	не может	27	16
2	точки зрения	24	14
3	может быть	40	14
4	и его	45	13
5	как бы	16	13
6	и в	69	12
7	таким образом	16	12
8	отношению к	2	11
9	по отношению	2	11
10	и не	32	10
11	так как	7	9
12	прежде всего	14	8
13	для нас	7	7
14	сказать что	4	7
15	слова и	21	6
16	все время	4	6
17	при этом	12	6
18	в том	7	6
19	в нем	44	6
20	только в	9	6
21	в процессе	14	6
22	с помощью	5	6
23	в ней	7	6
24	никогда не	9	5
25	как в	18	5
26	к предмету	4	5
27	в виду	2	5
28	можно сказать	2	5
29	но в	13	5
30	том что	6	5
31	то же	17	5
32	как и	8	5
33	и следовательно	8	5
34	героя и	5	5
35	должна быть	3	5
36	хотя бы	6	5
37	а не	29	5
38	то что	2	5
39	и др	17	5
40	в самом	6	4
41	в этом	21	4
42	не только	37	4
43	на самом	2	4
44	его в	7	4
45	зависимости от	4	4
46	жизни и	5	4
47	мы все	2	4
48	не в	14	4
49	к автору	2	4
50	высказывания как	2	4
51	ни было	2	4
52	с другой	8	4
53	все же	10	4
54	дело в	2	4
55	к нему	7	4
56	за пределы	6	4
57	и к	9	4
58	так и	22	4
59	и на	17	4
60	уже не	5	4
61	свое выражение	3	4
62	отношение к	8	4
63	как к	5	3
64	в них	11	3
65	в поэзии	4	3
66	по себе	4	3
67	и вообще	2	3
68	о том	5	3
69	и для	7	3
70	слово в	18	3
71	да и	2	3
72	внутренней речи	3	3
73	и проч	4	3
74	из этого	3	3
75	ни в	4	3
76	все эти	15	3
77	в котором	2	3
78	и наконец	9	3
79	так же	2	3
80	в своей	8	3
81	мы не	4	3
82	конечно не	7	3
83	точка зрения	10	3
84	в себе	3	3
85	нуждается в	3	3
86	еще не	9	3
87	здесь не	6	3
88	все это	14	3
89	только на	3	3
90	и ее	3	3
91	в некоторых	3	3
92	между тем	5	3
93	и с	10	3
94	точек зрения	8	3
95	социальной группы	2	3
96	не менее	4	3
97	сих пор	4	3
98	с ним	12	3
99	до сих	4	3
100	отношении к	9	3
101	быть и	6	3
102	в пределах	27	3
103	произведения и	2	3
104	и по	3	3
105	формы и	3	3
106	того что	4	3
107	тем не	2	3
108	и более	3	3
109	но и	37	3
110	для него	8	3
111	каждый момент	2	2
112	в особенности	10	2
113	одно и	3	2
114	автором и	3	2
115	конечно в	2	2
116	и то	2	2
117	в его	19	2
118	данном случае	3	2
119	до конца	25	2
120	слушателя и	5	2
121	и здесь	5	2
122	что в	3	2
123	к ним	2	2
124	стороны и	3	2
125	в отношении	9	2
126	не есть	2	2
127	как уже	2	2
128	место в	2	2
129	слова так	2	2
130	ничего не	5	2
131	речи в	5	2
132	словом и	9	2
133	с его	8	2
134	и те	3	2
135	идеологического творчества	3	2
136	в атмосфере	2	2
137	оценок и	4	2
138	что и	2	2
139	это не	8	2
140	более того	5	2
141	и все	9	2
142	кроме того	6	2
143	там где	10	2
144	слова но	2	2
145	с точки	11	2
146	она не	8	2
147	но все	2	2
148	к слову	2	2
149	в своем	9	2
150	на все	3	2
151	дело с	4	2
152	все они	9	2
153	в зависимости	4	2
154	в данном	5	2
155	но мы	2	2
156	с другими	8	2
157	из него	4	2
158	высказывания и	3	2
159	не остается	2	2
160	и что	2	2
161	в то	17	2
162	себя и	2	2
163	перестает быть	2	2
164	те же	3	2
165	уже в	2	2
166	вместе со	2	2
167	смысл и	3	2
168	с этой	3	2
169	в этих	8	2
170	одной стороны	7	2
171	влияние на	3	2
172	еще раз	3	2
173	связь с	2	2
174	в основном	7	2
175	и другие	3	2
176	но это	3	2
177	в условиях	3	2
178	на материале	2	2
179	за его	2	2
180	он не	5	2
181	в какой	2	2
182	героев и	2	2
183	подчеркнуть что	2	2
184	оценки и	2	2
185	как только	4	2
186	точку зрения	6	2
187	и потому	9	2
188	и поэтическое	3	2
189	может стать	3	2
190	его как	3	2
191	оно не	12	2
192	но не	7	2
193	как это	3	2
194	автора и	6	2
195	в себя	3	2
196	контекста в	2	2
197	на один	2	2
198	до известной	3	2
199	могут быть	25	2
200	сливается с	6	2
201	в чем	2	2
202	между собой	3	2
203	в форме	3	2
204	быть только	3	2
205	со словом	4	2
206	с одной	7	2
207	выражение в	4	2
208	и самое	3	2
209	и оценки	2	2
210	к этому	3	2
211	нашего сознания	2	2
212	между ними	2	2
213	тогда когда	2	2
214	и слово	4	2
215	известной степени	6	2
216	от этой	3	2
217	другой стороны	5	2
218	самое слово	2	2
219	вместе с	3	2
