N	3gram	Tiupa_Vved	RusskieA
1	в том что	10	49
2	состоит в том	2	29
3	тем не менее	3	14
4	о том что	6	10
5	в том чтобы	2	9
6	в данном случае	15	8
7	подобно тому как	3	8
8	как мы видели	3	6
9	не может быть	6	6
10	во всяком случае	3	4
11	можно было бы	2	4
12	в этих случаях	2	4
13	в отличие от	11	4
14	более или менее	2	3
15	по отношению к	11	3
16	у нас нет	2	3
17	на то что	2	3
18	в свою очередь	5	3
19	на самом деле	4	2
20	в этом отношении	7	2
21	как и в	2	2
22	не только в	3	2
23	с одной стороны	9	2
24	пока еще не	4	2
25	с другой стороны	2	2
