N	2gram	Vinokur_Vv	VelikijI
1	и не	13	20
2	и в	35	16
3	так как	15	9
4	то что	19	9
5	еще не	4	8
6	в истории	9	8
7	и потому	2	7
8	что они	2	7
9	а не	5	7
10	не есть	5	6
11	как бы	7	5
12	но и	7	5
13	все это	6	5
14	хотя и	5	5
15	того что	12	5
16	это еще	2	4
17	как и	7	4
18	в котором	4	4
19	потому что	18	4
20	в нем	13	4
21	в ней	3	4
22	что не	5	4
23	что мы	2	4
24	в его	12	4
25	говорить о	5	4
26	в этом	35	4
27	что он	5	4
28	и есть	3	4
29	так и	2	4
30	никогда не	3	3
31	что в	13	3
32	в том	38	3
33	и для	4	3
34	от этого	5	3
35	не имеет	4	3
36	тому что	2	3
37	но в	10	3
38	к тому	4	3
39	любовь к	4	3
40	то это	3	3
41	но это	2	3
42	бы и	3	3
43	должно быть	2	3
44	хотя бы	6	3
45	в своей	4	3
46	во всех	2	3
47	в конце	3	3
48	по этому	3	3
49	в них	5	3
50	жизни и	2	3
51	что и	5	3
52	не было	2	3
53	и что	6	3
54	не в	10	3
55	все эти	3	3
56	в этих	3	3
57	должна быть	2	3
58	в чем	4	3
59	и то	7	2
60	с тем	6	2
61	да и	4	2
62	одна из	3	2
63	но не	9	2
64	в прошлом	2	2
65	не могли	2	2
66	и это	6	2
67	это не	8	2
68	не только	26	2
69	не могут	6	2
70	а в	6	2
71	том что	30	2
72	истории и	4	2
73	на том	3	2
74	его к	2	2
75	государства и	2	2
76	а между	2	2
77	во всяком	5	2
78	и тогда	3	2
79	уже не	6	2
80	могут быть	6	2
81	не к	2	2
82	которые не	2	2
83	один из	6	2
84	т д	39	2
85	для них	2	2
86	того чтобы	22	2
87	тем что	6	2
88	вот почему	3	2
89	мы не	2	2
90	можно было	8	2
91	только в	16	2
92	до того	2	2
93	и сам	3	2
94	в форме	2	2
95	все равно	2	2
96	прежде всего	10	2
97	и т	45	2
98	между тем	10	2
99	а с	2	2
100	в число	2	2
101	не с	3	2
