N	2gram	Berdyaev_M	Marksizm
1	точки зрения	6	69
2	может быть	42	64
3	и в	61	63
4	и не	26	55
5	как бы	10	53
6	не может	39	47
7	и его	13	41
8	в этом	34	39
9	лишь в	8	30
10	не только	42	29
11	в нем	26	28
12	то же	4	28
13	но и	34	27
14	самом деле	2	25
15	прежде всего	18	24
16	как и	14	24
17	в самом	15	24
18	так и	5	23
19	только в	7	23
20	в том	9	22
21	то что	10	22
22	а не	36	22
23	– в	2	21
24	для него	28	20
25	том что	7	19
26	не в	16	19
27	в его	10	19
28	если бы	5	19
29	на почве	3	19
30	но в	12	18
31	в ее	3	18
32	и для	7	18
33	все же	2	17
34	в сущности	2	17
35	это –	32	17
36	в то	2	16
37	по отношению	4	16
38	и как	3	16
39	что он	16	15
40	во всех	3	15
41	отношению к	4	15
42	– не	6	15
43	хотя бы	8	14
44	– это	2	14
45	ничего не	4	13
46	так же	5	13
47	мы не	2	13
48	того чтобы	4	13
49	было бы	11	13
50	в своей	18	13
51	и здесь	6	13
52	что в	12	13
53	а в	4	12
54	в основе	4	12
55	в высшей	4	12
56	для того	4	12
57	высшей степени	4	12
58	он не	34	12
59	между тем	2	12
60	на самом	2	11
61	друг друга	12	11
62	как в	9	11
63	и все	13	11
64	к нему	8	11
65	и на	9	11
66	в ней	23	11
67	сих пор	5	11
68	все эти	3	11
69	и от	3	11
70	так как	10	11
71	и что	4	11
72	до сих	5	11
73	никогда не	30	10
74	его в	6	10
75	и потому	17	10
76	в каждом	4	10
77	с его	6	10
78	сказать что	5	10
79	к этому	3	10
80	в своем	17	10
81	конечно не	3	10
82	в себе	12	9
83	а как	2	9
84	это не	10	9
85	и это	16	9
86	к тому	6	9
87	в истории	2	9
88	в нашем	2	9
89	что это	5	9
90	и эта	3	9
91	не имеет	7	9
92	отношении к	4	9
93	и более	2	9
94	ни в	3	9
95	быть и	2	9
96	в каком	2	8
97	в отношении	6	8
98	и ее	2	8
99	не как	4	8
100	в их	4	8
101	с этим	4	8
102	тому что	2	8
103	что не	3	8
104	не будет	3	8
105	что и	6	8
106	– говорит	6	8
107	за пределы	5	8
108	мысли и	2	8
109	и их	3	8
110	у нас	13	8
111	в свою	5	8
112	и с	6	8
113	не было	25	8
114	к другому	4	8
115	у него	38	8
116	до конца	16	7
117	от него	4	7
118	бы он	2	7
119	того что	13	7
120	по себе	2	7
121	те же	5	7
122	место в	4	7
123	и те	4	7
124	могут быть	2	7
125	в этой	12	7
126	в начале	2	7
127	бы в	3	7
128	в этих	6	7
129	о том	5	7
130	в котором	9	7
131	не существует	5	7
132	той же	3	7
133	он сам	11	7
134	как ее	2	6
135	не есть	21	6
136	вопрос о	7	6
137	не имеют	2	6
138	она может	2	6
139	то есть	3	6
140	от своего	2	6
141	– с	2	6
142	он и	2	6
143	что же	2	6
144	должны быть	3	6
145	все это	6	6
146	должна быть	7	6
147	этот процесс	5	6
148	лишь как	3	6
149	смысле слова	7	6
150	входит в	3	6
151	уже не	8	6
152	в той	3	6
153	не к	6	6
154	к одному	2	5
155	различие между	2	5
156	о чем	3	5
157	в конце	11	5
158	от того	4	5
159	и у	3	5
160	в виду	2	5
161	связано с	5	5
162	и вот	7	5
163	то в	2	5
164	xix века	4	5
165	от этого	4	5
166	в более	4	5
167	был бы	11	5
168	– вот	2	5
169	хотя и	2	5
170	себя в	6	5
171	все время	3	5
172	должно быть	5	5
173	менее всего	10	5
174	по преимуществу	4	5
175	одни и	2	5
176	связана с	9	5
177	жизни в	3	5
178	она не	9	5
179	но не	8	5
180	что такое	2	5
181	еще более	3	5
182	– его	2	5
183	вместе с	7	5
184	социальной среды	4	4
185	не могут	6	4
186	к этим	3	4
187	его к	2	4
188	он –	20	4
189	как он	4	4
190	него как	2	4
191	к своему	2	4
192	так что	3	4
193	нас не	2	4
194	и к	9	4
195	что все	5	4
196	он ни	2	4
197	и он	21	4
198	в них	5	4
199	и самого	2	4
200	он был	18	4
201	что они	4	4
202	нет и	6	4
203	бы и	8	4
204	относится к	2	4
205	– лишь	2	4
206	и то	2	4
207	нет ничего	9	4
208	в которой	8	4
209	что она	5	4
210	только с	3	4
211	говорит что	3	4
212	и тот	2	4
213	целый ряд	2	4
214	одним из	2	4
215	же и	2	4
216	не знает	12	4
217	но к	2	4
218	но для	2	4
219	мог бы	5	4
220	уже в	6	4
221	жизни и	6	4
222	перед ним	3	4
223	от нее	5	4
224	это и	7	4
225	тем что	7	4
226	не о	2	3
227	от его	3	3
228	и сама	2	3
229	только и	7	3
230	к себе	3	3
231	не все	3	3
232	по своей	4	3
233	но если	4	3
234	как к	2	3
235	должен быть	4	3
236	другого в	2	3
237	роль в	2	3
238	в значительной	2	3
239	на пути	4	3
240	конце концов	3	3
241	ведь это	2	3
242	у них	4	3
243	тогда когда	2	3
244	и та	2	3
245	он хочет	4	3
246	ко всем	3	3
247	с тем	10	3
248	они и	3	3
249	не так	6	3
250	они не	4	3
251	все его	3	3
252	потому что	25	3
253	этот случай	2	3
254	даже и	2	3
255	– все	5	3
256	одной и	2	3
257	– к	3	3
258	мы видим	4	3
259	и по	4	3
260	и тогда	2	3
261	есть только	2	3
262	в мир	3	3
263	значительной степени	2	3
264	там и	6	3
265	лежит в	2	3
266	но это	8	3
267	с их	2	3
268	этими двумя	2	3
269	и этот	4	3
270	в этот	2	3
271	мы увидим	4	3
272	и той	2	3
273	человека в	26	3
274	должен был	4	3
275	его и	2	3
276	ни к	2	3
277	на протяжении	2	3
278	бы это	2	3
279	на этот	2	3
280	то он	3	3
281	также и	6	3
282	прежде чем	2	3
283	в своих	4	3
284	в русской	4	3
285	когда он	3	3
286	в которых	5	3
287	приводит к	2	3
288	еще в	4	3
289	если он	7	3
290	учение о	3	3
291	что было	2	3
292	и есть	21	3
293	с ним	5	3
294	момент в	5	3
295	на все	3	3
296	того как	3	3
297	и других	2	3
298	он должен	4	2
299	ее и	2	2
300	или к	4	2
301	его на	4	2
302	и поэтому	3	2
303	в духе	6	2
304	в судьбах	3	2
305	иное как	4	2
306	есть и	6	2
307	он же	3	2
308	эта мысль	3	2
309	и всегда	3	2
310	добро и	4	2
311	не остается	2	2
312	и за	2	2
313	средство для	2	2
314	тем как	2	2
315	в атмосфере	3	2
316	нужно искать	2	2
317	всего в	2	2
318	о нем	2	2
319	лишь те	2	2
320	одна и	3	2
321	же не	2	2
322	под его	2	2
323	к этой	3	2
324	к самому	2	2
325	истины и	2	2
326	мира и	6	2
327	– он	2	2
328	которую он	2	2
329	у достоевского	75	2
330	совсем не	3	2
331	для них	3	2
332	в разных	3	2
333	его не	5	2
334	одно только	2	2
335	и мир	2	2
336	и во	5	2
337	и часто	2	2
338	и самый	2	2
339	ответить на	2	2
340	себя и	6	2
341	это значит	3	2
342	никто не	3	2
343	эти слова	2	2
344	принадлежит к	3	2
345	его понимания	2	2
346	нет в	5	2
347	ее как	2	2
348	когда мы	2	2
349	в эпоху	2	2
350	всего –	2	2
351	небо и	4	2
352	привела к	2	2
353	образ и	7	2
354	его как	2	2
355	отличается от	2	2
356	также в	2	2
357	было в	3	2
358	не что	4	2
359	мы еще	4	2
360	та же	4	2
361	бы не	4	2
362	сознания в	2	2
363	с этой	4	2
364	на смену	3	2
365	перейти в	2	2
366	в чем	3	2
367	себе и	4	2
368	он также	2	2
369	культуры и	2	2
370	все –	2	2
371	есть в	3	2
372	он считает	2	2
373	в жизни	7	2
374	быть не	2	2
375	есть лишь	23	2
376	во всем	5	2
377	вообще не	2	2
378	него не	3	2
379	в самой	8	2
380	есть прежде	4	2
381	оно не	3	2
382	все в	7	2
383	этого вопроса	3	2
384	нет ни	3	2
385	каждого человека	3	2
386	отношения к	6	2
387	но с	2	2
388	не значит	2	2
389	и именно	2	2
390	своих героев	2	2
391	но он	17	2
