N	2gram	Bakhtin_sl	Morfolog
1	и т	56	62
2	может быть	40	61
3	т д	7	60
4	таким образом	16	26
5	действующих лиц	2	22
6	могут быть	25	21
7	так как	7	20
8	не может	27	19
9	в этом	21	18
10	в этих	8	17
11	и в	69	17
12	и не	32	16
13	мы видим	2	15
14	этих случаях	2	15
15	перед нами	7	14
16	с этим	5	14
17	эта форма	3	14
18	прежде всего	14	14
19	по существу	3	13
20	и др	17	12
21	связи с	4	12
22	а не	29	11
23	мы увидим	2	10
24	то же	17	10
25	в том	7	10
26	то что	2	10
27	так и	22	10
28	что в	3	10
29	что и	2	10
30	в связи	2	10
31	этом случае	4	10
32	все же	10	9
33	но и	37	9
34	с другой	8	9
35	не только	37	8
36	в результате	4	8
37	но не	7	8
38	а в	10	8
39	иногда в	2	8
40	мы не	4	8
41	в качестве	4	8
42	как мы	15	8
43	не могут	7	7
44	том что	6	7
45	по отношению	2	7
46	тем не	2	7
47	не менее	4	7
48	отношению к	2	7
49	как это	3	7
50	а также	5	7
51	и здесь	5	7
52	и этим	3	7
53	точки зрения	24	7
54	один из	9	7
55	потому что	2	7
56	это не	8	6
57	но это	3	6
58	не все	2	6
59	во всех	25	6
60	и как	3	6
61	или в	10	6
62	и другие	3	6
63	также и	5	6
64	о том	5	6
65	если мы	2	6
66	с точки	11	6
67	в форме	3	6
68	как бы	16	6
69	вовсе не	16	6
70	одна из	6	5
71	ничего не	5	5
72	и ее	3	5
73	хотя бы	6	5
74	было бы	3	5
75	героя в	2	5
76	что он	2	5
77	как в	18	5
78	этот элемент	2	5
79	далеко не	7	5
80	тому что	2	5
81	к тому	3	5
82	между тем	5	5
83	в целом	3	5
84	другой стороны	5	5
85	между собой	3	5
86	на его	9	5
87	там где	10	5
88	в других	4	5
89	все эти	15	5
90	что они	2	5
91	он не	5	5
92	в первом	3	5
93	хотя и	4	5
94	сказать что	4	4
95	на самом	2	4
96	его в	7	4
97	так же	2	4
98	в то	17	4
99	можно было	2	4
100	к этому	3	4
101	как таковые	3	4
102	нами в	3	4
103	в иных	2	4
104	не является	3	4
105	еще не	9	4
106	из них	3	4
107	но в	13	4
108	на котором	3	4
109	но все	2	4
110	и для	7	4
111	как и	8	4
112	оно может	3	4
113	входит в	8	4
114	уже не	5	4
115	и к	9	4
116	на этом	4	4
117	смысле слова	2	4
118	несмотря на	2	4
119	говорить о	2	4
120	в некоторых	3	4
121	случае не	2	4
122	мы уже	4	4
123	формы передачи	4	3
124	первом случае	2	3
125	то в	2	3
126	время как	2	3
127	но эти	3	3
128	но как	2	3
129	здесь не	6	3
130	в которой	4	3
131	а на	3	3
132	в собственном	2	3
133	это было	2	3
134	и их	6	3
135	и у	2	3
136	одному из	2	3
137	целый ряд	2	3
138	друг друга	3	3
139	в виде	4	3
140	о формах	2	3
141	не значит	2	3
142	кроме того	6	3
143	связана с	2	3
144	и тем	3	3
145	не в	14	3
146	для того	2	3
147	героя и	5	3
148	и при	2	3
149	с этой	3	3
150	у нас	2	3
151	собственном смысле	2	3
152	в один	2	3
153	к ней	2	3
154	в пределах	27	3
155	в какой	2	3
156	того что	4	3
157	приводит к	2	3
158	как уже	2	3
159	к нему	7	3
160	они не	3	3
161	на то	2	3
162	ни в	4	3
163	на нем	2	3
164	но мы	2	3
165	в большинстве	16	3
166	большинстве случаев	11	3
167	и вне	3	3
168	и что	2	3
169	то время	2	3
170	и по	3	3
171	же в	2	3
172	и его	45	3
173	или на	2	3
174	только в	9	3
175	в сущности	18	3
176	и есть	2	3
177	и только	2	3
178	и другим	4	3
179	с его	8	3
180	данном случае	3	2
181	в нее	3	2
182	или иные	4	2
183	и заставляет	3	2
184	себя в	14	2
185	и иных	6	2
186	в данном	5	2
187	из этих	3	2
188	от него	5	2
189	одной стороны	7	2
190	дело не	2	2
191	если она	2	2
192	в другом	4	2
193	и даже	11	2
194	или менее	5	2
195	как такового	3	2
196	лишь на	3	2
197	роль в	4	2
198	этом отношении	2	2
199	не на	6	2
200	заставляет его	2	2
201	в частности	3	2
202	ни было	2	2
203	одним из	5	2
204	а вовсе	4	2
205	его и	5	2
206	оно как	2	2
207	в чем	2	2
208	не знает	3	2
209	к различным	2	2
210	наших дней	2	2
211	с одной	7	2
212	должна быть	3	2
213	в свое	3	2
214	а с	2	2
215	и более	3	2
216	не с	5	2
217	одной из	4	2
218	входить в	3	2
219	в самых	2	2
220	вообще не	4	2
221	она не	8	2
222	формах в	2	2
223	он может	3	2
224	более или	5	2
225	могли бы	2	2
226	передачи и	10	2
227	ту же	5	2
228	оно не	12	2
229	быть и	6	2
230	однако в	3	2
231	от других	2	2
232	с другими	8	2
233	но здесь	5	2
234	для нас	7	2
235	в одной	2	2
236	всяком случае	7	2
237	может не	9	2
238	других случаях	2	2
239	себя и	2	2
240	все это	14	2
241	в основе	8	2
242	у него	5	2
243	эти формы	5	2
244	например в	6	2
245	можно сказать	2	2
246	но оно	5	2
247	момент в	2	2
248	для него	8	2
249	в одном	4	2
250	во всяком	9	2
251	без всякого	2	2
252	по своему	2	2
253	тем и	3	2
254	того как	2	2
255	чем в	3	2
