N	2gram	Bakhtin_Fr	Hudozhes
1	то есть	71	26
2	и в	105	23
3	не только	24	20
4	в том	17	20
5	может быть	11	19
6	при этом	10	19
7	в частности	6	18
8	и не	34	16
9	но и	20	14
10	а в	4	13
11	в себе	7	13
12	но не	7	13
13	то же	6	12
14	в этом	22	12
15	и его	24	12
16	так и	16	12
17	как бы	33	11
18	точки зрения	10	11
19	в его	24	11
20	но в	16	10
21	по отношению	2	10
22	отношению к	2	10
23	не в	4	9
24	или иной	5	9
25	том что	9	9
26	не может	9	9
27	с другой	3	9
28	своего рода	2	9
29	в искусстве	3	9
30	в то	5	8
31	в области	10	8
32	в самом	7	7
33	и т.п	26	7
34	по своей	3	7
35	отношение к	9	7
36	лишь в	4	7
37	в своей	8	7
38	только в	16	7
39	же время	5	7
40	что в	4	7
41	отличие от	5	7
42	в отличие	4	7
43	в основе	8	7
44	уже не	3	6
45	приводит к	2	6
46	в нем	16	6
47	с ее	3	6
48	можно сказать	4	6
49	в ее	5	6
50	с его	9	6
51	той или	5	5
52	могут быть	4	5
53	между ними	4	5
54	и одновременно	6	5
55	место в	4	5
56	как к	3	5
57	для того	2	5
58	того чтобы	3	5
59	в виду	5	5
60	в их	6	5
61	не является	4	5
62	что он	5	5
63	не на	2	5
64	то что	7	5
65	не менее	2	5
66	прежде всего	26	5
67	того что	3	5
68	для него	12	5
69	сказать что	12	4
70	в отношении	7	4
71	его в	7	4
72	далеко не	6	4
73	это не	4	4
74	так в	4	4
75	к тому	3	4
76	речи и	2	4
77	между тем	5	4
78	входит в	4	4
79	и т.д	2	4
80	жизни как	3	4
81	в форме	6	4
82	в другом	2	4
83	не знает	6	4
84	и как	2	4
85	еще не	8	4
86	к которому	2	4
87	в этих	6	4
88	он не	3	4
89	и о	4	4
90	отношения к	5	4
91	например в	3	4
92	в себя	9	4
93	в своем	11	4
94	хотя и	4	4
95	даже в	6	3
96	в жизни	7	3
97	к нему	5	3
98	и для	3	3
99	по своему	9	3
100	искусства и	6	3
101	автора и	2	3
102	в романе	8	3
103	как и	15	3
104	их в	3	3
105	говоря о	2	3
106	культуры в	4	3
107	потому что	6	3
108	о чем	3	3
109	одной стороны	2	3
110	по преимуществу	3	3
111	том числе	10	3
112	в целом	3	3
113	в противоположность	3	3
114	имеем в	2	3
115	и к	7	3
116	во всех	13	3
117	из этих	7	3
118	связи с	5	3
119	и на	25	3
120	тому как	2	3
121	в той	5	3
122	и прежде	4	3
123	как раз	3	3
124	с точки	6	3
125	подобно тому	2	3
126	или даже	2	3
127	себя и	2	3
128	в связи	2	3
129	таким образом	5	3
130	в таком	2	3
131	и сам	2	3
132	есть в	6	3
133	во всей	4	3
134	в узком	4	3
135	на языке	2	3
136	в пределах	3	3
137	в одном	8	3
138	с одной	2	3
139	перед лицом	2	3
140	известной степени	2	3
141	но он	5	3
142	имеет место	2	3
143	в системе	3	3
144	никогда не	11	2
145	о том	5	2
146	одной из	3	2
147	в литературе	9	2
148	жизни но	2	2
149	одна из	5	2
150	как в	6	2
151	начиная с	2	2
152	и др	32	2
153	художественной литературы	2	2
154	одно из	7	2
155	на время	4	2
156	и это	3	2
157	ее в	2	2
158	могла бы	2	2
159	и потому	14	2
160	от всех	3	2
161	значительной степени	4	2
162	таковы например	4	2
163	в самой	5	2
164	еще и	6	2
165	в чем	2	2
166	или в	2	2
167	именно в	6	2
168	жизни в	8	2
169	но как	3	2
170	все эти	15	2
171	человека и	4	2
172	мира и	4	2
173	можно охарактеризовать	2	2
174	времени и	9	2
175	оно не	2	2
176	с их	7	2
177	за пределы	10	2
178	до известной	2	2
179	включает в	3	2
180	для которого	2	2
181	не входит	2	2
182	и конец	2	2
183	так же	2	2
184	из тех	2	2
185	об этом	2	2
186	на всех	5	2
187	из которых	2	2
188	но на	3	2
189	и по	3	2
190	он и	3	2
191	один из	5	2
192	на котором	3	2
193	в них	13	2
194	узком значении	2	2
195	не вполне	3	2
196	несмотря на	5	2
197	на мир	7	2
198	роль в	6	2
199	к жизни	2	2
200	на этом	2	2
201	это и	3	2
202	мира в	3	2
203	все это	16	2
204	с ними	2	2
205	числе и	7	2
206	что и	2	2
207	в значительной	9	2
208	от своего	2	2
209	в году	13	2
210	и особенно	4	2
211	xix века	6	2
212	одним из	4	2
213	не просто	3	2
214	и другие	10	2
215	мире и	3	2
216	по мысли	2	2
217	нового времени	17	2
218	в формах	3	2
219	а затем	4	2
220	самом деле	3	2
221	и более	4	2
222	совершенно иной	2	2
223	жить и	6	2
224	в нашем	3	2
225	в этой	11	2
226	ни к	2	2
227	человеческих отношений	2	2
228	с ним	6	2
229	превращается в	6	2
230	этих двух	2	2
231	в какой	2	2
232	начало и	3	2
233	вовсе не	25	2
234	основе своей	2	2
235	у него	2	2
236	при всей	2	2
237	здесь не	3	2
