N	3gram	Losev_Vlad	Komedia
1	в том что	13	29
2	к тому же	3	21
3	то же время	7	16
4	в то же	7	16
5	о том что	9	13
6	для того чтобы	3	11
7	в то время	6	11
8	в свою очередь	2	10
9	то время как	2	9
10	вместе с тем	2	9
11	с другой стороны	3	8
12	на этот раз	7	7
13	бы то ни	2	7
14	в конце концов	6	7
15	во всяком случае	8	7
16	так или иначе	3	7
17	говоря уже о	3	6
18	после того как	2	6
19	в связи с	7	6
20	до тех пор	2	6
21	не говоря уже	3	6
22	что он не	3	5
23	и т д	3	5
24	в этом отношении	2	5
25	том что он	4	5
26	в ответ на	2	5
27	в тех же	2	5
28	к этому времени	3	5
29	за то что	2	5
30	тем не менее	8	5
31	в это время	5	4
32	что и в	2	4
33	само собой разумеется	2	4
34	во второй половине	3	4
35	и тот же	2	4
36	так как он	2	4
37	что у него	2	4
38	более или менее	5	3
39	в том же	3	3
40	в этом же	2	3
41	то обстоятельство что	2	3
42	хотя и не	2	3
43	то что он	6	3
44	на то что	6	3
45	один и тот	2	3
46	и на этот	2	2
47	у него в	2	2
48	из них не	2	2
49	потому что в	2	2
50	на первый план	4	2
51	и все же	2	2
52	точно так же	2	2
53	можно судить по	6	2
54	том что в	3	2
55	не только в	3	2
56	и в том	2	2
57	как мы знаем	3	2
58	так и не	3	2
59	в эти годы	7	2
60	в этом смысле	4	2
61	тем более что	2	2
62	у него не	3	2
63	и в то	3	2
64	в течение всей	5	2
