N	3gram	Potebnia_M	Stilisti
1	в то же	3	9
2	то же время	3	7
3	для того чтобы	4	7
4	с точки зрения	3	5
5	заключает в себе	6	4
6	с самого начала	5	4
7	одной и той	3	4
8	и той же	3	4
9	то что мы	2	4
10	в свою очередь	8	4
11	на самом деле	2	3
12	не только в	3	3
13	и тем самым	2	3
14	но все же	2	3
15	но и в	4	3
16	что мы называем	2	3
17	все то что	2	2
18	в связи с	2	2
19	о происхождении языка	7	2
20	мы увидим что	3	2
21	что иное как	2	2
22	только потому что	3	2
23	и как бы	4	2
24	не было бы	3	2
25	к тому что	2	2
26	и том же	3	2
27	одном и том	3	2
28	по отношению к	13	2
29	мы видели что	2	2
30	смысле этого слова	3	2
31	мы не имеем	2	2
32	не что иное	2	2
33	не может быть	11	2
