N	2gram	Medvedev_V	Mirosoze
1	и в	26	97
2	может быть	23	64
3	не только	26	63
4	в этом	29	55
5	но и	10	54
6	он не	2	53
7	а не	7	53
8	в нем	7	49
9	не может	17	49
10	у него	6	47
11	и не	20	39
12	никогда не	5	38
13	в ней	2	37
14	не было	7	36
15	не в	6	34
16	и есть	5	33
17	для него	9	31
18	человека в	2	30
19	прежде всего	13	29
20	как и	7	29
21	но в	2	27
22	и он	3	27
23	человека и	3	26
24	в своей	4	25
25	у нас	3	24
26	в своем	8	23
27	что в	11	23
28	и достоевский	2	23
29	что он	4	22
30	достоевского и	2	21
31	в самом	4	21
32	в себе	6	20
33	как бы	5	19
34	в его	15	18
35	и потому	2	17
36	того что	3	17
37	в том	15	16
38	том что	8	16
39	то что	7	16
40	было бы	8	16
41	и его	6	16
42	в этой	4	15
43	в котором	3	15
44	в конце	3	14
45	она не	3	14
46	в творчестве	3	14
47	это не	7	12
48	и у	2	12
49	смысле слова	2	12
50	в них	5	12
51	все это	13	12
52	но не	2	12
53	он сам	2	12
54	с тем	4	11
55	хотя бы	20	11
56	в которой	2	11
57	только в	8	11
58	и для	2	11
59	и к	3	11
60	жизни и	3	11
61	не могут	10	10
62	так же	3	10
63	это и	6	10
64	один из	6	10
65	должна быть	2	10
66	то же	10	10
67	связана с	2	10
68	бы и	6	9
69	а в	3	9
70	к тому	5	9
71	что и	3	9
72	должно быть	2	9
73	лишь в	2	9
74	вместе с	8	9
75	они не	2	8
76	мира и	3	8
77	что не	3	8
78	того чтобы	3	8
79	т е	18	8
80	с его	4	8
81	в дневнике	3	8
82	для того	3	8
83	нет и	3	8
84	о том	10	8
85	как он	3	7
86	должен быть	4	7
87	что все	4	7
88	он в	2	7
89	точки зрения	3	7
90	что она	2	7
91	на этом	2	7
92	в жизни	2	7
93	также и	2	7
94	чтобы не	2	6
95	его в	3	6
96	братьях карамазовых	2	6
97	у них	2	6
98	русских писателей	2	6
99	в ее	4	6
100	его не	3	6
101	в образе	2	6
102	того как	2	6
103	самого себя	2	6
104	и от	3	6
105	можно было	2	6
106	было в	2	6
107	если бы	3	6
108	бы не	2	6
109	же и	3	6
110	что у	3	6
111	на то	2	6
112	в которых	3	6
113	в то	6	5
114	в их	5	5
115	так и	6	5
116	они и	2	5
117	и этот	2	5
118	как у	2	5
119	должны быть	2	5
120	сказать что	5	5
121	во всяком	2	5
122	да и	2	5
123	и мир	3	5
124	с этим	3	5
125	этот процесс	3	5
126	момент в	3	5
127	отличается от	2	5
128	и как	3	5
129	бы в	3	5
130	еще не	2	5
131	сих пор	2	5
132	после того	2	5
133	он же	6	5
134	когда он	4	5
135	до сих	2	5
136	л толстого	6	4
137	по отношению	7	4
138	как о	3	4
139	в каждом	2	4
140	и через	2	4
141	от того	2	4
142	конце концов	2	4
143	и никогда	2	4
144	не всегда	2	4
145	в чем	2	4
146	только с	2	4
147	а для	2	4
148	тому что	7	4
149	себе и	2	4
150	могут быть	8	4
151	тогда когда	2	4
152	для них	2	4
153	все эти	8	4
154	что они	3	4
155	ума и	2	4
156	значит что	2	4
157	и даже	2	4
158	и по	3	4
159	и их	3	4
160	отношению к	7	4
161	от его	2	4
162	ни с	2	4
163	может не	2	4
164	в своих	2	4
165	будто бы	2	4
166	своем творчестве	3	3
167	к его	2	3
168	к этим	2	3
169	о чем	2	3
170	одним из	5	3
171	и быть	2	3
172	все же	6	3
173	идеи и	6	3
174	л толстой	12	3
175	можно ли	2	3
176	все его	2	3
177	даже и	3	3
178	между тем	6	3
179	в виду	4	3
180	ту же	2	3
181	что оно	3	3
182	же как	2	3
183	хотя и	2	3
184	это особенно	2	3
185	идей и	3	3
186	а к	2	3
187	то это	2	3
188	в противоположность	3	3
189	к этому	9	3
190	об этом	9	3
191	в значительной	3	3
192	что нет	2	3
193	мысль о	2	3
194	него в	3	3
195	в пределах	5	3
196	во всех	7	3
197	не с	2	3
198	в самых	2	3
199	он может	2	3
200	не вполне	2	3
201	но для	2	3
202	приводит к	6	3
203	их и	4	3
204	в одном	5	3
205	тому как	3	3
206	всяком случае	2	3
207	роль в	4	3
208	нет ни	2	3
209	показывает как	2	3
210	не быть	2	3
211	но с	2	3
212	не о	2	2
213	в плане	5	2
214	или иной	2	2
215	если в	2	2
216	же о	2	2
217	со своим	3	2
218	а как	2	2
219	после этого	2	2
220	нет никаких	2	2
221	они должны	2	2
222	говорил что	3	2
223	многие из	2	2
224	его от	2	2
225	от них	2	2
226	которые в	2	2
227	не менее	2	2
228	толстого в	3	2
229	и сам	2	2
230	ни одного	2	2
231	между ними	3	2
232	не столько	2	2
233	вот почему	5	2
234	связи с	5	2
235	е в	2	2
236	и ее	4	2
237	во время	4	2
238	во всей	2	2
239	их в	7	2
240	относится к	2	2
241	ее как	2	2
242	удивительно что	3	2
243	я бы	2	2
244	в творческой	4	2
245	этом отношении	14	2
246	которая не	2	2
247	подобно тому	3	2
248	только для	2	2
249	его художественного	2	2
250	ее в	4	2
251	не по	2	2
252	образа в	2	2
253	что без	3	2
254	с другой	11	2
255	анны карениной	2	2
256	в явлении	3	2
257	в сфере	2	2
258	ни один	8	2
259	для многих	2	2
260	что такое	2	2
261	но к	2	2
262	из себя	2	2
263	идей в	2	2
264	он и	2	2
265	что мы	2	2
266	по себе	2	2
267	действительной жизни	3	2
268	и весь	2	2
269	своих героев	2	2
