N	2gram	Bakhtin_Pr	KFilosof
1	может быть	43	45
2	в его	30	42
3	в нем	28	32
4	не может	26	29
5	и не	55	28
6	и в	64	28
7	по отношению	12	26
8	в котором	7	24
9	отношению к	12	22
10	не есть	4	22
11	в себе	11	21
12	и его	21	18
13	только в	13	18
14	в своем	12	17
15	в ее	2	17
16	а не	29	17
17	в этом	33	15
18	не в	15	13
19	для него	23	13
20	точки зрения	31	13
21	но не	12	12
22	и это	8	12
23	к нему	11	12
24	ни в	5	12
25	мир в	4	12
26	в своей	11	11
27	во всех	4	11
28	все эти	13	11
29	это не	12	10
30	его целом	6	10
31	в целом	8	10
32	и для	7	10
33	в едином	4	10
34	все это	9	10
35	с точки	21	10
36	и есть	3	10
37	в их	6	9
38	но и	26	9
39	как бы	33	9
40	и все	6	9
41	момент его	2	9
42	себя в	3	8
43	если бы	12	8
44	не было	5	8
45	лишь в	4	8
46	в мире	7	8
47	в единстве	9	8
48	жизни и	3	8
49	было бы	8	8
50	в себя	6	8
51	для себя	3	7
52	и здесь	6	7
53	совершенно не	5	7
54	то что	21	7
55	уже не	15	7
56	конечно не	4	7
57	и только	3	7
58	что и	7	7
59	вовсе не	12	7
60	должно быть	8	6
61	менее всего	7	6
62	отношение к	4	6
63	но эта	5	6
64	мира в	5	6
65	в том	12	6
66	но все	6	6
67	не имеет	2	6
68	в смысле	3	6
69	и их	3	6
70	я не	6	6
71	но это	6	6
72	он не	14	6
73	не значит	4	6
74	никогда не	11	5
75	его в	8	5
76	все же	11	5
77	не только	26	5
78	бытия в	3	5
79	но как	4	5
80	его как	5	5
81	хотя бы	4	5
82	то же	18	5
83	но ведь	3	5
84	еще не	10	5
85	не знает	6	5
86	не проникает	2	5
87	а в	10	5
88	но в	14	5
89	мир где	2	5
90	в контексте	2	5
91	как и	25	5
92	именно в	5	5
93	что я	7	5
94	в одном	20	5
95	там где	12	5
96	себя и	5	5
97	я и	2	5
98	с ним	8	5
99	мира но	2	5
100	в основе	4	5
101	что это	2	4
102	том что	8	4
103	нисколько не	3	4
104	что в	11	4
105	не как	20	4
106	ни было	4	4
107	времени и	2	4
108	о нем	15	4
109	прежде всего	16	4
110	здесь мы	4	4
111	для другого	2	4
112	в своих	4	4
113	мира и	7	4
114	входит в	9	4
115	для нас	2	4
116	в категориях	2	4
117	с ними	2	4
118	при этом	8	4
119	только как	2	4
120	во всей	3	4
121	должна быть	8	4
122	как его	4	4
123	между тем	7	4
124	до конца	10	3
125	ничего не	8	3
126	слово не	8	3
127	ним и	3	3
128	в то	15	3
129	на самом	5	3
130	здесь не	7	3
131	сознания и	8	3
132	человека и	2	3
133	всех этих	2	3
134	в каждом	15	3
135	этого мира	6	3
136	в другом	3	3
137	мира не	2	3
138	от того	4	3
139	а лишь	3	3
140	это и	5	3
141	тем что	6	3
142	бы не	2	3
143	ибо все	2	3
144	самом деле	10	3
145	тем как	5	3
146	в виду	3	3
147	себе и	5	3
148	лишь как	9	3
149	и пр	5	3
150	и единство	3	3
151	его жизни	2	3
152	не менее	3	3
153	о том	5	3
154	мы здесь	2	3
155	что этот	2	3
156	в ней	2	3
157	могут быть	9	3
158	но для	3	3
159	этом смысле	12	3
160	и этим	5	3
161	есть я	2	3
162	здесь нет	4	3
163	но здесь	4	3
164	и на	16	3
165	единство мира	3	3
166	в единство	9	3
167	что не	3	3
168	и другого	3	3
169	того что	3	3
170	мы не	4	3
171	был бы	6	3
172	войти в	2	3
173	из его	3	3
174	рядом с	19	3
175	тот же	2	3
176	бы и	6	3
177	отсюда и	3	3
178	не дает	3	3
179	а следовательно	2	3
180	быть и	2	3
181	не о	3	2
182	конечно в	2	2
183	кажется что	4	2
184	в мир	4	2
185	для этого	3	2
186	ее как	4	2
187	и мы	2	2
188	и потому	7	2
189	бы он	4	2
190	сознания как	2	2
191	в данном	2	2
192	его к	4	2
193	его на	2	2
194	себе а	3	2
195	и ее	5	2
196	видения и	11	2
197	и эта	2	2
198	автора как	5	2
199	мысль не	4	2
200	дело в	2	2
201	не потому	2	2
202	то ни	3	2
203	и смысловой	2	2
204	вопрос о	3	2
205	к себе	6	2
206	тем не	2	2
207	как к	3	2
208	и как	9	2
209	себе как	2	2
210	всей его	2	2
211	а как	11	2
212	все они	2	2
213	бы оно	2	2
214	были бы	5	2
215	а с	2	2
216	даны в	3	2
217	герой и	3	2
218	он ни	2	2
219	что он	15	2
220	значимость и	2	2
221	из которых	3	2
222	вследствие этого	2	2
223	нами в	3	2
224	со всеми	2	2
225	этот мир	3	2
226	или как	8	2
227	все остальное	2	2
228	так и	8	2
229	отношении к	5	2
230	его и	3	2
231	и свой	2	2
232	в жизни	5	2
233	как в	7	2
234	как предмет	4	2
235	при условии	2	2
236	от этого	2	2
237	в него	6	2
238	в сознании	3	2
239	сознания не	4	2
240	тому что	3	2
241	она не	10	2
242	он может	4	2
243	но есть	2	2
244	не из	3	2
245	еще более	2	2
246	и само	2	2
247	оно не	3	2
248	не нужно	2	2
249	в процессе	6	2
250	он и	8	2
251	один из	3	2
252	себя как	3	2
253	мысль как	2	2
254	по себе	16	2
255	потому что	8	2
256	подхода к	2	2
257	не способна	2	2
258	раз и	6	2
259	того чтобы	2	2
260	из самого	2	2
261	единство бытия	2	2
262	слова в	12	2
263	именно на	3	2
264	ведь это	4	2
265	дан в	2	2
266	же время	13	2
267	человек и	2	2
268	дело здесь	2	2
269	этого слова	3	2
270	в этой	5	2
271	бы то	3	2
272	ни был	2	2
273	с его	11	2
