N	3gram	Bakhtin_sl	Mirosoze
1	не может быть	11	28
2	в том что	4	9
3	о том что	2	6
4	и в этом	2	6
5	но и в	2	5
6	может быть и	2	5
7	до сих пор	4	5
8	в отношении к	9	5
9	человеке и его	3	5
10	по отношению к	2	4
11	у него нет	2	4
12	то время как	2	4
13	можно было бы	2	4
14	в то время	2	4
15	во всяком случае	7	3
16	в значительной степени	6	3
17	он никогда не	2	3
18	как и в	2	3
19	не может не	5	3
20	к тому что	2	3
21	выходит за пределы	3	3
22	оно не может	3	2
23	никогда не может	2	2
24	уже не только	2	2
25	в этом отношении	2	2
26	не только в	3	2
27	в его романах	2	2
28	хотя бы и	5	2
29	не могут быть	3	2
30	это не значит	2	2
31	и не может	2	2
32	человек и его	12	2
