N	2gram	Potebnia_M	VLabPisa
1	таким образом	24	32
2	в этом	19	29
3	не только	32	26
4	и в	48	26
5	и т	12	25
6	может быть	46	23
7	хотя бы	3	20
8	и не	28	20
9	в процессе	2	17
10	не может	18	17
11	т д	5	16
12	в том	47	15
13	в его	6	15
14	этом отношении	2	14
15	в силу	7	14
16	прежде всего	6	13
17	все это	4	13
18	что в	30	11
19	с другой	8	11
20	из них	11	11
21	то же	35	10
22	не могут	7	10
23	но и	30	10
24	о том	7	10
25	по этому	2	10
26	к этому	3	9
27	об этом	4	9
28	т п	7	9
29	для него	14	9
30	в своем	6	8
31	том что	28	8
32	не следует	6	8
33	могут быть	6	8
34	другой стороны	4	8
35	было бы	16	8
36	только в	29	8
37	художника и	2	8
38	вместе с	22	8
39	очевидно что	9	7
40	это не	2	7
41	из этих	10	7
42	по отношению	12	7
43	художественное произведение	6	7
44	то что	37	7
45	действительности и	3	7
46	отношению к	10	7
47	тому что	6	7
48	как и	22	7
49	их в	3	7
50	в нем	16	7
51	не было	12	7
52	же в	3	7
53	а не	22	7
54	не в	24	6
55	в то	16	6
56	в себе	26	6
57	художественного произведения	6	6
58	или менее	6	6
59	это и	2	6
60	все же	3	6
61	том же	2	6
62	у него	3	6
63	идеи и	2	6
64	в искусстве	6	6
65	так и	17	6
66	более или	6	6
67	один из	7	6
68	и его	4	6
69	бы и	4	6
70	между тем	19	6
71	никогда не	2	5
72	даже в	3	5
73	сказать что	8	5
74	в одном	4	5
75	перед нами	3	5
76	в их	2	5
77	одним из	3	5
78	и при	5	5
79	к тому	9	5
80	он говорит	3	5
81	как бы	10	5
82	в них	9	5
83	в целом	5	5
84	связи с	6	5
85	же время	8	5
86	и есть	4	5
87	художественный образ	2	5
88	по поводу	8	4
89	в сознании	36	4
90	образов и	2	4
91	одном из	4	4
92	только что	12	4
93	это только	2	4
94	ее в	2	4
95	что он	8	4
96	с тем	9	4
97	что все	5	4
98	что для	5	4
99	в единстве	2	4
100	в самом	11	4
101	равно как	2	4
102	в ее	3	4
103	с ними	6	4
104	в своей	2	4
105	во время	4	4
106	них не	4	4
107	можно сказать	4	4
108	в этой	3	4
109	художественном произведении	3	4
110	и от	5	3
111	никак не	3	3
112	например в	9	3
113	при помощи	2	3
114	при создании	3	3
115	и к	5	3
116	с этим	12	3
117	так же	6	3
118	но как	2	3
119	том как	3	3
120	например что	2	3
121	вслед за	6	3
122	бы в	3	3
123	но даже	3	3
124	в форме	2	3
125	его в	6	3
126	и как	8	3
127	тому как	6	3
128	если бы	20	3
129	подобно тому	3	3
130	как о	3	3
131	для того	8	3
132	и их	4	3
133	у нас	2	3
134	как на	6	3
135	его не	2	3
136	того что	24	3
137	образом в	4	3
138	мы видели	5	3
139	что без	2	3
140	нет и	2	3
141	явлений и	3	3
142	далеко не	5	3
143	имеет свою	2	3
144	что у	4	3
145	она не	4	3
146	а в	14	3
147	в котором	7	3
148	именно в	5	3
149	точки зрения	4	3
150	что например	5	3
151	в которых	5	3
152	что оно	12	3
153	со своим	2	3
154	между ними	4	3
155	человека и	8	3
156	что не	12	3
157	жизни и	3	3
158	того чтобы	5	3
159	что и	16	3
160	и по	5	3
161	или в	4	3
162	что они	2	3
163	же и	3	3
164	в слове	41	3
165	вовсе не	13	3
166	относится к	6	2
167	если в	2	2
168	от его	2	2
169	да и	2	2
170	самого себя	3	2
171	произведения не	2	2
172	восприятия и	2	2
173	иметь в	2	2
174	на это	4	2
175	показывает что	2	2
176	и потому	9	2
177	не подлежит	2	2
178	как например	2	2
179	слова не	2	2
180	с другими	9	2
181	то это	9	2
182	так сказать	6	2
183	а к	4	2
184	одной стороны	4	2
185	и слова	4	2
186	крайней мере	8	2
187	в каждом	6	2
188	при всей	2	2
189	должно быть	9	2
190	что она	4	2
191	с а	2	2
192	даже не	2	2
193	в последнем	4	2
194	и даже	3	2
195	от того	10	2
196	например не	2	2
197	связанное с	3	2
198	представлений и	5	2
199	уже по	3	2
200	которая не	2	2
201	лица и	3	2
202	мысль о	12	2
203	вообще и	2	2
204	а как	2	2
205	нет ни	2	2
206	бы не	6	2
207	и быть	3	2
208	не всегда	5	2
209	в области	3	2
210	только для	3	2
211	и наконец	3	2
212	в науке	3	2
213	еще не	9	2
214	как у	2	2
215	в которой	9	2
216	между собою	13	2
217	в течение	2	2
218	по крайней	8	2
219	в известной	3	2
220	что ни	3	2
221	в чем	6	2
222	сих пор	4	2
223	формы и	2	2
224	с одной	8	2
225	после того	2	2
226	же самое	3	2
227	что даже	5	2
228	заключается в	2	2
229	не с	4	2
230	одной из	3	2
231	так например	3	2
232	что его	3	2
233	от них	4	2
234	к ним	3	2
235	том чтобы	4	2
236	но не	8	2
237	искусства и	3	2
238	не менее	9	2
239	на него	3	2
240	но в	8	2
241	каждой из	3	2
242	на то	6	2
243	он может	2	2
244	могло бы	2	2
245	что такое	2	2
246	зависит от	7	2
247	все его	2	2
248	в своих	2	2
249	в ней	11	2
250	на вопрос	2	2
251	к его	2	2
252	из себя	3	2
253	между прочим	5	2
254	тогда когда	20	2
255	идеи в	2	2
256	в образе	4	2
257	значит что	2	2
258	не столько	2	2
259	что мы	16	2
260	с нею	5	2
261	только не	5	2
262	представить себе	5	2
263	по себе	26	2
264	всяком случае	3	2
265	внимание на	2	2
266	человека в	2	2
267	должны быть	3	2
268	образа в	4	2
269	он сам	2	2
270	не об	2	2
271	говорить о	6	2
272	было в	6	2
273	собою и	3	2
274	и может	4	2
275	только о	2	2
276	он не	4	2
277	должна быть	2	2
278	в различных	2	2
279	что при	3	2
280	в большей	3	2
281	который в	2	2
282	хотя и	3	2
283	лишь в	2	2
284	во всяком	4	2
285	без них	2	2
286	до сих	4	2
287	того как	10	2
288	в системе	2	2
