N	3gram	Vinokur_Ku	formyVre
1	и т п	39	32
2	то же время	4	21
3	в то же	4	18
4	в связи с	4	15
5	с точки зрения	16	15
6	для того чтобы	21	12
7	не только в	4	11
8	до сих пор	5	10
9	одного и того	2	9
10	и того же	2	9
11	в большинстве случаев	2	8
12	в этом отношении	8	7
13	и т д	21	7
14	в отличие от	3	7
15	не может быть	5	7
16	с одной стороны	2	6
17	в том что	23	5
18	в широком смысле	2	5
19	в этом случае	4	4
20	с другой стороны	12	4
21	но все же	3	4
22	во всяком случае	8	4
23	по отношению к	8	4
24	в зависимости от	7	3
25	а следовательно и	2	3
26	о том как	3	3
27	о том что	6	3
28	так и в	2	3
29	вместе с тем	3	3
30	так же как	3	3
31	к вопросу о	3	3
32	может быть только	2	3
33	сами по себе	2	3
34	в самом широком	2	2
35	в узком смысле	2	2
36	к тому что	2	2
37	все же и	3	2
38	можно сказать что	2	2
39	т п в	2	2
40	самом широком смысле	2	2
41	в соответствии с	5	2
42	и в самом	4	2
43	т п все	2	2
44	большую роль в	2	2
45	в свою очередь	4	2
