N	2gram	Bakhtin_Pr	RusskieA
1	и в	59	79
2	в том	17	64
3	том что	15	59
4	что в	14	57
5	не только	26	41
6	так как	11	34
7	в этом	40	33
8	и другие	4	33
9	как бы	40	31
10	но и	22	31
11	как и	21	28
12	может быть	38	28
13	и на	15	28
14	в этот	2	26
15	одна из	4	24
16	о том	5	23
17	при этом	5	22
18	это не	13	20
19	как мы	10	20
20	а в	9	20
21	из них	8	19
22	все это	12	18
23	потому что	20	17
24	то что	21	17
25	об этом	4	17
26	таким образом	22	17
27	вместе с	2	17
28	мы не	3	16
29	один из	4	15
30	у нас	2	14
31	мы видели	3	14
32	для нас	3	14
33	не менее	3	14
34	в них	5	14
35	как это	2	14
36	и не	66	14
37	и с	10	14
38	и что	2	14
39	так что	3	13
40	и по	4	13
41	к этому	6	13
42	не может	31	13
43	еще не	11	13
44	как в	10	13
45	уже не	14	13
46	в которых	2	13
47	мы имеем	2	12
48	тем что	5	12
49	но это	7	11
50	не имеет	2	11
51	далеко не	3	11
52	его в	6	10
53	и других	8	10
54	так и	13	10
55	по существу	5	10
56	между тем	5	10
57	все же	9	10
58	что и	10	10
59	или в	2	10
60	данном случае	3	9
61	но в	7	9
62	и все	4	9
63	что они	3	9
64	то же	15	9
65	но не	13	9
66	так же	10	8
67	того что	4	8
68	одно из	2	8
69	в данном	3	8
70	на себя	3	8
71	того чтобы	5	8
72	их в	8	8
73	же в	3	8
74	как например	2	8
75	не все	2	8
76	во всех	8	8
77	подобно тому	5	8
78	ее в	2	8
79	для того	3	8
80	в этих	5	8
81	тому как	5	8
82	в своем	12	7
83	мы должны	6	7
84	а и	2	7
85	ничего не	8	7
86	в свете	4	7
87	не в	10	7
88	должна была	4	7
89	а с	4	7
90	к нему	13	7
91	по этому	2	7
92	было бы	10	7
93	до конца	11	7
94	для этого	4	7
95	из этих	2	7
96	и как	10	7
97	не совсем	2	7
98	только в	15	7
99	как будто	4	7
100	а не	30	7
101	в этой	5	6
102	и их	7	6
103	и у	6	6
104	друг друга	10	6
105	в их	5	6
106	тому что	3	6
107	она не	9	6
108	в нем	38	6
109	же как	5	6
110	с ними	3	6
111	все эти	12	6
112	чем в	3	6
113	в одном	14	6
114	что она	6	6
115	и о	5	6
116	но они	4	6
117	и пр	3	6
118	и более	2	6
119	приводит к	4	6
120	в таком	2	6
121	на самом	5	5
122	вопрос о	4	5
123	и потому	9	5
124	к себе	2	5
125	или же	2	5
126	тогда когда	2	5
127	что он	16	5
128	прежде всего	17	5
129	в последний	2	5
130	к ним	3	5
131	с этим	2	5
132	заметить что	2	5
133	в то	15	5
134	в целом	8	5
135	для них	3	5
136	там где	12	5
137	не было	5	5
138	например в	5	5
139	тот же	4	5
140	в его	44	5
141	по поводу	2	5
142	то и	2	5
143	его с	2	5
144	можно было	5	5
145	видел в	2	5
146	в особенности	2	5
147	только для	2	5
148	и для	5	5
149	с другой	3	5
150	входит в	11	5
151	и к	5	5
152	или даже	2	5
153	с ним	13	5
154	мы уже	4	5
155	как можно	3	4
156	которые в	2	4
157	и ее	5	4
158	но есть	2	4
159	таким же	4	4
160	здесь мы	3	4
161	его и	4	4
162	от них	3	4
163	они и	3	4
164	но эти	2	4
165	в основном	2	4
166	отличие от	3	4
167	в образе	4	4
168	не столько	3	4
169	могут быть	5	4
170	и до	5	4
171	не на	6	4
172	во всей	2	4
173	этого слова	3	4
174	во всяком	5	4
175	в основе	6	4
176	и от	3	4
177	несмотря на	7	4
178	за ним	2	4
179	и здесь	5	4
180	кроме того	3	4
181	в отличие	3	4
182	но все	8	4
183	что у	5	4
184	что для	4	4
185	именно в	8	4
186	в котором	6	4
187	в своих	5	4
188	этот вопрос	3	4
189	уже в	9	4
190	в ней	8	4
191	всяком случае	3	4
192	то время	3	4
193	но он	3	4
194	никогда не	19	3
195	всех этих	3	3
196	последний день	2	3
197	ее и	2	3
198	его к	4	3
199	в одной	9	3
200	и через	2	3
201	в форме	8	3
202	то есть	64	3
203	не во	3	3
204	есть и	2	3
205	это и	10	3
206	в виду	2	3
207	как он	5	3
208	хозяин и	2	3
209	можно больше	2	3
210	что все	5	3
211	и это	5	3
212	точки зрения	36	3
213	с которой	4	3
214	большинстве случаев	3	3
215	в области	3	3
216	в какой	2	3
217	в ее	4	3
218	них в	2	3
219	и во	2	3
220	в своей	17	3
221	в другое	3	3
222	нет и	4	3
223	место в	2	3
224	и другими	6	3
225	или не	2	3
226	с другими	11	3
227	это в	3	3
228	по отношению	17	3
229	человека а	2	3
230	и еще	2	3
231	в которой	6	3
232	от этого	2	3
233	на него	4	3
234	к другу	4	3
235	если бы	12	3
236	можно говорить	2	3
237	жизни в	3	3
238	а именно	4	3
239	отношению к	17	3
240	сих пор	3	3
241	жизнь и	3	3
242	есть в	10	3
243	на этот	2	3
244	все что	6	3
245	своей книге	2	3
246	слова в	4	3
247	в русской	3	3
248	на которой	2	3
249	и этим	2	3
250	их и	3	3
251	из которых	3	3
252	так чтобы	3	3
253	находится в	2	3
254	друг к	4	3
255	с точки	21	3
256	здесь не	2	3
257	и его	21	3
258	же и	2	3
259	как на	4	3
260	как только	2	3
261	что именно	2	3
262	в большинстве	3	3
263	до сих	3	3
264	время и	2	2
265	и притом	3	2
266	во все	5	2
267	следовательно и	2	2
268	к этим	2	2
269	и следовательно	7	2
270	только у	4	2
271	в себе	9	2
272	от него	3	2
273	перед нами	8	2
274	в духе	3	2
275	не как	15	2
276	в конце	9	2
277	отношение к	4	2
278	и наконец	5	2
279	вера в	2	2
280	за счет	2	2
281	одним из	11	2
282	он видел	2	2
283	и тем	2	2
284	а как	8	2
285	этой работы	2	2
286	между ними	4	2
287	в частности	2	2
288	в момент	4	2
289	самом деле	9	2
290	тем как	4	2
291	в один	2	2
292	образом в	2	2
293	не так	3	2
294	для такого	2	2
295	е годы	2	2
296	всем этим	2	2
297	только с	2	2
298	входила в	2	2
299	они не	5	2
300	с другом	4	2
301	людей и	2	2
302	ни одна	2	2
303	точка зрения	14	2
304	его жизнь	2	2
305	не дает	4	2
306	ответ на	2	2
307	в е	2	2
308	здесь в	3	2
309	вот почему	3	2
310	мы видим	5	2
311	себя и	4	2
312	в дальнейшем	2	2
313	можно сказать	3	2
314	который в	2	2
315	для него	23	2
316	относится к	2	2
317	с его	14	2
318	сказать что	9	2
319	все то	5	2
320	он не	11	2
321	что если	4	2
322	другой стороны	3	2
323	и он	3	2
324	в начале	3	2
325	тем более	2	2
326	в каждом	11	2
327	должно быть	4	2
328	его как	6	2
329	время не	3	2
330	и даже	4	2
331	мы можем	3	2
332	друг с	4	2
333	как не	9	2
334	этом отношении	7	2
335	нет надобности	2	2
336	не является	2	2
337	он есть	5	2
338	ее с	3	2
339	совершенно не	2	2
340	как у	4	2
341	в пределах	13	2
342	быть только	3	2
343	на западе	2	2
344	в жизни	7	2
345	к нам	2	2
346	за пределами	2	2
347	в чем	2	2
348	во что	2	2
349	не значит	4	2
350	оно не	2	2
351	в другой	4	2
352	о них	2	2
353	но на	2	2
354	из всего	2	2
355	был не	2	2
356	по себе	13	2
357	и всех	2	2
358	раз и	4	2
359	чтобы быть	2	2
360	ту сторону	2	2
361	также не	2	2
362	к другому	2	2
363	говорить о	3	2
364	и особенно	2	2
365	у него	9	2
366	друг другу	3	2
367	как его	2	2
368	в нашем	3	2
369	но эта	4	2
370	ему но	2	2
371	не оставляет	4	2
372	все в	7	2
373	однако не	2	2
374	из одного	4	2
