N	3gram	Tiupa_Teor	EvropaiC
1	в том что	10	16
2	по отношению к	10	11
3	более или менее	6	8
4	с точки зрения	3	8
5	для того чтобы	5	7
6	так или иначе	5	5
7	в самом деле	2	5
8	тем не менее	3	4
9	с другой стороны	6	4
10	может быть и	2	4
11	не может быть	5	4
12	то ни было	2	3
13	бы то ни	2	3
14	в данном случае	5	3
15	и того же	4	3
16	одного и того	4	3
17	в связи с	3	3
18	в нашем случае	2	2
19	при этом что	2	2
20	с одной стороны	3	2
21	то же время	8	2
22	а с другой	2	2
23	как и в	2	2
24	том что он	2	2
25	в то же	8	2
26	в свою очередь	3	2
