N	2gram	Bakhtin_fo	VrazhdaK
1	не только	16	9
2	в этом	41	8
3	и в	84	8
4	что в	9	7
5	но и	14	7
6	и все	10	7
7	то что	13	7
8	но в	16	6
9	как и	15	6
10	в котором	8	6
11	в начале	3	6
12	в нем	28	6
13	и с	10	6
14	все же	12	6
15	в романе	40	6
16	и даже	5	6
17	и не	19	5
18	не было	8	5
19	об этом	3	5
20	то же	18	5
21	в то	13	5
22	же время	13	5
23	у него	8	5
24	для нас	2	4
25	уже в	5	4
26	целый ряд	2	4
27	во многом	2	4
28	это не	8	4
29	в виду	5	4
30	все это	10	4
31	при этом	8	4
32	о том	4	4
33	в ней	4	4
34	как бы	11	4
35	так же	7	4
36	что он	2	4
37	в истории	6	4
38	с ним	5	4
39	может быть	18	4
40	человека в	22	3
41	и у	8	3
42	в том	16	3
43	в чем	3	3
44	его в	8	3
45	имел в	2	3
46	далеко не	3	3
47	и уже	4	3
48	и во	13	3
49	в своем	8	3
50	том что	7	3
51	в его	19	3
52	в связи	13	3
53	раз в	4	3
54	и его	26	3
55	и как	12	3
56	в этот	5	3
57	он был	2	3
58	он не	6	3
59	связи с	14	3
60	к этому	5	3
61	но он	4	3
62	наряду с	7	3
63	в конце	11	3
64	с его	10	3
65	тем что	4	3
66	никогда не	8	2
67	в честь	2	2
68	с нею	2	2
69	и то	5	2
70	в них	11	2
71	уже не	5	2
72	в мире	4	2
73	одна из	3	2
74	к ним	3	2
75	и т.п	6	2
76	место в	4	2
77	в него	2	2
78	в той	5	2
79	для него	5	2
80	и это	5	2
81	на первый	2	2
82	с точки	9	2
83	а в	6	2
84	а также	5	2
85	он сам	2	2
86	в этой	3	2
87	том же	4	2
88	его с	2	2
89	в своей	2	2
90	как раз	13	2
91	же в	6	2
92	и он	3	2
93	в себе	7	2
94	еще не	8	2
95	точки зрения	14	2
96	о чем	4	2
97	же как	2	2
98	тем более	4	2
99	после этого	2	2
100	таким образом	14	2
101	и ее	4	2
102	во время	7	2
103	его и	2	2
104	отношения к	7	2
105	время и	4	2
106	в свою	2	2
107	так в	2	2
108	их в	6	2
109	рядом с	4	2
110	не может	8	2
111	мотивы и	2	2
112	в роман	6	2
113	из них	8	2
114	в это	5	2
115	его на	3	2
116	и стал	2	2
117	к себе	8	2
118	отнюдь не	7	2
119	на основе	5	2
120	этот момент	2	2
121	вместе с	9	2
122	отношение к	5	2
