N	2gram	Tiupa_Hudo	Narrotol
1	не только	22	62
2	и не	15	50
3	при этом	21	47
4	но и	13	45
5	а не	23	38
6	в качестве	13	35
7	в частности	10	31
8	может быть	12	30
9	и в	34	30
10	в том	24	29
11	своего рода	19	28
12	том что	31	28
13	тогда как	10	28
14	в этом	22	28
15	а в	11	27
16	такого рода	4	26
17	состоит в	8	25
18	с собачкой	15	25
19	только в	8	25
20	в данном	3	24
21	как и	16	24
22	не в	16	23
23	то что	13	23
24	в тексте	8	22
25	не может	10	20
26	в рассказе	23	18
27	данном случае	3	17
28	в себе	19	17
29	так и	19	17
30	а также	4	17
31	у чехова	20	16
32	со стороны	6	16
33	в его	17	16
34	но в	6	15
35	можно сказать	9	15
36	иначе говоря	2	15
37	к тому	11	15
38	и т.п	2	15
39	картина мира	4	14
40	в жизни	9	14
41	и его	8	14
42	в своем	9	13
43	в своей	15	13
44	то же	14	13
45	времени и	2	13
46	у него	13	13
47	о том	21	13
48	уже не	12	13
49	перед нами	13	12
50	картины мира	4	12
51	все же	5	12
52	прежде всего	12	12
53	как в	11	12
54	как бы	11	12
55	сводится к	7	12
56	тем самым	2	11
57	по отношению	15	11
58	к себе	8	11
59	даме с	5	11
60	и тем	2	11
61	героя в	2	11
62	об этом	8	11
63	в нем	5	11
64	в этой	11	11
65	если бы	7	11
66	жизни в	12	11
67	отношению к	15	11
68	в мире	10	11
69	дамы с	6	11
70	хотя и	3	11
71	никогда не	8	10
72	всего лишь	7	10
73	в то	12	10
74	и т.д	3	10
75	ничего не	11	10
76	как это	8	10
77	один из	6	10
78	точки зрения	7	10
79	того что	5	10
80	как правило	6	10
81	и все	10	10
82	но не	7	10
83	жизни и	10	10
84	между тем	14	10
85	с его	9	10
86	во времени	2	9
87	еще не	10	9
88	что он	14	9
89	в даме	4	9
90	что в	8	9
91	отнюдь не	4	9
92	рассказа в	9	9
93	в рамках	2	9
94	тем не	7	9
95	для него	15	9
96	столь же	6	9
97	чеховских рассказов	2	9
98	я в	2	9
99	потому что	7	9
100	с ним	6	9
101	как раз	7	9
102	или иной	2	8
103	о чем	9	8
104	матери и	2	8
105	самом деле	6	8
106	но при	3	8
107	не менее	9	8
108	анной сергеевной	4	8
109	того чтобы	6	8
110	[...] и	2	8
111	одна из	4	8
112	и он	6	8
113	у нее	10	8
114	этом отношении	4	8
115	действующих лиц	3	8
116	в литературе	3	8
117	и для	5	8
118	с анной	4	8
119	в самом	7	8
120	и к	6	8
121	соответствии с	2	8
122	внимание на	3	8
123	же время	11	8
124	в таком	3	8
125	он не	8	8
126	в футляре	4	7
127	это не	12	7
128	вслед за	3	7
129	при всей	3	7
130	в конце	5	7
131	едва ли	6	7
132	в ней	6	7
133	на себя	3	7
134	в целом	2	7
135	в ее	16	7
136	человеческого я	7	7
137	и состоит	4	7
138	же в	3	7
139	в речи	2	7
140	в силу	2	7
141	в глазах	11	7
142	в финале	5	7
143	с другой	4	7
144	в котором	5	7
145	пока еще	3	7
146	и на	6	7
147	или в	3	7
148	в форме	2	7
149	одной стороны	4	6
150	о нем	4	6
151	они не	2	6
152	во втором	2	6
153	не могла	4	6
154	однако в	4	6
155	что и	3	6
156	представляют собой	2	6
157	например в	3	6
158	сказать что	3	6
159	никак не	3	6
160	то в	6	6
161	то и	5	6
162	из этих	3	6
163	здесь не	2	6
164	однако и	5	6
165	в результате	2	6
166	уже говорилось	3	6
167	на него	3	6
168	героя и	5	6
169	как у	2	6
170	не по	2	6
171	с одной	4	6
172	анна сергеевна	19	6
173	что у	4	6
174	в нашем	2	6
175	на то	4	6
176	слова в	2	6
177	в конечном	5	6
178	все что	4	6
179	человеческих отношений	7	6
180	на самом	2	5
181	том как	5	5
182	для нее	6	5
183	анны сергеевны	14	5
184	такова что	2	5
185	в другом	3	5
186	и у	3	5
187	или напротив	2	5
188	художественного письма	2	5
189	дело с	2	5
190	и о	8	5
191	о котором	2	5
192	к нему	2	5
193	место в	3	5
194	являет собой	2	5
195	человеческой жизни	9	5
196	не столько	4	5
197	было бы	8	5
198	мы не	2	5
199	я не	8	5
200	себе самому	4	5
201	да и	5	5
202	и то	2	5
203	по поводу	3	5
204	и от	6	5
205	что это	2	5
206	или не	3	5
207	читателя в	6	5
208	с ними	3	5
209	так сказать	3	5
210	в начале	3	5
211	в равной	3	5
212	бы и	2	5
213	себя в	11	5
214	с ее	7	5
215	этом и	2	5
216	и даже	4	5
217	в центре	4	5
218	только что	4	5
219	другая жизнь	2	5
220	подобно тому	4	5
221	в концовке	6	5
222	для того	3	5
223	в пределах	4	5
224	в ялте	10	5
225	его жизни	6	5
226	не случайно	14	5
227	их в	2	5
228	именно в	9	5
229	человек в	3	5
230	в своих	4	5
231	в русской	4	5
232	о них	4	5
233	еще в	4	5
234	из них	5	5
235	тому как	4	5
236	в одном	3	5
237	не было	8	5
238	он сам	3	5
239	и уже	3	5
240	и сам	3	5
241	как будто	7	5
242	даже в	4	4
243	не о	3	4
244	в москве	2	4
245	еще раз	2	4
246	собственно и	2	4
247	и ее	3	4
248	в ответ	3	4
249	но именно	3	4
250	в произведениях	2	4
251	роль в	2	4
252	по сути	2	4
253	в ходе	4	4
254	как он	4	4
255	жизни так	4	4
256	только на	6	4
257	друг друга	5	4
258	xix столетия	2	4
259	картину мира	3	4
260	в аспекте	5	4
261	из нас	5	4
262	по своему	3	4
263	в душе	6	4
264	зрелого чеховского	5	4
265	в них	3	4
266	тому что	8	4
267	она не	6	4
268	мы узнаем	5	4
269	это уже	2	4
270	на том	3	4
271	а то	2	4
272	с мезонином	2	4
273	все его	3	4
274	ему в	3	4
275	анне сергеевне	7	4
276	жизненной позиции	2	4
277	так в	2	4
278	что на	4	4
279	на ее	3	4
280	не все	2	4
281	центральное событие	2	4
282	жизни героя	2	4
283	в театре	4	4
284	о своей	3	4
285	когда в	4	4
286	и когда	4	4
287	и по	3	4
288	что они	4	4
289	в первом	2	4
290	который в	2	4
291	как мы	5	4
292	в основе	3	4
293	антоши чехонте	3	4
294	хотя бы	2	4
295	могла бы	2	4
296	конечном счете	4	4
297	это было	2	4
298	к ней	2	4
299	которая не	3	4
300	не имеет	2	4
301	человека в	10	4
302	как по	2	4
303	не могло	2	4
304	субъекта самоопределения	3	4
305	не с	2	4
306	с позиции	3	4
307	в крыжовнике	2	4
308	на святках	4	4
309	для себя	9	4
310	раз в	5	4
311	во сне	3	4
312	что я	4	4
313	в сфере	2	4
314	и с	10	4
315	для нас	4	4
316	по себе	3	4
317	несмотря на	7	4
318	по своей	5	4
319	которой он	2	4
320	к жизни	6	4
321	или даже	2	4
322	в себя	3	4
323	о которой	3	4
324	встрече с	3	4
325	вместе с	2	4
326	еще и	2	3
327	до конца	3	3
328	ее и	2	3
329	ни о	3	3
330	и потому	3	3
331	идет о	3	3
332	так же	3	3
333	сознания в	2	3
334	но как	3	3
335	и сама	3	3
336	об одном	3	3
337	при встрече	2	3
338	рассказа на	2	3
339	чеховский рассказ	3	3
340	как к	4	3
341	в следующем	3	3
342	с этой	3	3
343	для других	5	3
344	а как	2	3
345	царица небесная	2	3
346	в виде	2	3
347	и составляет	2	3
348	а его	3	3
349	не знает	2	3
350	так а	2	3
351	а с	5	3
352	одно из	4	3
353	одной из	5	3
354	с матерью	2	3
355	как уже	3	3
356	порой и	2	3
357	в него	2	3
358	и это	7	3
359	участие в	3	3
360	ли в	2	3
361	своей жизни	6	3
362	между ними	2	3
363	жизни на	4	3
364	видит в	3	3
365	же не	3	3
366	что не	4	3
367	личность не	2	3
368	не бывает	3	3
369	же как	4	3
370	все эти	4	3
371	и дело	3	3
372	той же	3	3
373	связи с	4	3
374	и тогда	2	3
375	в связи	3	3
376	заключает в	2	3
377	и т	15	3
378	интерес к	5	3
379	речь идет	3	3
380	рассказа как	2	3
381	особенно в	3	3
382	о его	2	3
383	или иного	4	3
384	первом случае	2	3
385	все время	2	3
386	того или	4	3
387	характер и	3	3
388	сердце у	2	3
389	к анне	6	3
390	рассказа не	2	3
391	все было	3	3
392	с гуровым	4	3
393	но это	2	3
394	можно было	6	3
395	н.д тамарченко	2	3
396	в первой	6	3
397	о своем	2	3
398	дело в	2	3
399	и читатель	2	3
400	на одном	2	3
401	что она	10	3
402	дело не	2	3
403	в которой	2	3
404	а о	2	3
405	чеховских героев	3	3
406	несет в	4	3
407	укрупнение плана	3	3
408	себя с	3	3
409	каждого из	3	3
410	во второй	7	3
411	и уж	2	3
412	магнитном поле	2	3
413	в чужой	3	3
414	лишь в	5	3
415	бы не	3	3
416	и внутренним	2	3
417	он уже	4	3
418	в противовес	2	3
419	где в	2	3
420	в этих	7	3
421	о герое	2	3
422	все равно	2	3
423	было ясно	2	3
424	второй главы	4	3
425	сих пор	3	3
426	по ходу	2	3
427	со своей	3	3
428	в е	2	3
429	всей своей	2	3
430	это была	2	3
431	в роли	3	3
432	сути дела	2	3
433	глядя на	3	3
434	о себе	3	3
435	жизни не	2	3
436	ключ к	2	3
437	жизни как	7	3
438	приводит к	5	3
439	еще одна	3	3
440	всякий раз	4	3
441	он и	2	3
442	только не	3	3
443	как она	3	3
444	в следующей	3	3
445	казалось что	6	3
446	личной тайны	22	3
447	с точки	5	3
448	говорит о	4	3
449	чеховского творчества	6	3
450	и что	3	3
451	человеческого бытия	5	3
452	говорить о	4	3
453	на стороне	2	3
454	характера и	2	3
455	что было	3	3
456	но еще	3	3
457	по его	4	3
458	она в	5	3
459	и только	2	3
460	как на	2	3
461	не следует	2	3
462	же самое	4	3
463	на фоне	5	3
464	случайно в	3	3
465	в чеховском	8	3
466	от нормы	2	3
467	наряду с	4	3
468	но он	3	3
469	до сих	3	3
470	по причине	2	2
471	за нею	2	2
472	в действительности	5	2
473	в каждой	2	2
474	из рассказа	4	2
475	личного опыта	2	2
476	другого человека	2	2
477	она может	2	2
478	когда же	3	2
479	срывало шляпы	2	2
480	в человеке	5	2
481	как было	2	2
482	глазах автора	4	2
483	именно так	2	2
484	я сам	2	2
485	для притчи	2	2
486	выступает в	2	2
487	в это	4	2
488	из хора	2	2
489	концовке рассказа	2	2
490	между внешней	2	2
491	с той	2	2
492	же о	2	2
493	пустой двор	2	2
494	наконец в	2	2
495	сознания героя	2	2
496	в магнитном	2	2
497	рассказа о	4	2
498	говоря о	2	2
499	давно уже	3	2
500	на столе	2	2
501	от лица	2	2
502	личного бытия	3	2
503	в их	2	2
504	казалось бы	12	2
505	в любви	2	2
506	от своего	2	2
507	личной тайной	4	2
508	дама с	4	2
509	быть личностью	3	2
510	роль принадлежит	2	2
511	к своему	2	2
512	из жизни	2	2
513	так что	3	2
514	т п	10	2
515	чеховского героя	4	2
516	и читателя	5	2
517	не слышит	3	2
518	один человек	2	2
519	[...] не	7	2
520	одновременно и	5	2
521	они и	2	2
522	только потому	2	2
523	как субъекта	3	2
524	любви и	3	2
525	вдруг забилось	2	2
526	когда все	2	2
527	но одновременно	3	2
528	учитель словесности	3	2
529	в контексте	2	2
530	моя жизнь	2	2
531	в город	2	2
532	друг для	3	2
533	новое лицо	2	2
534	не могу	3	2
535	больше не	3	2
536	жизнь в	3	2
537	и мисюсь	2	2
538	воспринимающего сознания	2	2
539	своей собственной	2	2
540	личную тайну	3	2
541	на свой	3	2
542	человека есть	2	2
543	воинского устава	2	2
544	[...] а	3	2
545	быть может	7	2
546	серая от	2	2
547	этого человека	2	2
548	в берете	2	2
549	с нею	2	2
550	другому человеку	3	2
551	персонажа в	2	2
552	чувствовала себя	2	2
553	говорится в	2	2
554	что же	4	2
555	живет в	2	2
556	собственного я	2	2
557	нее тревожно	2	2
558	у гурова	2	2
559	него уже	2	2
560	можно назвать	2	2
561	своей природе	2	2
562	по выражению	3	2
563	потом когда	2	2
564	они все	2	2
565	билось сердце	2	2
566	в сущности	2	2
567	чеховского рассказа	17	2
568	личности в	9	2
569	письма не	2	2
570	принадлежит к	2	2
571	в двух	2	2
572	ее жизни	2	2
573	людей а	2	2
574	его характер	3	2
575	признать что	2	2
576	вовсе не	2	2
577	у себя	3	2
578	характеры действующих	2	2
579	стороне лиды	2	2
580	жизни с	3	2
581	в литературном	2	2
582	сторону жизни	2	2
583	если в	4	2
584	чехова как	5	2
585	футляром личности	2	2
586	слово не	2	2
587	и притча	3	2
588	но все	2	2
589	было видно	3	2
590	герой рассказа	3	2
591	однако для	2	2
592	к читателю	2	2
593	к двум	2	2
594	чехова по	4	2
595	это в	4	2
596	бытия и	4	2
597	творец своего	2	2
598	него сжалось	2	2
599	нас в	2	2
600	должно быть	2	2
601	по мнению	6	2
602	на это	2	2
603	бы в	2	2
604	субъектов жизни	2	2
605	бы на	2	2
606	в данной	2	2
607	также в	2	2
608	в зеркале	2	2
609	прибегает к	3	2
610	этой своей	2	2
611	первый раз	2	2
612	чеховского человека	3	2
613	это внутренняя	2	2
614	то чтобы	2	2
615	мысль о	2	2
616	и личность	3	2
617	разговоре с	2	2
618	по своим	2	2
619	с серым	2	2
620	превращается в	6	2
621	все это	2	2
622	художественного целого	8	2
623	тем что	6	2
624	та же	5	2
625	жизни то	3	2
626	как о	3	2
627	своего счастья	2	2
628	xix в	5	2
629	финале рассказа	5	2
630	его и	2	2
631	думать о	2	2
632	позицию адресата	2	2
633	городе с	6	2
634	которым можно	2	2
635	себе и	3	2
636	тайны в	5	2
637	быть только	2	2
638	во всех	2	2
639	русской литературе	3	2
640	в пределе	2	2
641	и более	2	2
642	первой главы	4	2
643	отношение к	3	2
644	принципиально важно	2	2
645	ни с	2	2
646	о самом	2	2
647	с другим	2	2
648	автора и	4	2
649	гурова не	2	2
650	а между	4	2
651	в городе	7	2
652	установкой на	3	2
653	когда он	2	2
654	или иначе	3	2
655	своего я	6	2
656	от пыли	3	2
657	будто бы	6	2
658	отношения между	2	2
659	к чужому	4	2
660	зрения на	2	2
661	вступает в	2	2
662	благодаря которым	2	2
663	а по	2	2
664	и стал	2	2
665	со своим	5	2
666	как все	2	2
667	видно что	3	2
668	внутренней заданности	6	2
669	в настоящем	2	2
670	вся жизнь	3	2
671	личной жизни	2	2
672	героев в	3	2
673	раз и	2	2
674	анну сергеевну	5	2
675	и внутренней	3	2
676	более чем	2	2
677	в других	4	2
678	к другому	5	2
679	о личности	2	2
680	из деревни	2	2
681	героя на	2	2
682	с собой	2	2
683	свой пустой	2	2
684	ему казалось	3	2
685	чехова это	3	2
686	жизнью и	3	2
687	это и	2	2
688	личность же	2	2
689	для друга	3	2
690	как только	3	2
691	дело здесь	2	2
692	совершенно иной	2	2
693	один и	2	2
694	но с	3	2
695	узнаем что	2	2
696	это время	2	2
697	своих героев	2	2
698	этих двух	2	2
699	в системе	2	2
700	ясно что	2	2
