N	2gram	Propp_Isto	Russkaja
1	не может	19	22
2	и не	19	19
3	в том	12	17
4	в этом	13	17
5	с другом	3	14
6	и в	40	14
7	друг с	4	14
8	то что	17	13
9	то же	21	11
10	таким образом	13	11
11	в то	4	10
12	но и	21	10
13	не только	28	9
14	том что	11	9
15	может быть	37	9
16	в себе	6	9
17	того чтобы	3	8
18	прежде всего	15	8
19	и с	5	7
20	к тому	6	7
21	о том	12	7
22	мы должны	17	7
23	и если	4	7
24	отнюдь не	2	7
25	ни к	3	7
26	самом деле	2	7
27	с тем	13	6
28	на самом	3	6
29	и для	5	6
30	к которой	2	6
31	для всех	2	6
32	если бы	8	6
33	все это	6	6
34	что он	32	6
35	в своем	5	6
36	для него	2	6
37	вопрос о	8	5
38	а в	15	5
39	на то	6	5
40	было бы	11	5
41	хотя бы	5	5
42	из которых	3	5
43	между собой	4	5
44	и на	6	5
45	потому что	12	5
46	при этом	6	5
47	в нем	8	5
48	он должен	3	5
49	в своей	2	5
50	себя и	2	5
51	конечно не	2	5
52	только в	16	5
53	никогда не	25	5
54	и только	4	5
55	он не	10	5
56	сих пор	12	5
57	между тем	2	5
58	во всех	3	5
59	по существу	7	5
60	до сих	11	5
61	и то	3	4
62	что в	19	4
63	но не	7	4
64	его в	15	4
65	все же	17	4
66	себя в	2	4
67	не могут	3	4
68	к этой	5	4
69	не в	11	4
70	как и	5	4
71	более или	5	4
72	как бы	6	4
73	можно было	8	4
74	путь к	2	4
75	идет речь	2	4
76	приводит к	3	4
77	так как	20	4
78	тогда когда	2	4
79	что же	4	4
80	в его	10	4
81	со стороны	3	4
82	в их	6	4
83	то ни	2	4
84	точку зрения	3	4
85	отказаться от	2	4
86	во всем	3	4
87	в этой	9	4
88	в совершенно	2	4
89	вместе с	13	4
90	бы то	2	4
91	или менее	5	4
92	одной из	6	3
93	да и	3	3
94	одна из	4	3
95	то это	9	3
96	том чтобы	2	3
97	для этого	3	3
98	в большинстве	4	3
99	что это	12	3
100	но мы	2	3
101	этом случае	3	3
102	именно в	5	3
103	из этих	2	3
104	приходит к	2	3
105	должно быть	2	3
106	не есть	2	3
107	всех этих	4	3
108	и потому	3	3
109	в другом	6	3
110	главным образом	2	3
111	из них	5	3
112	но если	4	3
113	и как	3	3
114	знаем что	9	3
115	так чтобы	3	3
116	что и	9	3
117	или в	6	3
118	из этого	3	3
119	и по	4	3
120	связи с	10	3
121	еще не	14	3
122	в виде	2	3
123	того что	6	3
124	в качестве	8	3
125	что они	13	3
126	друг друга	2	3
127	не было	3	3
128	и т	39	3
129	тем что	7	3
130	и должно	3	2
131	этой роли	2	2
132	и от	2	2
133	чтобы понять	3	2
134	не так	2	2
135	но она	2	2
136	с этим	5	2
137	в таких	4	2
138	есть и	2	2
139	тем самым	2	2
140	были бы	2	2
141	большинстве случаев	4	2
142	ее в	7	2
143	к нему	3	2
144	указывает на	2	2
145	на этой	2	2
146	она не	6	2
147	из всех	2	2
148	только с	4	2
149	но в	13	2
150	ни в	2	2
151	в котором	5	2
152	что такое	3	2
153	так же	18	2
154	их в	7	2
155	на себя	2	2
156	в начале	3	2
157	этого не	6	2
158	в ней	10	2
159	на эту	3	2
160	уже не	3	2
161	на которой	2	2
162	на это	3	2
163	время в	2	2
164	этот вопрос	7	2
165	в некоторых	4	2
166	в результате	2	2
167	по отношению	6	2
168	даже не	2	2
169	и вместе	2	2
170	в силу	7	2
171	и даже	4	2
172	а не	18	2
173	и тот	3	2
174	для нас	17	2
175	по этому	2	2
176	по себе	4	2
177	мы можем	7	2
178	не можем	4	2
179	нисколько не	3	2
180	точно так	8	2
181	к себе	2	2
182	зависит от	3	2
183	бы его	2	2
184	в других	3	2
185	и тем	2	2
186	к чему	4	2
187	и вот	2	2
188	и что	14	2
189	но это	8	2
190	сделать это	3	2
191	все эти	6	2
192	только для	3	2
193	и наконец	5	2
194	а с	4	2
195	и тогда	3	2
196	является не	2	2
197	не просто	5	2
198	в этих	17	2
199	так часто	2	2
200	только на	2	2
201	в частности	3	2
202	и есть	5	2
203	так что	9	2
204	во время	5	2
205	как будто	7	2
206	именно на	2	2
207	во многих	2	2
208	должна быть	5	2
209	его и	6	2
210	отношения к	2	2
211	в области	2	2
212	за то	3	2
213	с ним	3	2
214	у него	5	2
215	там и	3	2
216	не должен	8	2
217	мы уже	7	2
218	и более	3	2
219	их не	3	2
220	ясно что	2	2
