N	2gram	Tiupa_Hudo	Otkroven
1	у него	2	22
2	и в	23	19
3	но и	14	13
4	и не	16	13
5	в этом	12	12
6	не только	20	11
7	не в	9	11
8	а не	13	11
9	может быть	19	11
10	человека и	2	10
11	в нем	6	10
12	никогда не	2	9
13	в самой	2	9
14	потому что	3	9
15	прежде всего	5	9
16	лишь в	7	7
17	в его	11	7
18	он не	4	7
19	но он	3	7
20	как и	3	6
21	все это	2	6
22	для него	5	5
23	а в	13	5
24	в том	20	5
25	о его	2	5
26	в самом	7	5
27	то что	5	5
28	в этой	2	5
29	отношение к	7	5
30	и его	12	4
31	что в	7	4
32	только и	2	4
33	того чтобы	5	4
34	все эти	2	4
35	человеческих отношений	2	4
36	не может	9	4
37	с его	6	4
38	в себе	13	3
39	о том	2	3
40	это не	4	3
41	к нему	3	3
42	что он	5	3
43	для того	5	3
44	еще не	4	3
45	в этих	4	3
46	в русской	3	3
47	и ее	3	3
48	никто не	3	3
49	как бы	11	3
50	могут быть	5	3
51	с ним	2	3
52	того что	5	3
53	как к	5	2
54	одно из	2	2
55	и то	4	2
56	сказать что	4	2
57	и на	3	2
58	и для	3	2
59	человека к	3	2
60	не могли	2	2
61	что и	2	2
62	ее в	2	2
63	и потому	2	2
64	в ее	6	2
65	в своем	4	2
66	но в	10	2
67	том что	9	2
68	жизни в	2	2
69	в своей	7	2
70	с чем	2	2
71	по себе	2	2
72	своей жизни	2	2
73	не все	2	2
74	и о	4	2
75	в душе	9	2
76	и к	3	2
77	так и	12	2
78	этом мире	2	2
79	в которой	3	2
80	личности и	3	2
81	хотя и	4	2
82	в другом	4	2
83	при чтении	2	2
84	его в	4	2
