N	2gram	Losev_Prob	UchenyiS
1	и в	48	14
2	не только	28	10
3	а не	7	10
4	и не	29	8
5	прежде всего	15	8
6	то что	26	7
7	не может	6	7
8	в этом	31	7
9	в искусстве	2	6
10	может быть	11	6
11	и только	4	5
12	то же	6	5
13	художественного творчества	10	5
14	хотя бы	11	5
15	все это	8	5
16	в художественном	2	5
17	но и	21	4
18	в этой	14	4
19	с другой	8	4
20	в россии	2	4
21	в их	4	4
22	конечно не	2	4
23	не о	2	3
24	у нас	17	3
25	в частности	5	3
26	для этого	2	3
27	это не	8	3
28	и то	6	3
29	в своей	29	3
30	все же	12	3
31	не как	3	3
32	как и	10	3
33	в то	6	3
34	но в	17	3
35	ни было	2	3
36	было бы	12	3
37	в области	3	3
38	бы то	4	3
39	то ни	4	3
40	другой стороны	8	3
41	для него	2	3
42	в самом	7	2
43	в себе	7	2
44	что мы	4	2
45	и у	8	2
46	мы и	2	2
47	о чем	2	2
48	же не	4	2
49	нас в	5	2
50	на эту	2	2
51	форму и	2	2
52	же самое	2	2
53	что он	12	2
54	крайней мере	8	2
55	таким образом	20	2
56	в буквальном	2	2
57	но не	12	2
58	и для	11	2
59	если бы	2	2
60	не все	3	2
61	между тем	2	2
62	самом деле	3	2
63	только в	21	2
64	этом смысле	4	2
65	а его	5	2
66	и является	6	2
67	не есть	3	2
68	что она	2	2
69	ничего не	3	2
70	всех этих	3	2
71	даже и	11	2
72	и с	10	2
73	тех или	2	2
74	что и	8	2
75	или иных	2	2
76	по крайней	8	2
77	могут быть	2	2
78	но даже	6	2
79	не могут	3	2
80	это было	2	2
81	сих пор	3	2
82	по себе	5	2
83	тем что	2	2
84	том что	29	2
85	а как	2	2
86	в его	19	2
87	это уже	4	2
88	в том	25	2
89	этом отношении	4	2
90	если не	6	2
91	с его	3	2
92	как раз	7	2
93	конце концов	7	2
94	но это	7	2
95	для всех	2	2
96	по существу	2	2
97	не в	16	2
98	в конце	10	2
99	мы не	7	2
100	до сих	3	2
101	могли бы	2	2
