N	3gram	Vinokur_Vv	Narrotol
1	в том что	15	18
2	в данном случае	4	17
3	не только в	4	13
4	по отношению к	4	11
5	в отличие от	4	11
6	о том что	13	9
7	в то же	6	8
8	той или иной	3	8
9	тем не менее	9	8
10	в этом отношении	4	8
11	в соответствии с	2	8
12	то же время	6	8
13	не может быть	10	8
14	можно сказать что	3	6
15	с одной стороны	4	6
16	в известном смысле	3	6
17	состоит в том	2	6
18	подобно тому как	2	5
19	для того чтобы	22	5
20	в свою очередь	2	5
21	во всяком случае	5	4
22	то же самое	3	3
23	в первом случае	2	3
24	точно так же	2	3
25	в связи с	2	3
26	с точки зрения	4	3
27	а также и	2	3
28	в самом деле	6	3
29	до сих пор	7	3
30	в зависимости от	3	3
31	обратим внимание на	2	3
32	дело в том	3	3
33	и то что	3	3
34	одно и то	2	2
35	и то же	2	2
36	тем или иным	2	2
37	и потому что	2	2
38	но все же	4	2
39	не в том	2	2
40	одного и того	2	2
41	в той мере	6	2
42	можно было бы	4	2
43	мере в какой	6	2
44	что иное как	5	2
45	и т п	5	2
46	той мере в	6	2
47	и того же	2	2
48	а между тем	2	2
49	в центре внимания	2	2
