N	3gram	Losev_Dial	Komedia
1	в том что	12	29
2	к тому же	2	21
3	до сих пор	4	16
4	то же время	8	16
5	в то же	7	16
6	о том что	6	13
7	в самом деле	3	13
8	в то время	2	11
9	и т п	3	11
10	то время как	2	9
11	с одной стороны	3	9
12	с другой стороны	7	8
13	в конце концов	4	7
14	во всяком случае	3	7
15	так или иначе	3	7
16	с самого начала	2	7
17	в связи с	3	6
18	с точки зрения	18	6
19	что он не	2	5
20	то же самое	3	5
21	и т д	28	5
22	в этом отношении	2	5
23	тем не менее	3	5
24	т е в	3	4
25	к тому что	3	4
26	можно было бы	4	4
27	так как он	2	4
28	но все же	2	4
29	по сравнению с	2	4
30	более или менее	5	3
31	ни в чем	2	3
32	сомневаться в том	2	3
33	друг с другом	2	3
34	на то что	4	3
35	несмотря на всю	5	3
36	в зависимости от	2	2
37	точно так же	3	2
38	не только в	2	2
39	в разной степени	2	2
40	с тех пор	2	2
41	только потому что	4	2
42	в этом смысле	4	2
43	как будто бы	3	2
44	одной стороны и	3	2
45	в каждом из	2	2
46	и в то	3	2
47	и даже не	3	2
