N	2gram	Berdyaev_M	Problemy
1	и в	61	106
2	и не	26	90
3	как бы	10	70
4	может быть	42	66
5	т е	5	59
6	в его	10	56
7	в этом	34	52
8	в нем	26	51
9	не может	39	49
10	из подполья	11	48
11	что он	16	44
12	как и	14	44
13	у достоевского	75	43
14	но и	34	40
15	точки зрения	6	40
16	для него	28	39
17	и его	13	39
18	а не	36	38
19	о себе	3	37
20	не только	42	36
21	то же	4	36
22	то что	10	33
23	но в	12	33
24	прежде всего	18	32
25	в то	2	29
26	все это	6	29
27	он не	34	29
28	и все	13	28
29	не в	16	27
30	к другому	4	27
31	к себе	3	26
32	к нему	8	25
33	в сущности	2	25
34	в самом	15	25
35	и с	6	25
36	самом деле	2	24
37	не как	4	24
38	с самим	5	24
39	и на	9	23
40	в каждом	4	22
41	по себе	2	22
42	никогда не	30	20
43	все же	2	20
44	потому что	25	20
45	только в	7	20
46	что в	12	19
47	достоевского в	10	19
48	с его	6	19
49	отношению к	4	19
50	что же	2	19
51	на самом	2	18
52	в себе	12	18
53	по отношению	4	18
54	о нем	2	18
55	все эти	3	18
56	уже не	8	18
57	но не	8	18
58	это не	10	17
59	в том	9	17
60	так и	5	17
61	а в	4	17
62	самим собою	2	17
63	и к	9	17
64	человека из	2	17
65	с ним	5	17
66	так же	5	16
67	если бы	5	16
68	в своей	18	16
69	до конца	16	15
70	о мире	2	15
71	достоевского не	7	15
72	и для	7	15
73	у него	38	15
74	в отношении	6	14
75	так как	10	14
76	другого человека	2	14
77	в своем	17	14
78	в конце	11	14
79	я не	4	14
80	лишь в	8	14
81	с другим	3	14
82	он и	2	14
83	а как	2	14
84	его в	6	13
85	достоевского и	12	13
86	и это	16	13
87	себя и	6	13
88	в романах	2	13
89	творчестве достоевского	7	13
90	в мире	12	13
91	том что	7	12
92	ничего не	4	12
93	так что	3	12
94	к тому	6	12
95	между тем	2	12
96	не знает	12	12
97	что и	6	12
98	было бы	11	12
99	но это	8	12
100	за пределы	5	12
101	и как	3	12
102	достоевского как	2	12
103	как в	9	12
104	себе и	4	12
105	отношении к	4	12
106	для достоевского	11	12
107	в котором	9	12
108	и что	4	12
109	не могут	6	11
110	конце концов	3	11
111	она не	9	11
112	ни одного	2	11
113	бы и	8	11
114	он сам	11	11
115	должно быть	5	11
116	бы в	3	11
117	тем что	7	11
118	входит в	3	11
119	как будто	4	11
120	к одному	2	10
121	отношение к	9	10
122	в него	3	10
123	что не	3	10
124	до сих	5	10
125	сих пор	5	10
126	лишь как	3	10
127	в самой	8	10
128	в творчестве	13	10
129	приводит к	2	10
130	той же	3	10
131	достоевский в	7	10
132	романах достоевского	2	10
133	и потому	17	9
134	могут быть	2	9
135	в них	5	9
136	ивана карамазова	10	9
137	хотя и	2	9
138	хотя бы	8	9
139	достоевского но	4	9
140	человека в	26	9
141	что у	3	9
142	ни в	3	9
143	в той	3	9
