N	2gram	Vygotskiy_	Vvedenie
1	в том	47	38
2	в этом	32	35
3	и в	37	35
4	том что	42	30
5	может быть	19	30
6	не только	29	26
7	для того	19	23
8	того чтобы	23	22
9	таким образом	39	21
10	также и	2	20
11	не может	16	19
12	то что	32	19
13	потому что	11	18
14	со стороны	4	16
15	о том	14	16
16	только в	8	16
17	так как	11	15
18	языка и	3	15
19	в общем	5	14
20	представляет собой	13	14
21	и не	15	13
22	что в	25	13
23	в самом	16	13
24	в нем	2	13
25	в их	5	12
26	того что	28	12
27	точки зрения	49	12
28	в его	16	12
29	как на	5	12
30	этом смысле	3	11
31	в данном	5	11
32	то же	12	11
33	по себе	9	11
34	в ее	3	11
35	как мы	11	11
36	ясно что	2	11
37	вопрос о	11	10
38	не в	9	10
39	прежде всего	12	10
40	но в	9	10
41	между тем	10	10
42	из этих	6	9
43	этого рода	2	9
44	и как	7	9
45	все же	6	9
46	представляют собой	2	9
47	смысле этого	6	9
48	но не	6	9
49	в истории	7	9
50	это не	5	8
51	можно было	6	8
52	о котором	3	8
53	с другой	16	8
54	именно в	8	8
55	как нечто	2	8
56	в качестве	12	8
57	и то	3	7
58	выводу что	5	7
59	к выводу	10	7
60	самом деле	8	7
61	сих пор	4	7
62	о природе	5	7
63	как и	20	7
64	как бы	16	7
65	этот вопрос	6	7
66	смысле слова	6	7
67	представить себе	5	7
68	но и	23	7
69	было бы	12	7
70	в применении	2	7
71	до сих	4	7
72	сказать что	16	6
73	как например	2	6
74	том чтобы	6	6
75	хотя бы	7	6
76	об этом	6	6
77	и даже	5	6
78	но если	3	6
79	о языке	2	6
80	тем что	7	6
81	как он	7	6
82	а именно	2	6
83	в какой	5	6
84	на вопрос	6	6
85	на этот	7	6
86	с тем	8	6
87	и это	3	6
88	а в	4	6
89	уже не	2	6
90	в которых	6	6
91	могут быть	5	6
92	в то	7	6
93	один из	3	6
94	и что	11	6
95	и его	10	6
96	все это	9	6
97	же время	2	6
98	вовсе не	5	6
99	вместе с	14	6
100	данном случае	5	5
101	независимо от	10	5
102	дело в	3	5
103	с их	2	5
104	и т.д	15	5
105	в виду	5	5
106	и тем	8	5
107	связь между	10	5
108	с этой	7	5
109	что он	16	5
110	так что	2	5
111	на основании	6	5
112	в течение	4	5
113	что не	2	5
114	одно из	3	5
115	как уже	9	5
116	от этого	4	5
117	как это	6	5
118	есть не	3	5
119	другой стороны	10	5
120	в них	5	5
121	уже в	8	5
122	в целом	29	5
123	всяком случае	5	5
124	что и	3	5
125	говорить о	4	5
126	а не	5	5
127	в первом	2	5
128	но с	3	5
129	хотя и	2	5
130	во всяком	6	5
131	все более	4	4
132	само по	3	4
133	по сравнению	10	4
134	в результате	7	4
135	мы имеем	2	4
136	о чем	2	4
137	одной стороны	15	4
138	и ее	9	4
139	в области	4	4
140	по отношению	12	4
141	только что	7	4
142	должен быть	6	4
143	связана с	4	4
144	этом отношении	6	4
145	из двух	3	4
146	но ведь	2	4
147	как о	2	4
148	по мере	5	4
149	отношению к	11	4
150	речь в	4	4
151	в чем	5	4
152	отличие от	3	4
153	в отличие	3	4
154	с одной	14	4
155	заключается в	12	4
156	относящихся к	2	4
157	к тому	10	4
158	одной из	4	4
159	но все	3	4
160	и для	3	4
161	не имеет	5	4
162	только с	2	4
163	в котором	6	4
164	в виде	3	4
165	в более	3	4
166	ответ на	4	4
167	тогда когда	8	4
168	в одном	5	4
169	из них	4	4
170	видит в	2	4
171	в себе	8	4
172	связи между	3	4
173	действительность в	3	4
174	и заключается	2	4
175	с точки	34	4
176	в своей	7	4
177	как раз	8	4
178	сравнению с	9	4
179	можно сказать	6	4
180	той же	4	4
181	так называемых	2	4
182	никогда не	8	3
183	в каком	3	3
184	отношений между	4	3
185	в отношении	14	3
186	и вообще	2	3
187	что это	8	3
188	в изучении	2	3
189	на нее	2	3
190	или иной	3	3
191	известном смысле	3	3
192	в своем	10	3
193	и той	2	3
194	с этим	8	3
195	так же	18	3
196	нисколько не	2	3
197	в начале	2	3
198	в собственном	8	3
199	бы и	4	3
200	для этого	7	3
201	что она	6	3
202	к этому	7	3
203	в другом	7	3
204	в значительной	2	3
205	в конце	2	3
206	обе эти	4	3
207	от того	7	3
208	сама по	3	3
209	если бы	10	3
210	зависимости от	8	3
211	об отношении	15	3
212	исследования и	7	3
213	при помощи	2	3
214	в сущности	13	3
215	ответа на	3	3
216	и вот	3	3
217	раньше чем	3	3
218	языков в	2	3
219	понятно что	2	3
220	в этих	3	3
221	в силу	8	3
222	в частности	8	3
223	как в	7	3
224	что может	5	3
225	что даже	2	3
226	всего того	2	3
227	не с	2	3
228	мы видели	8	3
229	как такового	2	3
230	стороны и	3	3
231	со всей	7	3
232	на этой	2	3
233	на том	2	3
234	и на	8	3
235	зависит от	2	3
236	за собой	4	3
237	в известной	2	3
238	в ней	2	3
239	в конечном	4	3
240	и к	9	3
241	вообще и	2	3
242	мы говорим	2	3
243	на этом	3	3
244	между ними	2	3
245	из которых	6	3
246	то это	2	3
247	но что	3	3
248	в известном	4	3
249	по этому	4	3
250	что же	3	3
251	нуждается в	2	3
252	спросить себя	2	3
253	же как	8	3
254	вот почему	5	3
255	при этом	6	3
256	он сам	3	3
257	своей природе	3	3
258	в зависимости	8	3
259	что с	6	3
260	наряду с	3	3
261	все эти	6	3
262	той или	3	3
263	связи с	7	3
264	и есть	2	3
265	и сам	2	3
266	же самое	4	3
267	в этой	13	3
268	чем же	2	3
269	в слове	2	3
270	собственном смысле	8	3
271	и других	4	3
272	того как	6	3
273	одно и	2	2
274	но вместе	5	2
275	с которыми	2	2
276	ничего не	6	2
277	и развития	2	2
278	природе и	3	2
279	движение от	2	2
280	о которых	4	2
281	бы с	3	2
282	и потому	3	2
283	это понятие	2	2
284	из того	7	2
285	его к	3	2
286	мы должны	11	2
287	во всех	4	2
288	и до	5	2
289	все время	8	2
290	лежит в	3	2
291	же это	2	2
292	с ней	3	2
293	другом месте	6	2
294	с чем	2	2
295	тем более	7	2
296	который по	2	2
297	должно быть	4	2
298	этой точки	2	2
299	бы в	5	2
300	к проблемам	2	2
301	не существует	4	2
302	которые не	4	2
303	мысли и	7	2
304	что здесь	2	2
305	мы называем	3	2
306	что оно	6	2
307	как явление	2	2
308	те кто	2	2
309	не могли	2	2
310	в следующем	4	2
311	что именно	3	2
312	и те	2	2
313	в связи	3	2
314	виде в	3	2
315	подобно тому	2	2
316	казалось бы	8	2
317	том же	4	2
318	а с	8	2
319	и представить	2	2
320	имеет свою	2	2
321	свою очередь	3	2
322	что если	3	2
323	слова как	3	2
324	и при	2	2
325	когда мы	2	2
326	и со	2	2
327	должна была	2	2
328	так и	12	2
329	к своему	2	2
330	одной и	2	2
331	проблемы и	4	2
332	изложения и	2	2
333	и др	5	2
334	две части	2	2
335	прийти к	2	2
336	каким образом	3	2
337	на протяжении	3	2
338	философии и	3	2
339	увидим что	2	2
340	можно считать	2	2
341	значение в	4	2
342	целом ряде	2	2
343	вопросу о	2	2
344	говорит он	27	2
345	тому что	6	2
