N	2gram	Losev_Dial	UchenyiS
1	и в	35	14
2	не только	26	10
3	а не	24	10
4	и не	51	8
5	прежде всего	14	8
6	то что	25	7
7	не может	16	7
8	в этом	18	7
9	в искусстве	2	6
10	может быть	30	6
11	и только	5	5
12	то же	21	5
13	хотя бы	6	5
14	все это	14	5
15	но и	17	4
16	в этой	3	4
17	что такое	13	4
18	с другой	10	4
19	в их	5	4
20	конечно не	9	4
21	не о	5	3
22	в частности	4	3
23	для этого	2	3
24	это не	18	3
25	только к	2	3
26	и то	15	3
27	в своей	9	3
28	все же	9	3
29	не как	4	3
30	как и	10	3
31	в то	10	3
32	но в	8	3
33	же время	9	3
34	к сожалению	2	3
35	или точнее	2	3
36	ни было	2	3
37	было бы	14	3
38	в области	2	3
39	другой стороны	7	3
40	для него	2	3
41	в самом	6	2
42	в себе	23	2
43	что мы	3	2
44	и у	2	2
45	мы и	3	2
46	в широком	2	2
47	о чем	4	2
48	же не	4	2
49	форму и	2	2
50	же самое	3	2
51	что он	16	2
52	крайней мере	11	2
53	таким образом	5	2
54	но не	9	2
55	ни от	2	2
56	и для	2	2
57	если бы	12	2
58	между тем	3	2
59	самом деле	6	2
60	только в	7	2
61	этом смысле	4	2
62	и является	2	2
63	не есть	67	2
64	что она	18	2
65	ничего не	19	2
66	всех этих	4	2
67	даже и	3	2
68	и с	10	2
69	тех или	5	2
70	но конечно	2	2
71	что и	7	2
72	по крайней	11	2
73	могут быть	6	2
74	на первый	2	2
75	не могут	4	2
76	это было	4	2
77	превращается в	2	2
78	сих пор	4	2
79	по себе	39	2
80	тем что	2	2
81	том что	18	2
82	в его	4	2
83	это уже	2	2
84	все они	2	2
85	в том	20	2
86	что все	2	2
87	этом отношении	2	2
88	как таковой	6	2
89	как раз	7	2
90	должна быть	5	2
91	конце концов	4	2
92	а о	2	2
93	но это	12	2
94	по существу	2	2
95	не в	12	2
96	интереса к	2	2
97	бы и	4	2
98	мы получаем	4	2
99	в конце	5	2
100	в системе	2	2
101	до сих	4	2
102	именно как	2	2
