N	2gram	Berdyaev_V	Problema
1	и в	16	182
2	и не	20	152
3	то что	9	144
4	не есть	6	113
5	не только	2	104
6	потому что	4	89
7	в этом	4	88
8	том что	2	81
9	в том	3	81
10	только в	2	73
11	но и	5	70
12	так и	4	56
13	а не	7	56
14	но в	3	55
15	ни в	3	51
16	для нас	2	50
17	в своей	3	45
18	прежде всего	2	45
19	что в	3	44
20	в его	4	44
21	все эти	3	43
22	не в	3	43
23	так как	9	40
24	что мы	4	40
25	и то	2	40
26	что он	4	40
27	и что	3	40
28	во всяком	2	39
29	как бы	5	39
30	хотя бы	3	37
31	того что	5	37
32	в нем	4	37
33	еще не	8	36
34	и все	4	36
35	и т	2	35
36	как и	4	34
37	уже не	2	34
38	т д	2	33
39	но не	2	32
40	в конце	3	31
41	все это	5	31
42	но это	3	31
43	и для	3	30
44	мы не	2	28
45	а в	2	28
46	и это	2	27
47	хотя и	5	27
48	это не	2	26
49	да и	2	26
50	не имеет	3	24
51	с тем	2	24
52	никогда не	3	22
53	и есть	4	22
54	нет ничего	3	22
55	что и	3	22
56	говорить о	4	21
57	и потому	7	20
58	можно было	2	20
59	тем что	2	20
60	то это	3	19
61	если не	3	19
62	с ним	2	19
63	в них	3	19
64	жизни и	3	19
65	не будет	2	18
66	того чтобы	2	18
67	в этих	3	18
68	мы и	2	18
69	не было	3	18
70	в ней	4	18
71	что они	7	17
72	во всех	3	17
73	к тому	3	16
74	в чем	3	15
75	что не	4	15
76	и сам	2	15
77	не так	2	14
78	что все	4	14
79	людей и	2	14
80	все равно	2	14
81	в котором	4	14
82	бы и	3	13
83	тому что	3	13
84	значения и	2	12
85	для них	2	12
86	на земле	7	12
87	и во	2	11
88	в истории	8	11
89	тот же	3	11
90	не могут	2	11
91	по этому	3	11
92	и тогда	2	11
93	один из	2	10
94	на том	2	10
95	их в	3	9
96	нет и	2	9
97	в жизни	3	9
98	от этого	3	8
99	для него	2	8
100	нас и	3	8
101	является в	2	8
102	которые не	2	8
103	конечно не	2	8
104	а с	2	7
105	оно не	3	7
106	что их	2	7
107	ее в	2	7
108	людей в	3	6
109	а есть	2	6
110	есть уже	2	6
111	самого себя	2	6
112	могут быть	2	6
113	с его	3	6
114	под этим	2	6
115	уже на	2	6
116	не к	2	6
117	человека и	6	5
118	одна из	2	5
119	у людей	2	5
120	тот кто	2	5
121	до того	2	5
122	лишь в	3	5
123	к людям	6	5
124	все что	4	5
125	за то	3	5
126	между тем	2	5
127	его не	2	5
128	на себя	5	5
129	когда в	2	5
130	и будет	3	5
131	должно быть	3	5
132	мира в	2	5
133	от него	2	4
134	в духе	2	4
135	людей не	2	4
136	и они	3	4
137	не могли	2	4
138	что от	2	4
139	за ним	3	4
140	верит в	2	4
141	свободы и	12	4
142	духа и	2	4
143	и никогда	2	4
144	на нас	2	4
145	зачем же	2	4
146	ничего и	2	4
147	это все	2	4
148	и за	2	4
149	но мы	2	4
150	мы это	2	4
151	для людей	2	4
152	что во	3	4
153	это мы	2	4
154	в силах	4	3
155	ее и	2	3
156	для человека	2	3
157	которой они	2	3
158	будет уже	2	3
159	мы хотим	4	3
160	в образе	4	3
161	должна быть	3	3
162	и люди	2	3
163	не хотел	2	3
164	превращается в	3	3
165	и над	2	3
166	земли и	2	3
167	его к	2	3
168	в человека	2	3
169	от этих	2	3
170	для их	2	3
171	вот почему	2	3
172	и мы	3	3
173	а к	2	3
174	от которого	3	3
175	мир и	2	3
176	что было	2	3
177	и любви	2	2
178	почему в	2	2
179	с богом	4	2
180	не имел	2	2
181	мы же	3	2
182	о великом	4	2
183	в существе	2	2
184	огонь с	2	2
185	в абсолютном	3	2
186	к нам	2	2
187	на тебя	2	2
188	и окончательное	2	2
189	в число	2	2
190	добра и	4	2
191	они будут	4	2
192	вслед за	2	2
193	они и	2	2
194	ивана карамазова	2	2
195	над ними	2	2
196	и я	4	2
197	раз навсегда	2	2
198	нет у	4	2
199	по пути	5	2
200	в прошлом	2	2
201	что есть	5	2
202	который тоже	2	2
203	не с	2	2
204	и будут	2	2
205	они в	3	2
206	что я	3	2
207	его во	3	2
