N	2gram	Bakhtin_KF	SlovoVZh
1	не может	29	16
2	точки зрения	13	14
3	может быть	45	14
4	и его	18	13
5	как бы	9	13
6	и в	28	12
7	отношению к	22	11
8	по отношению	26	11
9	и не	28	10
10	если бы	8	9
11	прежде всего	4	8
12	для нас	4	7
13	при этом	4	6
14	в том	6	6
15	в нем	32	6
16	только в	18	6
17	к содержанию	2	6
18	в процессе	2	6
19	в ней	3	6
20	никогда не	5	5
21	как в	2	5
22	в жизни	2	5
23	в виду	3	5
24	но в	5	5
25	том что	4	5
26	то же	5	5
27	как и	5	5
28	должна быть	4	5
29	хотя бы	5	5
30	а не	17	5
31	то что	7	5
32	отнюдь не	7	5
33	в этом	15	4
34	не только	5	4
35	на самом	3	4
36	что не	3	4
37	его в	5	4
38	жизни и	8	4
39	не в	13	4
40	ни было	4	4
41	все же	5	4
42	дело в	2	4
43	к нему	12	4
44	так и	2	4
45	и на	3	4
46	уже не	7	4
47	от того	3	4
48	отношение к	6	4
49	как к	2	3
50	по себе	2	3
51	в каком	4	3
52	о том	3	3
53	и для	10	3
54	ее и	6	3
55	ни в	12	3
56	все эти	11	3
57	в котором	24	3
58	бы то	2	3
59	то ни	2	3
60	в своей	11	3
61	мы не	3	3
62	конечно не	7	3
63	в себе	21	3
64	еще не	5	3
65	здесь не	3	3
66	все это	10	3
67	и ее	2	3
68	между тем	4	3
69	но для	3	3
70	не менее	3	3
71	с ним	5	3
72	отношении к	2	3
73	быть и	3	3
74	самом деле	3	3
75	и пр	3	3
76	того что	3	3
77	тем не	2	3
78	но и	9	3
79	для него	13	3
80	ясно что	3	3
81	едва ли	2	2
82	каждый момент	2	2
83	конечно в	2	2
84	и то	2	2
85	тем как	3	2
86	в его	42	2
87	до конца	3	2
88	и здесь	7	2
89	что в	4	2
90	к ним	4	2
91	не есть	22	2
92	место в	6	2
93	бы оно	2	2
94	ничего не	3	2
95	с его	2	2
96	но конечно	3	2
97	что и	7	2
98	это не	10	2
99	и все	9	2
100	там где	5	2
101	с точки	10	2
102	и содержания	2	2
103	содержания и	2	2
104	она не	2	2
105	но все	6	2
106	в своем	17	2
107	дело с	2	2
108	бы не	3	2
109	все они	2	2
110	в данном	2	2
111	его к	2	2
112	независимо от	3	2
113	из него	4	2
114	не остается	2	2
115	мы имеем	5	2
116	в то	3	2
117	себя и	5	2
118	в событии	5	2
119	смысл и	6	2
120	но это	6	2
121	он не	6	2
122	оценки и	2	2
123	в момент	3	2
124	эти моменты	3	2
125	и потому	2	2
126	его как	5	2
127	оно не	2	2
128	имеем в	2	2
129	но не	12	2
130	в себя	8	2
131	контекста в	2	2
132	могут быть	3	2
133	в чем	4	2
134	быть только	8	2
135	к этому	2	2
136	тогда когда	3	2
137	и та	3	2
138	но этот	2	2
139	в корне	3	2
140	и совершенно	3	2
