N	3gram	Tiupa_Vved	Morfolog
1	в этих случаях	2	14
2	не может быть	6	9
3	по отношению к	11	7
4	тем не менее	3	6
5	подобно тому как	3	5
6	а также и	2	5
7	с другой стороны	2	5
8	на самом деле	4	4
9	в том что	10	4
10	о том что	6	3
11	состоит в том	2	3
12	как и в	2	3
13	на первый взгляд	3	3
14	на то что	2	3
15	следует заметить что	2	2
16	во всяком случае	3	2
17	в данном случае	15	2
18	не входит в	2	2
19	более или менее	2	2
20	в этом отношении	7	2
21	с того что	2	2
22	начинается с того	2	2
23	хотя и не	2	2
24	можно было бы	2	2
25	друг на друга	2	2
26	с одной стороны	9	2
