N	3gram	Potebnia_M	Myshleni
1	в том что	18	133
2	с точки зрения	3	89
3	для того чтобы	4	78
4	по отношению к	13	42
5	с одной стороны	6	39
6	с самого начала	5	36
7	с другой стороны	7	26
8	в собственном смысле	2	26
9	на то что	3	25
10	не может быть	11	23
11	к тому что	2	22
12	в то время	3	22
13	смысле этого слова	3	22
14	не только не	2	21
15	из того что	2	19
16	и тем самым	2	19
17	во всяком случае	7	18
18	в этом смысле	4	18
19	до сих пор	5	17
20	одного и того	6	17
21	в связи с	2	17
22	и того же	6	17
23	с этой точки	2	16
24	одной и той	3	15
25	и той же	3	15
26	на этот вопрос	2	14
27	друг от друга	3	14
28	мы видели что	2	14
29	в свою очередь	8	14
30	подобно тому как	7	14
31	то и другое	6	13
32	тем не менее	10	12
33	таким образом что	2	12
34	мы не можем	2	11
35	с таким образом	3	11
36	только тогда когда	5	11
37	одной стороны и	2	10
38	не иначе как	2	10
39	тех и других	3	10
40	то что в	2	10
41	друг на друга	2	10
42	от того что	5	10
43	не в состоянии	2	10
44	на самом деле	2	9
45	сама по себе	4	9
46	само по себе	6	9
47	более или менее	6	9
48	как и в	3	9
49	с тем что	4	9
50	все более и	2	8
51	сам по себе	5	8
52	не могут быть	5	8
53	что и в	4	8
54	более и более	2	8
55	только в том	7	8
56	потому что в	5	6
57	не что иное	2	6
58	заключает в себе	6	6
59	что иное как	2	6
60	одном и том	3	6
61	то что мы	2	6
62	в том смысле	7	6
63	и том же	3	6
64	в том и	2	6
65	но все же	2	5
66	в то же	3	5
67	и как бы	4	5
68	и что в	3	5
69	и в этом	7	5
70	том смысле что	2	5
71	сами по себе	8	5
72	так как в	2	5
73	не только в	3	5
74	только потому что	3	5
75	после того как	3	4
76	так что в	2	4
77	мы увидим что	3	4
78	но и в	4	4
79	имеет дело с	2	4
80	таким образом в	3	4
81	что мы не	2	4
82	вбирает в себя	2	4
83	так и в	5	4
84	но на деле	3	4
85	бы то ни	2	3
86	во внимание что	2	3
87	это было бы	2	3
88	том и другом	2	3
89	того что они	2	3
90	и все остальные	2	3
91	в применении к	3	3
92	нам остается только	2	3
93	но и по	2	3
94	тем что мы	3	3
95	и потому что	2	3
96	как и во	3	3
97	которые могут быть	2	3
98	и во всех	2	3
99	то же время	3	3
100	а потому что	2	3
101	к которому мы	2	3
102	дело в том	3	3
103	о которой мы	2	3
104	и связанное с	2	3
105	что не только	3	2
106	что в истории	2	2
107	могут быть названы	3	2
108	и при этом	2	2
109	по себе не	3	2
110	в каждом языке	2	2
111	можем представить себе	2	2
112	в одном из	2	2
113	не могло бы	2	2
114	может быть не	4	2
115	и может быть	4	2
116	они ни были	2	2
117	но тем не	6	2
118	между звуком и	2	2
119	мы не имеем	2	2
120	которых мы не	2	2
121	оно не имеет	2	2
122	столь же мало	2	2
123	которые не могут	2	2
124	было бы невозможно	5	2
125	потому что как	3	2
126	при известных условиях	2	2
127	не только для	2	2
128	в одном и	3	2
129	не только по	2	2
