N	3gram	Vygotskiy_	FransuaR
1	мы уже говорили	2	43
2	как мы уже	2	28
3	до сих пор	3	27
4	в том числе	2	27
5	в том что	33	27
6	в этом отношении	7	20
7	с точки зрения	12	20
8	для того чтобы	20	17
9	о том что	7	17
10	том числе и	2	17
11	как мы видели	4	16
12	в связи с	6	16
13	на самом деле	3	13
14	не может быть	4	13
15	с одной стороны	10	13
16	в той же	3	13
17	в другом месте	4	12
18	с другой стороны	8	12
19	можно сказать что	7	11
20	в отличие от	3	11
21	в конце концов	2	10
22	в данном случае	3	10
23	по отношению к	19	9
24	в свое время	2	9
25	мы видим что	2	9
26	мы видели что	2	8
27	таким образом в	2	8
28	в следующей главе	2	7
29	включает в себя	2	7
30	в настоящее время	2	7
31	на первый план	2	7
32	можно было бы	8	7
33	в самом деле	6	7
34	подобно тому как	6	7
35	о том как	3	7
36	в то время	4	7
37	с самого начала	8	6
38	но все же	2	6
39	в свою очередь	4	6
40	во всяком случае	2	5
41	то же самое	7	5
42	в первом случае	2	5
43	вместо того чтобы	5	5
44	и тот же	5	5
45	друг с другом	10	5
46	и в частности	3	5
47	одной стороны и	2	5
48	по сравнению с	9	5
49	только то что	2	5
50	потому что он	7	5
51	один и тот	5	4
52	в сущности это	2	4
53	одной и той	3	4
54	но он не	5	4
55	в собственном смысле	2	4
56	в самом начале	2	4
57	и не может	3	4
58	так же как	9	4
59	на этот вопрос	5	4
60	и той же	3	4
61	том что в	2	4
62	и то что	6	4
63	потому что в	4	3
64	в этом смысле	5	3
65	не только не	7	3
66	в нашем примере	2	3
67	является одним из	2	3
68	заключается в том	12	3
69	именно потому что	3	3
70	есть не что	2	3
71	вместе с тем	4	3
72	с таким же	3	3
73	что иное как	2	3
74	те же самые	4	3
75	тех или иных	2	3
76	далеко за пределы	4	3
77	все эти три	2	3
78	одного и того	8	3
79	не что иное	2	3
80	в основе этого	2	3
81	и того же	8	3
82	но как раз	2	3
83	а с другой	3	3
84	те и другие	11	3
85	смысле этого слова	2	3
86	в вопросе о	3	3
87	друг от друга	5	3
88	таким образом что	2	2
89	по своей природе	2	2
90	с помощью которого	3	2
91	именно в этом	3	2
92	ничего общего с	3	2
93	только тогда когда	2	2
94	и в области	2	2
95	первый из них	2	2
96	хотя бы в	2	2
97	мы знаем что	2	2
98	никак не может	2	2
99	не могут быть	3	2
100	в этом случае	5	2
101	все более и	3	2
102	но при этом	2	2
103	из того что	4	2
104	мы не можем	2	2
105	же как и	2	2
106	его отношение к	3	2
107	том что он	3	2
108	друг к другу	3	2
109	то что он	3	2
110	между этими двумя	2	2
111	того как он	2	2
112	и в другом	3	2
113	в другом случае	2	2
114	более и более	3	2
115	только в пределах	3	2
116	в известном смысле	7	2
117	в том чтобы	3	2
