N	3gram	Propp_Isto	Analitik
1	в том что	8	25
2	не может быть	4	19
3	по отношению к	2	18
4	о том что	3	15
5	в данном случае	6	14
6	к тому же	4	13
7	подобно тому как	3	9
8	с одной стороны	2	9
9	с другой стороны	10	9
10	не только в	3	8
11	как и в	2	8
12	состоит в том	2	8
13	во всяком случае	2	7
14	что иное как	6	7
15	тем не менее	6	6
16	не что иное	6	6
17	есть не что	2	5
18	но и в	2	5
19	в этом случае	8	5
20	не только не	2	5
21	содержит в себе	2	3
22	в связи с	5	3
23	одной и той	2	3
24	можно сказать что	2	3
25	и той же	2	3
26	и то что	4	3
27	в таких случаях	2	2
28	тех случаях когда	2	2
29	в тех случаях	2	2
30	т е к	2	2
31	здесь мы имеем	3	2
32	можно было бы	2	2
33	друг с другом	2	2
34	в этих случаях	13	2
35	до сих пор	7	2
36	смысле этого слова	3	2
37	на то что	4	2
