N	2gram	Losev_Vlad	StatiiOP
1	и в	56	103
2	в том	26	89
3	том что	22	77
4	в этом	30	76
5	что в	24	74
6	не только	35	60
7	и т	3	51
8	о том	13	47
9	но и	26	46
10	то что	30	44
11	что он	22	42
12	в его	18	42
13	и не	33	41
14	может быть	12	38
15	пушкина и	2	33
16	было бы	7	32
17	т д	3	32
18	в этой	4	31
19	вовсе не	8	31
20	все это	7	29
21	тем что	2	29
22	таким образом	6	28
23	в г	2	28
24	а в	20	27
25	а не	5	27
26	но в	19	26
27	что это	2	25
28	так и	11	25
29	этом отношении	2	24
30	и его	12	24
31	все же	11	23
32	не в	12	23
33	так что	13	23
34	точки зрения	4	23
35	потому что	16	23
36	того что	6	22
37	в области	3	22
38	прежде всего	5	22
39	для того	4	22
40	у нас	11	22
41	в которой	8	22
42	как в	6	22
43	того чтобы	4	21
44	это не	3	20
45	в то	15	19
46	в своей	7	19
47	г в	3	19
48	только в	11	19
49	об этом	13	18
50	не может	12	18
51	с другой	3	18
52	в котором	10	18
53	он не	13	18
54	в году	54	17
55	между прочим	18	17
56	в россии	7	17
57	как на	2	17
58	в самом	3	17
59	как бы	5	17
60	с этим	3	16
61	сказать что	14	16
62	в ней	5	16
63	если бы	2	16
64	в статье	2	16
65	в этих	5	16
66	в отношении	5	15
67	с тем	4	15
68	как и	7	15
69	для него	16	15
70	о пушкине	2	15
71	по поводу	15	15
72	другой стороны	3	15
73	из этих	5	15
74	я не	8	15
75	также и	13	15
76	и на	7	15
77	у него	28	15
78	как раз	7	15
79	так например	3	14
80	к тому	5	14
81	то же	10	14
82	в течение	13	14
83	но все	3	14
84	и что	11	14
85	в своем	10	13
86	в конце	22	13
87	со стороны	5	13
88	а с	5	13
89	что касается	6	13
90	но это	6	13
91	в качестве	7	13
92	в нем	7	13
93	во всяком	8	13
94	дело в	7	13
95	именно в	4	13
96	из них	3	13
97	всяком случае	8	13
98	в той	2	13
99	жизни и	8	13
100	вместе с	9	13
101	не менее	9	12
102	что они	4	12
103	так как	11	12
104	обстоятельство что	2	12
105	хотя бы	5	12
106	что у	4	12
107	ни в	4	12
108	в своих	7	12
109	никогда не	15	11
110	и с	27	11
111	в них	5	11
112	все эти	6	11
113	и по	10	11
114	из его	6	11
115	того как	2	11
116	это было	9	11
117	на то	7	11
118	то обстоятельство	2	11
119	не было	12	11
120	ясно что	2	11
121	в каком	3	10
122	так же	4	10
123	ответ на	2	10
124	в частности	4	10
125	на вопрос	2	10
126	ничего не	4	10
127	не столько	4	10
128	в целом	3	10
129	что и	6	10
130	в истории	4	10
131	в начале	7	10
132	во всех	4	10
133	во второй	3	10
134	кроме того	12	10
135	в рукописи	2	10
136	но не	5	10
137	что такое	3	10
138	же время	7	10
139	но он	7	10
140	в печати	2	9
141	русской истории	2	9
142	письме к	14	9
143	в чем	4	9
144	такого рода	4	9
145	что же	11	9
146	несмотря на	7	9
147	место в	2	9
148	по этому	3	9
149	д д	2	9
150	он был	20	9
151	во время	4	9
152	можно сказать	10	9
153	мне кажется	2	9
154	в одном	2	9
155	говорит что	4	9
156	с этой	4	9
157	его жизни	12	9
158	и для	4	9
159	и к	10	9
160	для нас	9	9
161	что мы	2	9
162	и тем	2	9
163	и это	4	9
164	до конца	8	8
165	отношение к	7	8
166	в их	2	8
167	той же	6	8
168	в общем	4	8
169	связи с	7	8
170	к этому	11	8
171	а также	12	8
172	мы имеем	2	8
173	это в	2	8
174	дело не	3	8
175	что она	2	8
176	в результате	6	8
177	тем не	8	8
178	и даже	23	8
179	должен был	3	8
180	одним из	3	8
181	совершенно не	2	8
182	и о	6	8
183	не имеет	2	8
184	еще более	3	8
185	по его	3	8
186	нужно сказать	2	8
187	очень мало	2	7
188	о чем	6	7
189	вплоть до	4	7
190	уже в	9	7
191	в это	6	7
192	что здесь	2	7
193	конце концов	6	7
194	в виде	4	7
195	и очень	5	7
196	одной из	2	7
197	что все	2	7
198	и сейчас	2	7
199	того же	11	7
200	что этот	4	7
201	уже о	3	7
202	а а	7	7
203	этому поводу	2	7
204	как это	11	7
205	тем более	4	7
206	и то	13	7
207	кажется что	3	7
208	с которыми	2	7
209	то в	6	7
210	мы находим	2	7
211	лишь в	3	7
212	еще не	2	7
213	еще и	10	7
214	на этот	9	7
215	что для	5	7
216	года в	9	7
217	по себе	3	7
218	из этого	6	7
219	то время	6	7
220	нас нет	2	7
221	этой области	2	7
222	представление о	2	7
223	не мог	10	7
224	даже в	4	6
225	в себе	5	6
226	вот что	7	6
227	ни одного	2	6
228	в новом	2	6
229	говорил что	2	6
230	своего времени	2	6
231	его не	2	6
232	по существу	4	6
233	к нему	6	6
234	в в	4	6
235	и все	8	6
236	что на	2	6
237	на его	7	6
238	он говорил	2	6
239	и во	3	6
240	и я	7	6
241	и вообще	12	6
242	с его	15	6
243	что с	3	6
