N	3gram	Bakhtin_Fr	Tvorches
1	в то же	12	25
2	то же время	12	24
3	в том что	4	11
4	о том что	4	8
5	но в то	3	6
6	по отношению к	3	5
7	в самом деле	3	5
8	это прежде всего	3	4
9	с точки зрения	4	4
10	до сих пор	3	4
11	дело в том	2	4
12	как и в	2	3
13	с другой стороны	2	3
14	что все это	2	3
15	у него в	2	2
16	так и в	3	2
17	мы уже говорили	12	2
18	в связи с	2	2
19	том числе и	2	2
20	в конце концов	5	2
21	в том числе	4	2
22	в одном из	2	2
23	что у него	2	2
24	в свою очередь	3	2
25	таким образом и	2	2
