N	3gram	Ircho_Kome	RusskieA
1	в том что	15	49
2	состоит в том	2	29
3	тем не менее	3	14
4	в этом случае	2	12
5	вместе с тем	5	11
6	о том что	7	10
7	для того чтобы	8	8
8	т е в	2	7
9	после того как	3	6
10	в связи с	3	5
11	во всяком случае	3	4
12	в то время	3	4
13	на себя внимание	3	4
14	в отличие от	3	4
15	более или менее	2	3
16	по отношению к	4	3
17	с точки зрения	6	3
18	до сих пор	12	3
19	до тех пор	5	3
20	обращает на себя	3	3
21	в свою очередь	10	3
22	к этому времени	2	2
23	в этом отношении	2	2
24	о том как	5	2
25	по его мнению	2	2
26	друг с другом	3	2
27	с одной стороны	4	2
28	и т п	4	2
29	в этой связи	3	2
30	с другой стороны	2	2
31	ни одно из	3	2
32	но все же	3	2
33	равно как и	3	2
34	к себе в	2	2
