N	2gram	Losev_Prob	Tvorches
1	и в	64	56
2	как бы	18	41
3	в его	12	37
4	в то	7	30
5	то же	10	25
6	не только	37	24
7	но в	19	24
8	то есть	61	23
9	и его	3	23
10	и не	63	23
11	а в	7	23
12	как и	7	23
13	и т	13	22
14	в этом	30	22
15	в том	19	21
16	из подполья	2	21
17	что в	21	21
18	том что	26	19
19	он не	5	19
20	может быть	29	19
21	потому что	24	19
22	то что	72	18
23	что он	11	17
24	все это	11	17
25	т д	12	17
26	и на	11	17
27	таким образом	9	17
28	никогда не	8	16
29	прежде всего	17	16
30	как в	5	16
31	при этом	8	16
32	не может	18	16
33	но и	23	16
34	м с	2	16
35	в этой	14	15
36	с его	3	15
37	но это	11	15
38	и с	12	15
39	это не	7	14
40	и даже	19	14
41	времени в	2	13
42	о том	25	13
43	а не	21	13
44	тем самым	11	12
45	в котором	5	12
46	все же	7	11
47	в своей	8	11
48	для него	2	11
49	отнюдь не	15	11
50	в конце	13	10
51	не в	6	10
52	так и	17	10
53	уже в	6	10
54	представление о	6	10
55	но не	13	10
56	в самом	10	10
57	он сам	2	10
58	только в	19	10
59	как будто	6	10
60	в нем	14	9
61	один из	7	9
62	ю м	2	9
63	и от	3	9
64	в своих	3	9
65	даже в	2	8
66	так же	12	8
67	в себе	16	8
68	в их	7	8
69	не менее	26	8
70	на его	2	8
71	так как	16	8
72	вовсе не	60	8
73	об этом	10	8
74	еще не	18	8
75	одним из	2	8
76	именно в	5	8
77	хотя и	8	8
78	вместе с	4	8
79	казалось бы	11	7
80	самом деле	10	7
81	в чем	3	7
82	например в	2	7
83	в дальнейшем	5	7
84	что она	8	7
85	в которой	2	7
86	в этих	7	7
87	уже не	9	7
88	года в	2	7
89	и сам	3	7
90	его в	9	6
91	так что	12	6
92	и все	9	6
93	на эту	2	6
94	место в	2	6
95	все эти	15	6
96	и ее	9	6
97	одна из	4	6
98	хотя бы	15	6
99	xx века	2	6
100	и как	10	6
101	если бы	8	6
102	в момент	2	6
103	с ним	4	6
104	а потому	2	6
105	бы не	4	5
106	ничего не	20	5
107	не имеют	6	5
108	но если	6	5
109	однако это	3	5
110	но эта	3	5
111	как он	4	5
112	в виде	20	5
113	в своем	7	5
114	в них	8	5
115	и это	13	5
116	что этот	2	5
117	у пушкина	2	5
118	значит что	6	5
119	что не	8	5
120	что и	2	5
121	в ее	3	5
122	мы не	6	5
123	и по	3	5
124	что они	5	5
125	в истории	6	5
126	во всей	4	5
127	тот же	4	5
128	что это	4	5
129	все время	3	5
130	с этим	7	5
131	мысли и	2	5
132	между тем	3	5
133	в известной	2	5
134	в литературе	4	5
135	с другой	8	5
136	в окончательном	2	5
137	если не	6	5
138	из них	3	5
139	не было	7	5
140	в таком	18	5
141	но с	2	5
142	перед нами	7	4
143	в область	3	4
144	при помощи	21	4
145	в плане	2	4
146	и потому	3	4
147	крайней мере	8	4
148	не был	4	4
149	роль в	2	4
150	только на	13	4
151	в частности	5	4
152	как это	7	4
153	не знает	4	4
154	в такой	3	4
155	самого начала	2	4
156	того что	18	4
157	что все	9	4
158	в в	2	4
159	к нему	5	4
160	но только	3	4
161	он говорит	2	4
162	с большим	2	4
163	точки зрения	5	4
164	что на	4	4
165	могут быть	2	4
166	сих пор	6	4
167	а а	6	4
168	однако в	2	4
169	же как	2	4
170	мы видим	2	4
171	о его	2	4
172	в основе	4	4
173	говорит о	4	4
174	тут же	3	4
175	нет ничего	12	4
176	по преимуществу	4	4
177	дело в	3	4
178	особенно в	3	4
179	на свете	2	4
180	это значит	4	4
181	тем что	10	4
182	и наконец	3	4
183	и есть	7	4
184	отказаться от	2	4
185	что его	4	4
186	по крайней	8	4
187	с самого	3	4
188	и более	4	4
189	далеко не	9	4
190	не вполне	4	4
191	с собой	3	4
192	этот вопрос	2	4
193	в которых	4	4
194	представляет собой	2	4
195	еще в	2	4
196	с точки	3	4
197	говорить о	14	4
198	той же	2	4
199	но он	3	4
200	до сих	6	4
201	заставляет нас	3	4
202	не есть	49	3
203	на самом	9	3
204	к другим	2	3
205	вот в	2	3
206	даже не	3	3
207	в другом	2	3
208	едва ли	10	3
209	для себя	9	3
210	таком случае	14	3
211	а ф	5	3
212	в виду	10	3
213	и тем	16	3
214	со стороны	2	3
215	в области	8	3
216	известной мере	2	3
217	действительности и	5	3
218	но что	3	3
219	в искусстве	3	3
220	мы находим	2	3
