N	2gram	Ircho_Kome	VerxiiNi
1	и в	37	26
2	таким образом	16	22
3	с тем	6	18
4	в этом	18	15
5	вместе с	16	15
6	точки зрения	8	13
7	как бы	7	12
8	в том	24	11
9	не только	13	10
10	из этих	2	10
11	и с	5	10
12	может быть	14	10
13	что в	11	9
14	так как	16	9
15	в области	3	9
16	связи с	5	9
17	но и	18	9
18	но не	9	8
19	с другой	5	8
20	главным образом	2	8
21	и у	4	8
22	и не	28	8
23	но все	5	7
24	в эпоху	2	7
25	к нему	8	7
26	потому что	19	7
27	одной стороны	4	7
28	из них	11	7
29	то что	5	7
30	с одной	5	7
31	но в	7	7
32	том что	22	7
33	а с	2	7
34	представление о	2	6
35	в отношении	4	6
36	все же	9	6
37	к тому	11	6
38	о том	21	6
39	того же	9	6
40	в себе	4	6
41	в конце	14	6
42	несмотря на	7	6
43	всяком случае	3	6
44	что и	12	6
45	с точки	6	6
46	все это	7	6
47	и потому	2	6
48	так и	4	6
49	во всяком	3	6
50	никогда не	5	5
51	в мире	2	5
52	одной из	4	5
53	и для	7	5
54	не имеет	6	5
55	более или	2	5
56	так же	8	5
57	том числе	2	5
58	и к	4	5
59	в силу	2	5
60	друг с	3	5
61	отношение к	7	5
62	того чтобы	9	5
63	в его	12	5
64	для того	9	5
65	с другом	3	5
66	а не	5	5
67	тому же	11	5
68	образом в	2	5
69	сих пор	12	5
70	до сих	12	5
71	или менее	2	5
72	на этот	6	4
73	и от	3	4
74	далеко не	3	4
75	а в	12	4
76	с другими	2	4
77	в котором	6	4
78	в самом	17	4
79	в нем	8	4
80	не может	9	4
81	в смысле	2	4
82	к своим	2	4
83	в которых	7	4
84	из которых	7	4
85	целый ряд	5	4
86	то же	14	4
87	числе и	2	4
88	должен был	6	4
89	и что	8	4
90	и по	3	4
91	в этих	2	4
92	только в	3	4
93	что он	15	4
94	он не	11	4
95	ничем не	4	4
96	во время	8	4
97	в течение	3	4
98	в этой	7	4
99	в то	14	4
100	в своем	9	3
101	из всех	3	3
102	с самого	5	3
103	так или	3	3
104	друг за	2	3
105	а после	3	3
106	если в	4	3
107	к ним	5	3
108	или иначе	3	3
109	и если	3	3
110	хотя бы	5	3
111	к этому	11	3
112	в результате	2	3
113	в которой	6	3
114	тем не	3	3
115	представляет собой	5	3
116	и даже	6	3
117	и как	3	3
118	если бы	18	3
119	в других	4	3
120	при этом	11	3
121	конце концов	3	3
122	не менее	9	3
123	как о	3	3
124	к концу	3	3
125	когда он	5	3
126	в качестве	4	3
127	с этой	5	3
128	в связи	4	3
129	в таком	2	3
130	так что	7	3
131	ясно что	12	3
132	и о	3	3
133	отношению к	4	3
134	к сожалению	2	3
135	в одном	3	3
136	по своему	3	2
137	одно из	3	2
138	сказать что	4	2
139	от них	2	2
140	для этого	3	2
141	из этого	2	2
142	по сравнению	3	2
143	общего с	2	2
144	и это	4	2
145	не могут	2	2
146	но при	2	2
147	а также	3	2
148	на то	3	2
149	надо было	3	2
150	он в	2	2
151	тех пор	5	2
152	состоит в	2	2
153	мы имеем	4	2
154	направляется к	3	2
155	мы можем	7	2
156	из этой	2	2
157	в начале	5	2
158	по тому	4	2
159	вплоть до	2	2
160	больше чем	4	2
161	между тем	6	2
162	одним из	2	2
163	к одной	2	2
164	похож на	2	2
165	только что	11	2
166	к его	4	2
167	в свою	12	2
168	из себя	3	2
169	не как	2	2
170	ни у	2	2
171	не могла	3	2
172	должно было	3	2
173	конечно не	4	2
174	если не	7	2
175	приводит к	4	2
176	требует от	4	2
177	в образе	5	2
178	но если	3	2
179	что мы	4	2
180	в них	6	2
181	и особенно	2	2
182	и на	6	2
183	и здесь	11	2
184	уже в	3	2
185	еще не	10	2
186	по своей	2	2
187	все что	6	2
188	пути к	2	2
189	либо в	4	2
190	не было	6	2
191	самого начала	5	2
192	этом отношении	2	2
193	на пути	2	2
194	не в	7	2
195	не всегда	2	2
196	только для	2	2
197	то ни	4	2
198	ни было	3	2
199	и все	6	2
200	же время	12	2
201	от людей	2	2
202	один из	6	2
203	в виду	3	2
204	со всеми	2	2
205	сравнению с	3	2
206	и после	2	2
207	людей и	2	2
208	прежде всего	7	2
209	признать что	5	2
210	его не	3	2
211	бы то	3	2
212	тот же	11	2
213	в глазах	10	2
214	его от	5	2
215	с его	6	2
216	во всех	4	2
217	же самое	3	2
218	не с	2	2
219	по существу	4	2
