N	3gram	Nazirov_Tv	Vvedenie
1	и т д	10	39
2	в том что	8	15
3	о том что	6	13
4	не может быть	2	10
5	тем не менее	2	9
6	в то же	19	6
7	в самом деле	2	6
8	то же время	18	6
9	во всяком случае	2	5
10	на этот вопрос	2	5
11	и т п	4	5
12	с другой стороны	2	5
13	по крайней мере	4	4
14	не только в	2	4
15	в данном случае	2	4
16	по отношению к	3	4
17	в отличие от	2	4
18	в известном смысле	2	3
19	можно сказать что	2	3
20	дело в том	4	3
21	но в то	5	3
22	в соответствии с	7	2
23	точно так же	3	2
24	в известной мере	2	2
25	в связи с	2	2
26	в свою очередь	2	2
27	влечет за собой	2	2
28	не могут быть	2	2
