N	3gram	Bakhtin_Fr	TeoriaLi
1	в том что	6	10
2	по отношению к	2	10
3	в то же	5	8
4	то же время	5	8
5	в отличие от	4	7
6	так и не	3	5
7	для того чтобы	2	5
8	не может быть	5	5
9	с точки зрения	6	3
10	с одной стороны	2	3
11	в том числе	10	3
12	подобно тому как	2	3
13	той или иной	5	3
14	можно сказать что	3	3
15	имеем в виду	2	3
16	так и его	2	2
17	при этом что	2	2
18	до известной степени	2	2
19	в значительной степени	4	2
20	том числе и	7	2
21	и в то	2	2
22	включает в себя	3	2
23	в основе своей	2	2
24	не могут быть	2	2
25	но в то	2	2
