N	2gram	Bakhtin_Fr	EvropaiC
1	таким образом	34	34
2	в том	13	31
3	и в	73	24
4	том что	8	20
5	все эти	24	19
6	не может	4	18
7	то что	12	18
8	может быть	5	17
9	до сих	3	15
10	все же	2	15
11	сих пор	3	15
12	точки зрения	6	14
13	в этом	21	13
14	все это	19	13
15	в своем	13	12
16	с этим	4	12
17	самом деле	4	12
18	между тем	2	12
19	по отношению	3	11
20	но и	15	11
21	отношению к	3	11
22	не только	11	10
23	так и	13	10
24	во всех	13	10
25	как и	19	10
26	все что	5	10
27	как бы	15	10
28	в результате	7	9
29	и не	13	9
30	не в	12	9
31	что в	14	9
32	и все	19	9
33	того же	7	9
34	потому что	9	9
35	при этом	5	9
36	и что	5	9
37	так же	11	8
38	или менее	3	8
39	к тому	2	8
40	более или	3	8
41	в самом	9	8
42	того чтобы	2	8
43	с точки	4	8
44	на самом	2	7
45	для этого	2	7
46	так как	9	7
47	что он	8	7
48	того что	5	7
49	о котором	5	7
50	о том	13	7
51	из этого	2	7
52	что и	6	7
53	в этой	18	7
54	по существу	8	7
55	вместе с	9	7
56	в мире	3	6
57	только в	7	6
58	все они	7	6
59	у них	3	6
60	еще не	3	6
61	так что	2	6
62	в то	14	6
63	должна быть	3	6
64	и для	8	6
65	с другой	3	6
66	и на	12	6
67	несмотря на	3	6
68	с ним	6	6
69	и от	10	5
70	его в	3	5
71	но все	5	5
72	в себе	16	5
73	в состоянии	2	5
74	должно быть	4	5
75	к этому	5	5
76	оказывается что	3	5
77	в которой	3	5
78	тех кто	2	5
79	лишь в	2	5
80	на все	2	5
81	и их	5	5
82	ничем не	3	5
83	между собою	3	5
84	из них	6	5
85	что это	9	5
86	из всех	2	5
87	по своему	3	5
88	у него	13	5
89	что все	3	5
90	далеко не	2	5
91	но в	12	5
92	именно в	4	5
93	и с	17	5
94	и к	6	5
95	другой стороны	2	5
96	в его	18	5
97	никогда не	6	4
98	в одну	4	4
99	и то	3	4
100	не могут	3	4
101	всех этих	2	4
102	в конце	9	4
103	которых мы	2	4
104	отношение к	3	4
105	и у	7	4
106	целый ряд	4	4
107	и т.д	3	4
108	конце концов	5	4
109	та же	7	4
110	то же	16	4
111	в их	5	4
112	в области	3	4
113	одним из	3	4
114	в виде	2	4
115	что его	2	4
116	в течение	2	4
117	между собой	2	4
118	с тем	2	4
119	не есть	2	4
120	из которых	2	4
121	что мы	2	4
122	связи с	5	4
123	он не	4	4
124	если мы	2	4
125	в дальнейшем	3	4
126	хотя и	5	4
127	мы уже	25	4
128	даже в	4	3
129	представление о	3	3
130	и вообще	3	3
131	что их	2	3
132	тем самым	3	3
133	это не	7	3
134	что если	2	3
135	и потому	6	3
136	что по	2	3
137	не подлежит	4	3
138	и до	14	3
139	от него	3	3
140	на земле	5	3
141	в начале	4	3
142	каждый из	2	3
143	бы в	3	3
144	ни было	2	3
145	с этой	4	3
146	в этих	6	3
147	конечно не	2	3
148	и других	3	3
149	в связи	3	3
150	и наконец	6	3
151	одного и	2	3
152	как у	3	3
153	у нас	4	3
154	но по	3	3
155	прежде всего	18	3
156	жизнь и	3	3
157	с одной	3	3
158	в разных	2	3
159	образом в	2	3
160	одно из	2	3
161	и это	6	3
162	в данном	3	3
163	на этой	4	3
164	а в	10	3
165	в нем	18	3
166	в ней	10	3
167	с более	2	3
168	для нас	2	3
169	в эти	2	3
170	человеческого рода	2	3
171	было бы	5	3
172	и по	4	3
173	и может	2	3
174	таким же	4	3
175	в истории	3	3
176	во всем	5	3
177	в нашем	2	3
178	в совершенно	2	3
179	тот же	3	3
180	как мы	19	3
181	образом и	2	2
182	конечно в	2	2
183	одна из	7	2
184	все то	3	2
185	другими словами	2	2
186	тех же	2	2
187	всех тех	3	2
188	в процессе	3	2
189	одну из	2	2
190	и ее	2	2
191	есть только	3	2
192	почти ничего	2	2
193	на одном	7	2
194	то есть	36	2
195	в другом	4	2
196	свою очередь	3	2
197	на него	2	2
198	должен быть	4	2
199	образом здесь	2	2
200	на первый	2	2
201	в виду	4	2
202	не было	4	2
203	следовательно и	2	2
204	в частности	2	2
205	него в	2	2
206	при виде	5	2
207	что они	2	2
208	такой же	3	2
209	а для	2	2
210	никто не	11	2
211	не знает	4	2
212	и из	2	2
213	всех других	2	2
214	том и	2	2
215	для него	7	2
216	мы видели	7	2
217	есть в	9	2
218	от них	2	2
219	и так	2	2
220	весьма часто	2	2
221	в эту	2	2
222	не имеет	4	2
223	для этой	3	2
224	также и	6	2
225	что у	3	2
226	к нему	7	2
227	со своими	2	2
228	в ту	3	2
229	на том	2	2
230	они не	2	2
231	в котором	4	2
232	их в	5	2
233	все его	3	2
234	те же	3	2
235	ту же	3	2
236	в свою	3	2
237	в которых	3	2
238	одной стороны	3	2
239	между прочим	2	2
240	на этом	6	2
241	и те	5	2
242	между ними	2	2
243	по этому	4	2
244	в них	14	2
245	так чтобы	3	2
246	между людьми	2	2
247	же что	2	2
248	жизни и	6	2
249	с ними	4	2
250	во всяком	2	2
251	и особенно	3	2
252	и его	18	2
253	в сущности	8	2
254	же время	12	2
255	а следовательно	2	2
256	с ее	3	2
257	и сам	2	2
258	из одного	4	2
259	во всей	2	2
260	развития человечества	2	2
261	в себя	3	2
262	но с	3	2
263	той же	9	2
264	я не	3	2
265	вовсе не	11	2
266	в основе	3	2
267	почти все	2	2
