N	2gram	Vygotskiy_	VrazhdaK
1	не только	25	9
2	и что	28	8
3	в этом	21	8
4	и в	55	8
5	что в	39	7
6	но и	12	7
7	и все	8	7
8	то что	47	7
9	но в	5	6
10	как и	25	6
11	в котором	5	6
12	в нем	5	6
13	и с	5	6
14	о нем	2	6
15	все же	9	6
16	и даже	11	6
17	и не	24	5
18	не было	5	5
19	об этом	3	5
20	то же	17	5
21	в то	8	5
22	же время	2	5
23	у него	4	5
24	между тем	6	5
25	для нас	5	4
26	уже в	3	4
27	целый ряд	12	4
28	несмотря на	8	4
29	в своих	12	4
30	в виду	6	4
31	все это	11	4
32	при этом	28	4
33	о том	11	4
34	в ней	3	4
35	как бы	11	4
36	х годов	5	4
37	так же	29	4
38	что он	17	4
39	с ним	2	4
40	может быть	35	4
41	т е	3	3
42	и у	6	3
43	в том	55	3
44	в чем	5	3
45	его в	3	3
46	далеко не	7	3
47	я хотел	2	3
48	страшной мести	2	3
49	что у	8	3
50	и уже	2	3
51	и во	3	3
52	в своем	3	3
53	том что	30	3
54	в его	8	3
55	в связи	3	3
56	и о	4	3
57	и его	14	3
58	и как	9	3
59	он не	8	3
60	речь идет	4	3
61	связи с	2	3
62	к этому	5	3
63	но он	3	3
64	на то	17	3
65	что есть	3	3
66	наряду с	3	3
67	в конце	6	3
68	с его	3	3
69	тем что	7	3
70	никогда не	13	2
71	в одну	2	2
72	и то	4	2
73	в них	4	2
74	уже не	3	2
75	одна из	5	2
76	к ним	4	2
77	в него	4	2
78	в той	2	2
79	при помощи	27	2
80	и это	6	2
81	с точки	12	2
82	мы знаем	8	2
83	а в	10	2
84	в этой	5	2
85	столь же	6	2
86	том же	4	2
87	его с	3	2
88	в нашей	4	2
89	в своей	6	2
90	как раз	4	2
91	но как	4	2
92	в себе	6	2
93	еще не	2	2
94	пришел к	2	2
95	точки зрения	32	2
96	о чем	2	2
97	же как	8	2
98	это в	4	2
99	таким образом	38	2
100	и ее	4	2
101	что я	4	2
102	его и	4	2
103	на место	3	2
104	п в	2	2
105	в свою	3	2
106	по мнению	2	2
107	на это	2	2
108	их в	4	2
109	не может	30	2
110	из них	4	2
111	ответ на	2	2
112	не менее	9	2
113	там же	2	2
114	но это	3	2
115	отнюдь не	11	2
116	от сознания	2	2
117	а с	2	2
118	на основе	2	2
119	о влиянии	2	2
120	вместе с	10	2
121	в известном	2	2
122	и далее	2	2
123	отношение к	3	2
