N	2gram	Voloshinov	RusskieA
1	и в	13	79
2	в том	2	64
3	том что	2	59
4	что в	3	57
5	не только	6	41
6	так как	3	34
7	в этом	2	33
8	как бы	6	31
9	но и	3	31
10	как и	3	28
11	может быть	8	28
12	в этот	2	26
13	при этом	2	22
14	а в	2	20
15	все это	4	18
16	то что	6	17
17	таким образом	6	17
18	мы не	4	16
19	не менее	2	14
20	в них	2	14
21	и не	8	14
22	не может	8	13
23	как в	2	13
24	тем что	2	12
25	не имеет	2	11
26	так и	3	10
27	между тем	2	10
28	все же	5	10
29	а также	2	10
30	в течение	2	10
31	данном случае	2	9
32	но в	4	9
33	и все	3	9
34	что они	2	9
35	то же	4	9
36	в г	2	9
37	так же	2	8
38	в данном	2	8
39	ее в	2	8
40	мы должны	6	7
41	не в	3	7
42	в руках	2	7
43	было бы	4	7
44	еще в	2	7
45	только в	6	7
46	связанные с	2	7
47	а не	2	7
48	и их	7	6
49	в их	3	6
50	к тому	2	6
51	в нем	2	6
52	с ними	2	6
53	все эти	2	6
54	в одном	3	6
55	и пр	7	6
56	в тех	2	5
57	прежде всего	9	5
58	и др	2	5
59	с этим	3	5
60	в целом	2	5
61	в связи	2	5
62	там где	2	5
63	тот же	2	5
64	в его	7	5
65	ничего общего	3	5
66	в целях	2	5
67	и для	3	5
68	с другой	2	5
69	г в	3	5
70	входит в	2	5
71	и к	2	5
72	мы уже	2	5
73	и ее	2	4
74	иное как	2	4
75	не что	2	4
76	и при	2	4
77	на две	2	4
78	здесь мы	3	4
79	своего рода	2	4
80	не столько	3	4
81	могут быть	2	4
82	не на	2	4
83	во всей	2	4
84	связанных с	2	4
85	несмотря на	2	4
86	что иное	2	4
87	в своих	2	4
88	уже в	2	4
89	в ней	2	4
90	вряд ли	3	4
91	во всем	2	4
92	никогда не	3	3
93	тех пор	4	3
94	точки зрения	7	3
95	в области	2	3
96	в ее	3	3
97	в своей	4	3
98	имеет место	2	3
99	и то	3	3
100	по отношению	3	3
101	в которой	3	3
102	от этого	2	3
103	до тех	4	3
104	если бы	2	3
105	между собою	2	3
106	отношению к	3	3
107	с одной	2	3
108	думать что	2	3
109	с точки	5	3
110	и его	12	3
111	пор пока	3	3
112	и следовательно	2	2
113	в себе	3	2
114	не как	3	2
115	представлений и	2	2
116	и наконец	5	2
117	и тем	2	2
118	а как	2	2
119	ни одно	2	2
120	самом деле	3	2
121	в ряд	2	2
122	подойти к	2	2
123	может иметь	2	2
124	но так	2	2
125	но мы	4	2
126	одной стороны	2	2
127	мы видим	2	2
128	в двух	4	2
129	для него	2	2
130	с г	2	2
131	другой стороны	2	2
132	в каждом	4	2
133	мы можем	4	2
134	общего с	3	2
135	не является	4	2
136	с этой	2	2
137	в пределах	3	2
138	и является	2	2
139	в чем	2	2
140	что эта	2	2
141	говорить о	3	2
