N	2gram	Vygotskiy_	VelikijI
1	и не	20	20
2	и в	65	16
3	так как	13	9
4	то что	61	9
5	еще не	3	8
6	в истории	3	8
7	что они	9	7
8	а не	11	7
9	в мире	3	5
10	как бы	29	5
11	но и	6	5
12	все это	12	5
13	того что	9	5
14	что все	10	4
15	и все	14	4
16	как и	12	4
17	в котором	7	4
18	потому что	26	4
19	все что	2	4
20	в нем	8	4
21	в ней	23	4
22	что не	5	4
23	мы хотим	4	4
24	что мы	6	4
25	и я	3	4
26	в его	11	4
27	говорить о	3	4
28	в этом	37	4
29	что он	23	4
30	и есть	3	4
31	так и	3	4
32	никогда не	9	3
33	в жизни	6	3
34	что в	36	3
35	в том	46	3
36	и для	4	3
37	от этого	4	3
38	не имеет	8	3
39	тому что	10	3
40	но в	5	3
41	к тому	18	3
42	ни в	6	3
43	их в	4	3
44	то это	5	3
45	но это	6	3
46	бы и	2	3
47	хотя бы	3	3
48	в своей	6	3
49	во всех	4	3
50	к чему	6	3
51	отвращение к	3	3
52	в конце	5	3
53	в них	4	3
54	жизни и	6	3
55	как не	3	3
56	в первый	2	3
57	что и	7	3
58	и мы	19	3
59	не было	4	3
60	и что	29	3
61	не в	12	3
62	все эти	7	3
63	первый раз	3	3
64	в этих	3	3
65	должна быть	5	3
66	в чем	3	3
67	тот же	5	3
68	с его	2	3
69	когда в	4	2
70	под этим	2	2
71	и то	10	2
72	с тем	14	2
73	одна из	6	2
74	не так	4	2
75	но не	3	2
76	не могли	5	2
77	по которым	2	2
78	и это	13	2
79	это не	7	2
80	ее в	7	2
81	не только	16	2
82	не могут	2	2
83	а в	9	2
84	том что	28	2
85	его к	2	2
86	но мы	4	2
87	и во	3	2
88	от него	2	2
89	а к	2	2
90	во всяком	6	2
91	мы слышим	2	2
92	вслед за	4	2
93	уже не	2	2
94	материалом для	2	2
95	когда я	3	2
96	я думаю	2	2
97	не к	5	2
98	которые не	2	2
99	так много	2	2
100	один из	7	2
101	т д	6	2
102	не будет	2	2
103	того чтобы	21	2
104	и никогда	2	2
105	более чем	2	2
106	тем что	7	2
107	мы не	7	2
108	конечно не	6	2
109	можно было	7	2
110	это все	2	2
111	только в	9	2
112	на нас	5	2
113	люди не	2	2
114	для нас	14	2
115	прежде всего	2	2
116	и т	19	2
117	вместо того	3	2
118	с ним	6	2
119	это мы	2	2
120	все тот	2	2
121	между тем	10	2
122	а с	4	2
123	для него	4	2
124	не с	2	2
125	я говорю	4	2
