N	3gram	Savitsky_E	Komedia
1	в том что	6	29
2	то же время	14	16
3	в то же	15	16
4	для того чтобы	5	11
5	в свою очередь	2	10
6	с одной стороны	8	9
7	с другой стороны	2	8
8	то ни было	4	7
9	бы то ни	4	7
10	во всяком случае	3	7
11	с точки зрения	16	6
12	не говоря уже	2	6
13	в этом отношении	3	5
14	во второй половине	2	4
15	можно было бы	3	4
16	в одном из	2	4
17	по сравнению с	2	4
18	друг от друга	2	3
19	друг с другом	3	3
20	на то что	2	3
21	не более чем	2	3
22	иначе обстоит дело	2	3
23	в большинстве случаев	2	2
24	как мы видели	2	2
25	только в том	2	2
26	так и в	2	2
27	не только в	4	2
28	в отношении к	12	2
29	так же как	5	2
30	в частности в	2	2
31	этой точки зрения	5	2
32	в этом смысле	3	2
33	с этой точки	5	2
34	одной стороны и	6	2
35	и в то	8	2
36	в известной степени	3	2
