N	3gram	Bakhtin_Pr	Narrotol
1	в том что	6	18
2	в данном случае	2	17
3	не только в	2	13
4	по отношению к	12	11
5	в отличие от	4	11
6	о том что	2	9
7	к тому же	2	9
8	в то же	13	8
9	тем не менее	2	8
10	в этом отношении	3	8
11	то же время	13	8
12	не может быть	8	8
13	можно сказать что	2	6
14	но при этом	2	5
15	на самом деле	4	5
16	подобно тому как	3	5
17	во всяком случае	4	4
18	к себе самому	4	3
19	и не может	6	3
20	с точки зрения	21	3
21	в самом деле	6	3
22	до сих пор	9	3
23	в зависимости от	5	3
24	на то что	2	3
25	друг на друга	2	3
26	все то что	3	2
27	как если бы	3	2
28	не только не	2	2
29	но все же	3	2
30	не входит в	4	2
31	более или менее	4	2
32	как бы в	6	2
33	хотя и не	3	2
34	можно было бы	3	2
35	чужого слова в	3	2
36	и т п	10	2
37	но и на	2	2
38	сами по себе	4	2
39	и в то	2	2
40	все же не	3	2
41	но и не	2	2
