N	2gram	Tiupa_Anal	VLabPisa
1	таким образом	5	32
2	в этом	31	29
3	не только	30	26
4	и в	30	26
5	и т	3	25
6	может быть	33	23
7	хотя бы	4	20
8	и не	33	20
9	художественного творчества	2	19
10	в процессе	2	17
11	не может	26	17
12	в том	36	15
13	в его	15	15
14	этом отношении	5	14
15	в силу	4	14
16	прежде всего	8	13
17	все это	2	13
18	в частности	32	12
19	как это	5	12
20	в качестве	38	12
21	представляет собою	2	11
22	что в	7	11
23	с другой	7	11
24	из них	2	11
25	то же	12	10
26	не могут	3	10
27	но и	29	10
28	о том	11	10
29	в художественном	4	10
30	к этому	2	9
31	т п	3	9
32	для него	5	9
33	в своем	2	8
34	том что	21	8
35	не следует	6	8
36	говорит и	2	8
37	могут быть	12	8
38	другой стороны	2	8
39	все эти	3	8
40	было бы	4	8
41	только в	8	8
42	вместе с	6	8
43	это не	7	7
44	из этих	2	7
45	во всех	5	7
46	по отношению	10	7
47	художественное произведение	5	7
48	то что	11	7
49	отношению к	9	7
50	тому что	2	7
51	как и	23	7
52	в нем	3	7
53	в конечном	6	7
54	произведения в	14	7
55	говорит о	5	7
56	а не	25	7
57	произведения как	8	6
58	не в	17	6
59	в то	10	6
60	в себе	17	6
61	художественного произведения	6	6
62	или менее	2	6
63	все же	4	6
64	том же	2	6
65	у него	5	6
66	в искусстве	2	6
67	так и	16	6
68	более или	2	6
69	приводит к	2	6
70	один из	4	6
71	художественное творчество	2	6
72	и его	9	6
73	между тем	7	6
74	никогда не	4	5
75	даже в	5	5
76	сказать что	2	5
77	в одном	3	5
78	конечном счете	5	5
79	в результате	3	5
80	как говорит	3	5
81	в пределах	11	5
82	в их	8	5
83	не является	3	5
84	одним из	3	5
85	к тому	12	5
86	как бы	15	5
87	в целом	9	5
88	следует понимать	2	5
89	связи с	2	5
90	же время	7	5
91	и есть	3	5
92	на основе	3	5
93	по поводу	4	4
94	в сознании	6	4
95	различного рода	3	4
96	роль в	3	4
97	в виду	2	4
98	это только	2	4
99	ее в	2	4
100	что он	3	4
101	в романе	2	4
102	что все	2	4
103	должен быть	6	4
104	отнюдь не	22	4
105	в самом	12	4
106	как раз	5	4
107	в ее	2	4
108	с ними	2	4
109	в своей	7	4
110	в связи	2	4
111	можно сказать	6	4
112	в этой	12	4
113	из его	2	4
114	не удивительно	2	4
115	с его	3	4
116	никак не	2	3
117	при помощи	2	3
118	удивительно что	2	3
119	и к	5	3
120	мы имеем	9	3
121	вслед за	3	3
122	образом не	3	3
123	всех этих	2	3
124	бы в	3	3
125	в конце	4	3
126	его в	2	3
127	и как	6	3
128	тому как	5	3
129	если бы	6	3
130	творчества и	2	3
131	подобно тому	5	3
132	как он	4	3
133	как о	2	3
134	для того	4	3
135	и их	2	3
136	того что	5	3
137	нет и	2	3
138	далеко не	6	3
139	а в	11	3
140	всего лишь	11	3
141	или меньшей	4	3
142	в котором	5	3
143	в творческом	3	3
144	именно в	6	3
145	точки зрения	10	3
146	со своим	4	3
147	большей или	4	3
148	что не	3	3
149	того чтобы	3	3
150	что и	5	3
151	сводится к	6	3
152	и по	2	3
153	или в	2	3
154	данного произведения	3	3
155	вовсе не	4	3
156	писал в	2	3
157	в противоположность	4	3
158	не о	3	2
159	если в	3	2
160	да и	2	2
161	произведения а	2	2
162	если они	2	2
163	на это	2	2
164	или иной	8	2
165	и потому	2	2
166	того или	3	2
167	которые в	3	2
168	с другими	4	2
169	о чем	3	2
170	одной стороны	6	2
171	крайней мере	4	2
172	этого рода	2	2
173	вплоть до	2	2
174	при всей	4	2
175	должно быть	2	2
176	даже не	2	2
177	из своих	2	2
178	отличается от	3	2
179	в другом	4	2
180	и даже	10	2
181	мысль о	2	2
182	вообще и	2	2
183	а как	4	2
184	бы не	3	2
185	все они	2	2
186	не всегда	4	2
187	в области	4	2
188	только для	3	2
189	и наконец	2	2
190	еще не	5	2
191	в которой	3	2
192	не приходится	2	2
193	частности в	2	2
194	понимать как	3	2
195	по крайней	4	2
196	что ни	2	2
197	в чем	2	2
198	с одной	7	2
199	его от	3	2
200	же самое	3	2
201	что даже	2	2
202	заключается в	2	2
203	не с	8	2
204	как известно	4	2
205	одной из	2	2
206	так например	2	2
207	том чтобы	7	2
208	но не	13	2
209	и для	3	2
210	ни с	5	2
211	также и	3	2
212	не менее	5	2
213	на него	3	2
214	только с	2	2
215	но в	11	2
216	следует что	2	2
217	на то	2	2
218	он может	2	2
219	он в	5	2
220	результате чего	2	2
221	не вполне	2	2
222	но к	3	2
223	и заключается	2	2
224	будто бы	4	2
225	на вопрос	5	2
226	к его	3	2
227	этой точки	2	2
228	на этом	4	2
229	тогда когда	3	2
230	наиболее существенные	2	2
231	из которых	4	2
232	он и	3	2
233	не столько	5	2
234	что мы	3	2
235	только не	6	2
236	по себе	6	2
237	и просто	2	2
238	внимание на	3	2
239	может не	2	2
240	а затем	3	2
241	о его	5	2
242	говорить о	3	2
243	по его	2	2
244	он не	4	2
245	и сам	4	2
246	как от	2	2
247	который в	3	2
248	хотя и	4	2
249	лишь в	12	2
250	том числе	3	2
