N	3gram	Savitsky_E	Dialekti
1	с точки зрения	16	46
2	в том что	6	25
3	не может быть	2	18
4	само по себе	4	16
5	то же время	14	15
6	в то же	15	14
7	с другой стороны	2	12
8	на то что	2	11
9	по себе не	2	9
10	и в этом	4	9
11	в этом смысле	3	8
12	той или иной	4	7
13	можно сказать что	3	7
14	не говоря уже	2	7
15	и в частности	2	7
16	и прежде всего	3	6
17	для того чтобы	5	6
18	во всяком случае	3	6
19	с одной стороны	8	6
20	и в то	8	6
21	по сравнению с	2	5
22	из того что	2	4
23	так же как	5	4
24	как бы ни	3	4
25	в данном случае	2	4
26	этой точки зрения	5	4
27	с этой точки	5	4
28	одной стороны и	6	4
29	в этом отношении	3	4
30	можно было бы	3	4
31	мы можем сказать	2	4
32	бы то ни	4	3
33	же как и	3	3
34	но в то	2	3
35	есть не только	2	3
36	не только в	4	3
37	ту или иную	3	3
38	того или иного	4	3
39	в той или	3	3
40	друг с другом	3	2
41	в отношении к	12	2
42	хотя бы в	2	2
43	или хотя бы	2	2
44	друг от друга	2	2
45	хотя бы и	3	2
46	не является ли	3	2
47	имеет место в	2	2
48	сказать что в	2	2
49	в свою очередь	2	2
