N	2gram	Propp_Isto	EvropaiE
1	и в	44	37
2	в пределах	5	25
3	точки зрения	3	23
4	что в	18	21
5	не только	17	18
6	в то	5	16
7	хотя бы	2	15
8	то же	9	15
9	в своем	3	14
10	но в	7	14
11	но и	16	14
12	и не	19	14
13	в качестве	13	14
14	в этом	20	12
15	в том	13	11
16	так и	9	10
17	т е	27	9
18	так же	14	9
19	не может	10	9
20	прежде всего	7	9
21	только в	8	9
22	одной стороны	7	8
23	в ее	4	8
24	думать что	2	8
25	было бы	2	8
26	в своей	3	8
27	с одной	7	8
28	также и	2	7
29	с другой	11	7
30	а также	5	7
31	как и	12	7
32	так как	19	7
33	между прочим	2	7
34	того что	3	7
35	том что	12	6
36	во всех	3	6
37	и даже	4	6
38	может быть	31	6
39	и на	11	6
40	с этой	4	6
41	того чтобы	3	6
42	для того	3	6
43	на то	3	6
44	то что	16	6
45	как бы	4	6
46	вовсе не	6	6
47	к которым	4	5
48	но не	8	5
49	от этого	6	5
50	тем самым	2	5
51	и по	3	5
52	и потому	2	5
53	от берега	2	5
54	но если	2	5
55	этой точки	2	5
56	как мы	9	5
57	со стороны	6	5
58	не в	11	5
59	в виде	13	5
60	в частности	9	5
61	в течение	2	5
62	же как	12	5
63	одной из	3	5
64	даже в	4	4
65	сказать что	2	4
66	вопрос о	5	4
67	не имеет	4	4
68	можно сказать	2	4
69	то в	2	4
70	хозяйственной жизни	2	4
71	но даже	2	4
72	мы не	6	4
73	в ней	8	4
74	для нас	6	4
75	по себе	2	4
76	несмотря на	3	4
77	в некотором	2	4
78	к ней	2	4
79	как это	5	4
80	никогда не	5	3
81	с тем	9	3
82	этих народов	2	3
83	и для	3	3
84	страны и	2	3
85	приближается к	2	3
86	о том	11	3
87	очевидно что	3	3
88	к ним	2	3
89	ли это	2	3
90	в данном	3	3
91	северной америке	3	3
92	того же	3	3
93	время в	2	3
94	в которых	4	3
95	когда он	7	3
96	мира и	2	3
97	к морю	2	3
98	в свою	3	3
99	и к	3	3
100	мы можем	6	3
101	это так	2	3
102	уже и	3	3
103	от них	2	3
104	из них	4	3
105	в них	3	3
106	на себя	4	3
107	мы видели	9	3
108	что и	11	3
109	друг с	2	3
110	там где	11	3
111	и мы	3	3
112	и тем	7	3
113	не дает	2	3
114	тем что	12	3
115	говорит о	4	3
116	потому что	18	3
117	она в	2	3
118	в таком	2	3
119	себе в	3	3
120	представляет собой	8	3
121	с другом	2	3
122	как в	11	3
123	связано с	7	3
124	как на	3	3
125	ее в	8	3
126	есть в	2	2
127	данном случае	2	2
128	представление о	22	2
129	на этот	2	2
130	если в	4	2
131	в его	16	2
132	что это	8	2
133	одна и	2	2
134	при помощи	11	2
135	и то	5	2
136	утверждать что	2	2
137	к нему	5	2
138	не могут	2	2
139	она не	7	2
140	а в	9	2
141	с этим	7	2
142	мы должны	7	2
143	с другими	4	2
144	и сейчас	3	2
145	все другие	2	2
146	в котором	2	2
147	с большой	3	2
148	его на	5	2
149	но как	2	2
150	в своих	4	2
151	и с	8	2
152	этот вопрос	2	2
153	в другой	5	2
154	могут быть	9	2
155	в развитии	2	2
156	другой стороны	10	2
157	море и	2	2
158	есть ли	2	2
159	что все	4	2
160	также в	2	2
161	между ними	2	2
162	тогда когда	3	2
163	в одном	2	2
164	во власти	2	2
165	на них	2	2
166	и как	5	2
167	мог бы	2	2
168	целый ряд	4	2
169	есть не	2	2
170	если бы	5	2
171	в этих	7	2
172	жизни и	4	2
173	народов не	2	2
174	в силу	7	2
175	в других	4	2
176	а не	5	2
177	и других	5	2
178	мы видим	12	2
179	и что	13	2
180	нас к	10	2
181	и наконец	2	2
182	к берегу	3	2
183	же в	3	2
184	можно в	2	2
185	и все	4	2
186	или в	7	2
187	наряду с	7	2
188	таким образом	21	2
189	а именно	8	2
190	это значит	2	2
191	в истории	7	2
192	он не	5	2
193	приводит нас	5	2
194	как будто	2	2
195	такой же	3	2
196	главным образом	2	2
197	случаях когда	2	2
198	в этой	5	2
199	в некоторых	6	2
200	и таким	2	2
201	в северной	4	2
202	должна быть	3	2
203	вместе с	26	2
204	и более	3	2
