N	2gram	Medvedev_S	KulturaY
1	и в	3	84
2	в том	5	74
3	не только	3	60
4	в этом	5	57
5	было бы	2	53
6	может быть	2	47
7	том что	2	44
8	что в	2	44
9	таким образом	2	33
10	не в	3	30
11	в его	3	30
12	то что	2	25
13	еще не	2	24
14	то же	2	23
15	только в	2	23
16	но и	2	20
17	и что	2	20
18	все это	7	18
19	как бы	2	18
20	по отношению	2	15
21	отношению к	2	14
22	это и	2	13
23	по существу	2	13
24	для нас	3	13
25	в результате	2	12
26	должна быть	2	11
27	тем более	2	10
28	очевидно что	2	9
29	в частности	2	8
30	далеко не	2	8
31	только как	2	7
32	как будто	2	6
33	за пределы	2	6
34	дело не	2	6
35	главным образом	2	6
36	как же	3	5
37	в конце	2	5
38	и только	3	5
39	к которому	2	4
40	нужно было	2	4
41	но ведь	3	4
42	в смысле	2	4
43	как только	2	4
44	конце концов	2	3
45	и мы	2	3
46	более чем	3	3
47	она может	2	3
48	или даже	2	3
49	исторической жизни	2	2
50	одно дело	2	2
51	по природе	2	2
52	литературы и	2	2
