N	2gram	Bakhtin_Fr	Russkaja
1	не может	9	22
2	и не	23	19
3	в том	16	17
4	в этом	27	17
5	с другом	2	14
6	и в	67	14
7	друг с	2	14
8	то что	9	13
9	самим собой	2	12
10	точки зрения	7	11
11	то же	18	11
12	таким образом	20	11
13	в то	17	10
14	но и	23	10
15	же время	14	10
16	не только	23	9
17	том что	13	9
18	церкви и	4	9
19	может быть	4	9
20	в себе	3	9
21	с точки	5	9
22	того чтобы	9	8
23	как на	6	8
24	прежде всего	19	8
25	и с	18	7
26	к тому	4	7
27	о том	8	7
28	в данном	4	7
29	и если	3	7
30	не будет	2	7
31	самом деле	6	7
32	с тем	3	6
33	если в	3	6
34	на самом	8	6
35	и для	4	6
36	для всех	4	6
37	и к	7	6
38	если бы	2	6
39	все это	15	6
40	для того	8	6
41	и при	2	6
42	что он	7	6
43	признать что	2	6
44	в своем	13	6
45	для него	4	6
46	а в	4	5
47	на то	2	5
48	было бы	5	5
49	хотя бы	2	5
50	и на	12	5
51	потому что	8	5
52	при этом	5	5
53	в нем	20	5
54	он должен	2	5
55	жизни в	3	5
56	в своей	6	5
57	себя и	2	5
58	конечно не	5	5
59	только в	6	5
60	никогда не	6	5
61	и только	2	5
62	он не	9	5
63	сих пор	3	5
64	между тем	3	5
65	во всех	20	5
66	по существу	4	5
67	до сих	3	5
68	а потому	2	5
69	и то	2	4
70	что в	14	4
71	но не	6	4
72	его в	10	4
73	все же	7	4
74	не могут	3	4
75	не в	8	4
76	как и	19	4
77	более или	2	4
78	как бы	18	4
79	все что	3	4
80	быть самим	2	4
81	можно было	5	4
82	так как	16	4
83	тогда когда	3	4
84	и т.д	2	4
85	жизни и	11	4
86	в его	17	4
87	в их	4	4
88	на земле	2	4
89	точку зрения	3	4
90	когда они	2	4
91	в этой	13	4
92	вместе с	5	4
93	от того	3	4
94	в другое	3	4
95	в корне	2	4
96	или менее	2	4
97	одной из	6	3
98	данном случае	4	3
99	да и	2	3
100	все они	7	3
101	для этого	2	3
102	и этот	2	3
103	в большинстве	6	3
104	что все	4	3
105	что это	4	3
106	но мы	3	3
107	на том	2	3
108	и сейчас	2	3
109	именно в	5	3
110	из этих	4	3
111	всех этих	9	3
112	в другом	4	3
113	в значительной	2	3
114	в конце	12	3
115	из них	5	3
116	в самом	7	3
117	и как	7	3
118	несмотря на	3	3
119	для них	2	3
120	что и	8	3
121	или в	3	3
122	лишь в	3	3
123	из этого	5	3
124	и во	4	3
125	говорить о	5	3
126	и по	3	3
127	связи с	7	3
128	еще не	5	3
129	того что	4	3
130	в качестве	5	3
131	что они	3	3
132	не было	3	3
133	и ни	3	3
134	мы говорили	2	3
135	тем что	3	3
136	то в	3	3
137	и о	8	2
138	в течение	3	2
139	и от	6	2
140	но она	5	2
141	с этим	6	2
142	есть и	8	2
143	следовательно и	2	2
144	большинстве случаев	6	2
145	к нему	5	2
146	на этой	3	2
147	но в	20	2
148	не подлежит	2	2
149	ни в	5	2
150	в котором	3	2
151	так же	13	2
152	их в	2	2
153	в начале	2	2
154	это в	3	2
155	больше чем	2	2
156	в ней	10	2
157	на эту	3	2
158	в результате	5	2
159	благодаря этому	3	2
160	и даже	6	2
161	а не	6	2
162	и тот	2	2
163	от него	2	2
164	мы можем	5	2
165	нисколько не	4	2
166	целый ряд	2	2
167	место в	3	2
168	пути к	2	2
169	отметить что	3	2
170	в других	2	2
171	и вот	4	2
172	и что	3	2
173	но это	10	2
174	все эти	12	2
175	том же	3	2
176	только для	4	2
177	и наконец	5	2
178	народа и	2	2
179	в частности	4	2
180	в таком	2	2
181	и есть	5	2
182	во время	15	2
183	как будто	2	2
184	именно на	3	2
185	его и	2	2
186	в области	2	2
187	если же	2	2
188	с ним	6	2
189	у него	4	2
190	мы уже	13	2
