N	2gram	Bakhtin_sl	Freidism
1	и не	32	34
2	таким образом	16	34
3	точки зрения	24	31
4	не может	27	30
5	может быть	40	28
6	и в	69	28
7	в этом	21	28
8	прежде всего	14	26
9	в его	19	25
10	и его	45	22
11	с помощью	5	20
12	как бы	16	19
13	как мы	15	18
14	то что	2	17
15	вовсе не	16	16
16	так как	7	15
17	точка зрения	10	15
18	с точки	11	15
19	все эти	15	15
20	так и	22	14
21	в своей	8	14
22	с ним	12	14
23	во всех	25	13
24	и все	9	13
25	но в	13	13
26	как и	8	13
27	по отношению	2	13
28	точку зрения	6	12
29	и потому	9	12
30	том что	6	12
31	то же	17	12
32	что он	2	12
33	мы видели	3	12
34	ни в	4	12
35	в самом	6	12
36	и наконец	9	12
37	для него	8	12
38	все это	14	12
39	сказать что	4	11
40	его в	7	11
41	отношению к	2	11
42	только в	9	11
43	никогда не	9	10
44	и с	10	10
45	за пределы	6	10
46	не только	37	10
47	но и	37	10
48	не в	14	10
49	он не	5	10
50	в том	7	10
51	мы уже	4	10
52	один из	9	10
53	конечно не	7	10
54	могут быть	25	9
55	к этому	3	9
56	те же	3	9
57	совершенно не	2	9
58	и др	17	9
59	к нему	7	9
60	в чем	2	9
61	уже не	5	9
62	и на	17	9
63	мы не	4	9
64	а не	29	9
65	во всяком	9	9
66	с его	8	9
67	все же	10	8
68	с этим	5	8
69	было бы	3	8
70	оно и	4	8
71	еще не	9	8
72	с другими	8	8
73	а в	10	8
74	в ней	7	8
75	на этом	4	8
76	всяком случае	7	8
77	при этом	12	8
78	так сказать	11	7
79	не могут	7	7
80	до конца	25	7
81	в то	17	7
82	в себе	3	7
83	что в	3	7
84	и ее	3	7
85	хотя бы	6	7
86	и для	7	7
87	отношение к	8	7
88	быть и	6	7
89	роль в	4	7
90	не является	3	7
91	того что	4	7
92	на протяжении	3	7
93	и у	2	7
94	но не	7	7
95	что все	2	7
96	более того	5	7
97	связь с	2	7
98	в нем	44	7
99	если мы	2	7
100	и к	9	7
101	из них	3	7
102	жизни и	5	7
103	на самом	2	6
104	для этого	4	6
105	но мы	2	6
106	из этих	3	6
107	человека и	3	6
108	всех этих	8	6
109	не менее	4	6
110	для того	2	6
111	в таком	5	6
112	и только	2	6
113	и о	3	6
114	в пределах	27	6
115	она не	8	6
116	к тому	3	6
117	можно сказать	2	6
118	ни о	2	6
119	в свою	4	6
120	зрения на	9	6
121	большинстве случаев	11	6
122	здесь в	6	6
123	как раз	3	6
124	и что	2	6
125	же время	15	6
126	в основе	8	6
127	ничего не	5	5
128	в которой	4	5
129	и по	3	5
130	со всеми	3	5
131	и те	3	5
132	между ними	2	5
133	в этих	8	5
134	как это	3	5
135	не знает	3	5
136	конечно и	3	5
137	внутренней речи	3	5
138	что и	2	5
139	тому что	2	5
140	в более	2	5
141	далеко не	7	5
142	в большинстве	16	5
143	сознание и	4	5
144	это не	8	5
145	той же	3	5
146	в процессе	14	5
147	не было	4	5
148	в ее	2	5
149	с ними	8	5
150	и до	2	5
151	говорить о	2	5
152	в себя	3	5
153	вместе с	3	5
154	данном случае	3	4
155	человека в	5	4
156	одна из	6	4
157	и вообще	2	4
158	с которыми	2	4
159	на которые	3	4
160	все время	4	4
161	характер и	2	4
162	так же	2	4
163	подхода к	5	4
164	нисколько не	3	4
165	но это	3	4
166	в собственном	2	4
167	связанных с	4	4
168	с ее	6	4
169	нашего сознания	2	4
170	в другом	4	4
171	тем не	2	4
172	этом отношении	2	4
173	и может	4	4
174	мы увидим	2	4
175	в виду	2	4
176	в основном	7	4
177	свою очередь	3	4
178	только на	3	4
179	у него	5	4
180	может стать	3	4
181	как в	18	4
182	к ней	2	4
183	между собой	3	4
184	в своем	9	4
185	только с	3	4
186	борьбы с	3	4
