N	3gram	Losev_Prob	Hudozhes
1	в том что	17	8
2	в то же	10	7
3	в отличие от	2	7
4	с другой стороны	11	6
5	более или менее	2	6
6	для того чтобы	4	5
7	той или иной	16	5
8	так или иначе	2	4
9	того или иного	5	4
10	не может быть	5	4
11	одно и то	4	3
12	тот или иной	4	3
13	и то же	5	3
14	с точки зрения	9	3
15	с одной стороны	2	3
16	тем не менее	23	3
17	подобно тому как	2	3
18	в этом смысле	5	3
19	в связи с	9	3
20	можно сказать что	2	3
21	имеем в виду	4	3
22	ту или иную	3	2
23	то ни было	4	2
24	и прежде всего	3	2
25	бы то ни	5	2
26	и в то	2	2
27	в таком случае	7	2
28	этой точки зрения	2	2
29	том что он	2	2
30	мы имеем дело	2	2
31	может быть и	3	2
32	тех или иных	7	2
33	сама по себе	11	2
34	в той или	7	2
