N	3gram	Tiupa_Anal	RusskieA
1	в том что	12	49
2	состоит в том	2	29
3	тем не менее	3	14
4	о том что	7	10
5	в том чтобы	2	9
6	в данном случае	11	8
7	подобно тому как	3	8
8	не может быть	2	6
9	во всяком случае	6	4
10	в отличие от	5	4
11	по отношению к	9	3
12	с точки зрения	2	3
13	в свою очередь	7	3
14	по своему происхождению	2	3
15	в равной степени	2	2
16	можно сказать что	2	2
17	в этом отношении	3	2
18	с этого момента	2	2
19	как и в	6	2
20	не только в	5	2
21	с одной стороны	3	2
22	совершенно очевидно что	2	2
23	во многих отношениях	2	2
24	с другой стороны	7	2
