N	3gram	Tiupa_Anal	Istorich
1	с другой стороны	7	46
2	с одной стороны	3	28
3	в том что	12	25
4	не может быть	2	24
5	тем не менее	3	23
6	о том что	7	22
7	не только в	5	19
8	в данном случае	11	15
9	по отношению к	9	14
10	но и в	2	12
11	как и в	6	10
12	подобно тому как	3	8
13	и то что	2	8
14	во всяком случае	6	7
15	что он не	2	7
16	к тому же	7	6
17	о чем речь	2	5
18	в отличие от	5	5
19	в том чтобы	2	5
20	состоит в том	2	4
21	можно сказать что	2	4
22	с точки зрения	2	4
23	в одной из	2	4
24	в чистом виде	2	4
25	так или иначе	5	4
26	т е к	2	3
27	не только не	3	3
28	дело в том	3	3
29	и он же	2	3
30	в соответствии с	2	3
31	в ответ на	2	3
32	и тем самым	2	3
33	в противоречие с	2	3
34	сам по себе	2	2
35	сама по себе	3	2
36	при этом он	2	2
37	и прежде всего	2	2
38	том что он	2	2
39	совершенно очевидно что	2	2
40	тогда как в	3	2
41	и той же	2	2
42	в таком случае	2	2
43	одной и той	2	2
44	в свою очередь	7	2
45	мы имеем дело	4	2
46	а в том	2	2
