N	2gram	Tiupa_Anal	TeoriaLi
1	в качестве	38	33
2	в мире	14	26
3	не только	30	24
4	и в	30	24
5	в частности	32	23
6	то есть	19	22
7	состоит в	16	22
8	может быть	33	22
9	в том	36	20
10	при этом	20	20
11	в тексте	26	19
12	я в	5	18
13	тогда как	30	18
14	и не	33	17
15	а в	11	15
16	но и	29	14
17	так и	16	14
18	а не	25	14
19	в себе	17	14
20	в рамках	5	13
21	такого рода	6	13
22	но не	13	13
23	внутренней речи	9	13
24	представляет собой	23	13
25	в этом	31	12
26	то же	12	12
27	эстетического отношения	8	12
28	произведение искусства	9	12
29	но в	11	12
30	сводится к	6	12
31	в его	15	12
32	литературного произведения	50	11
33	том что	21	11
34	внутреннего зрения	9	11
35	точки зрения	10	11
36	художественного текста	12	11
37	своего рода	12	11
38	и его	9	11
39	по отношению	10	10
40	объектной организации	9	10
41	лишь в	12	10
42	отношению к	9	10
43	как это	5	10
44	коммуникативного события	15	10
45	что в	7	10
46	субъектной организации	6	9
47	в данном	6	9
48	не сводится	2	9
49	не в	17	9
50	в искусстве	2	9
51	с другой	7	9
52	в то	10	9
53	только в	8	9
54	всего лишь	11	8
55	не может	26	8
56	по своей	6	8
57	как бы	15	8
58	присутствия в	4	8
59	в своей	7	8
60	же время	7	8
61	особого рода	9	7
62	художественной реальности	22	7
63	или иной	8	7
64	в своем	2	7
65	а также	8	7
66	мы имеем	9	7
67	себя в	8	7
68	отношение к	2	7
69	в принципе	8	7
70	во второй	3	7
71	в области	4	7
72	отличие от	8	7
73	художественного письма	2	7
74	в самом	12	7
75	в отличие	8	7
76	однако в	4	7
77	место в	3	7
78	не столько	5	7
79	кадров внутреннего	4	7
80	и т.п	13	7
81	в нем	3	7
82	тем самым	9	6
83	или иного	3	6
84	внутреннего я	6	6
85	того или	3	6
86	другой стороны	2	6
87	в первой	2	6
88	конечном счете	5	6
89	в конечном	6	6
90	со стороны	5	6
91	не менее	5	6
92	еще не	5	6
93	то что	11	6
94	или менее	2	6
95	художественного впечатления	24	6
96	как и	23	6
97	более или	2	6
98	с другими	4	6
99	организации художественного	5	6
100	или иначе	2	6
101	уже не	6	6
102	приводит к	2	6
103	в состав	3	6
104	в ее	2	6
105	в основе	6	6
106	с его	3	6
107	данном случае	3	5
108	по преимуществу	4	5
109	я есть	2	5
110	художественного произведения	6	5
111	как в	3	5
112	как правило	7	5
113	как к	2	5
114	и одновременно	4	5
115	иначе говоря	17	5
116	ни в	5	5
117	в виду	2	5
118	и тем	4	5
119	в ходе	5	5
120	не является	3	5
121	для того	4	5
122	и о	3	5
123	в пределах	11	5
124	для него	5	5
125	не случайно	11	5
126	за пределами	3	5
127	искусства в	4	5
128	высказывания в	4	5
129	между тем	7	5
130	могут быть	12	5
131	в художественном	4	5
132	не предполагает	2	5
133	воспринимающего сознания	5	5
134	того чтобы	3	5
135	того что	5	5
136	он не	4	5
137	в себя	8	5
138	можно сказать	6	5
139	художественного творчества	2	5
140	никогда не	4	4
141	сказать что	2	4
142	в отношении	2	4
143	его в	2	4
144	самим собой	3	4
145	это не	7	4
146	во времени	6	4
147	читателя в	3	4
148	художественного мира	4	4
149	значении этого	8	4
150	текста как	2	4
151	в другом	4	4
152	в силу	4	4
153	этого слова	10	4
154	знакового материала	3	4
155	художественный текст	5	4
156	и т.д	4	4
157	субъекта и	4	4
158	лирического героя	2	4
159	художественного восприятия	9	4
160	в их	8	4
161	уединенного сознания	8	4
162	одного и	2	4
163	силу своей	3	4
164	в этих	3	4
165	что он	3	4
166	факторов художественного	9	4
167	текст в	3	4
168	эстетический объект	6	4
169	в литературе	4	4
170	далеко не	6	4
171	к тому	12	4
172	речи и	2	4
173	того же	7	4
174	как эстетической	2	4
175	аналогичным образом	3	4
176	с позиций	2	4
177	в целом	9	4
178	личности и	3	4
179	произведения искусства	3	4
180	личности в	4	4
181	со своей	2	4
182	совпадает с	6	4
183	и того	5	4
184	и что	2	4
185	говорить о	3	4
186	или даже	3	4
187	с ее	2	4
188	и сам	4	4
189	не следует	6	4
190	без исключения	2	4
191	отношения к	4	4
192	в нашем	3	4
193	не знает	4	4
194	хотя и	4	4
195	художественного целого	15	4
196	даже в	5	3
197	и то	4	3
198	эстетического объекта	11	3
199	в соответствии	2	3
200	коммуникативных стратегий	2	3
201	и потому	2	3
202	во всех	5	3
203	из этих	2	3
204	одной стороны	6	3
205	о чем	3	3
206	в которой	3	3
207	не все	3	3
208	в противоположность	4	3
209	и для	3	3
210	картины мира	2	3
211	общения людей	2	3
212	тем не	3	3
213	как совокупность	2	3
214	и как	6	3
215	говоря о	2	3
216	о литературе	3	3
217	если бы	6	3
218	роль в	3	3
219	или в	2	3
220	и адресата	2	3
221	мира в	2	3
222	подобно тому	5	3
223	художественное произведение	5	3
224	внутритекстовых дискурсов	2	3
225	художественного высказывания	3	3
226	в культуре	3	3
227	как говорит	3	3
228	в таком	5	3
229	своей эстетической	2	3
230	одним из	3	3
231	с этой	2	3
232	по мысли	3	3
233	а именно	3	3
234	в эпизоде	5	3
235	объекта и	3	3
236	была бы	4	3
237	в романе	2	3
238	никто не	3	3
239	между собой	2	3
240	литературы как	2	3
241	с одной	7	3
242	текст и	2	3
243	а с	3	3
244	не с	8	3
245	и составляет	2	3
246	есть в	4	3
247	в произведении	7	3
248	я героя	3	3
249	текст как	2	3
250	для себя	3	3
251	в контексте	5	3
252	в роли	4	3
253	столь же	7	3
254	в акте	2	3
255	или иных	3	3
256	культуры в	2	3
257	именно в	6	3
258	потому что	3	3
259	все прочие	3	3
260	в сторону	6	3
261	тому как	5	3
262	том числе	3	3
263	являет собой	4	3
264	говорит и	2	3
265	прежде всего	8	3
266	к его	3	3
267	однако при	3	3
268	и к	5	3
269	этом смысле	3	3
270	отнюдь не	22	3
271	только не	6	3
272	может выступать	3	3
273	ценностного центра	2	3
274	от себя	4	3
275	не будет	3	3
276	бенвенист ритм	3	3
277	жизни однако	2	3
278	равной степени	2	3
279	с точки	6	3
280	все эти	3	3
281	данного текста	2	3
282	ритмических рядов	11	3
283	той или	8	3
284	и по	2	3
285	иного рода	4	3
286	в равной	4	3
287	связи с	2	3
288	человека к	4	3
289	в связи	2	3
290	таким образом	5	3
291	тех или	3	3
292	оказывается в	2	3
293	в этой	12	3
294	в организации	2	3
295	ритмического ряда	12	3
296	имеет место	6	3
297	в одном	3	3
298	как раз	5	3
299	вовсе не	4	3
300	текста в	18	3
301	вслед за	3	3
302	человеческого я	3	3
303	между двумя	7	3
304	одного сознания	2	3
305	одно и	2	2
306	произведений искусства	2	2
307	может служить	3	2
308	эстетической реальности	3	2
309	ключ к	2	2
310	другого я	2	2
311	могла бы	3	2
312	не могут	3	2
313	в кадры	2	2
314	этого текста	2	2
315	то в	2	2
316	а напротив	3	2
317	своего текста	2	2
318	нас самих	2	2
319	восходит к	2	2
320	если в	3	2
321	сознания в	4	2
322	тем более	2	2
323	одну из	2	2
324	дело не	5	2
325	личности к	2	2
326	в коем	2	2
327	текста не	3	2
328	не всегда	4	2
329	внутренний хронотоп	4	2
330	при всей	4	2
331	с их	2	2
332	с легкой	2	2
333	за пределы	6	2
334	эстетической деятельности	4	2
335	случае это	2	2
336	уже говорилось	5	2
337	литературной нормы	2	2
338	эстетического субъекта	3	2
339	как уже	5	2
340	композиционная форма	2	2
341	отличается от	3	2
342	художественное целое	2	2
343	и даже	10	2
344	не сами	2	2
345	в конце	4	2
346	при наличии	3	2
347	таком случае	5	2
348	совокупность факторов	2	2
349	коммуникативным событием	2	2
350	эстетическое переживание	4	2
351	я и	8	2
352	внешнем мире	2	2
353	события в	2	2
354	превращается в	3	2
355	времени и	7	2
356	казалось бы	2	2
357	истории литературы	4	2
358	определенным образом	2	2
359	от своего	3	2
360	ни было	4	2
361	к своему	2	2
362	только на	3	2
363	или напротив	3	2
364	мире и	2	2
365	вследствие этого	5	2
366	самом начале	3	2
367	у него	5	2
368	самом деле	3	2
369	в рассказе	2	2
370	вокруг я	2	2
371	и состоит	5	2
372	может и	2	2
373	автора и	4	2
374	коммуникативное событие	6	2
375	ведет к	3	2
376	легкой руки	2	2
377	известном смысле	2	2
378	на вопрос	5	2
379	в чем	2	2
380	вместе с	6	2
381	ментального внутреннего	3	2
382	нашем случае	3	2
383	в какой	3	2
384	перед лицом	6	2
385	на фоне	5	2
386	в аспекте	4	2
387	на котором	3	2
388	на уровне	10	2
389	в исходном	2	2
390	самим собою	2	2
391	творческий акт	2	2
392	одной из	2	2
393	рассказ о	3	2
394	жизни но	3	2
395	к нему	4	2
396	повествования а	2	2
397	чем и	3	2
398	и является	4	2
399	говоря и	3	2
400	ее в	2	2
401	тому что	2	2
402	внутреннее я	3	2
403	о том	11	2
404	человеческого бытия	2	2
405	строго говоря	3	2
406	текста но	4	2
407	могли бы	2	2
408	диалога согласия	2	2
409	не вполне	2	2
410	сочетании с	7	2
411	принадлежит только	2	2
412	которая в	3	2
413	о себе	2	2
414	героя как	2	2
415	должен быть	6	2
416	коем случае	2	2
417	и на	10	2
418	вступает в	4	2
419	на себя	5	2
420	в диалоге	2	2
421	этой точки	2	2
422	соответствии с	3	2
423	об искусстве	2	2
424	на этом	4	2
425	и соответственно	5	2
426	о жизни	3	2
427	из которых	4	2
428	эстетического адресата	2	2
429	для обозначения	2	2
430	всякий раз	3	2
431	он и	3	2
432	в известном	2	2
433	один из	4	2
434	эстетической природы	2	2
435	собственно говоря	6	2
436	автором и	2	2
437	внешнего мира	2	2
438	произведении искусства	3	2
439	в поэзии	2	2
440	по себе	6	2
441	в сочетании	7	2
442	что может	2	2
443	речь идет	2	2
