N	2gram	Berdyaev_N	Analitik
1	не только	5	71
2	и в	16	66
3	но и	3	57
4	в том	8	52
5	может быть	7	52
6	в этом	7	51
7	как и	7	50
8	и не	11	48
9	а не	17	42
10	том что	2	40
11	так и	2	35
12	в мире	3	31
13	не может	16	29
14	а в	2	28
15	не в	6	26
16	но не	2	26
17	в себе	2	24
18	к тому	3	22
19	и даже	2	22
20	что в	9	22
21	лишь в	6	21
22	и т.п	2	20
23	о том	4	20
24	но в	2	19
25	в своей	3	19
26	с его	6	19
27	в то	2	18
28	с другой	3	17
29	такого рода	2	17
30	могут быть	2	16
31	то что	4	16
32	не есть	3	15
33	прежде всего	4	15
34	уже не	2	15
35	и на	2	15
36	не менее	4	14
37	себя в	2	14
38	на уровне	2	13
39	он не	8	13
40	никогда не	6	12
41	и к	5	12
42	как это	2	12
43	еще не	3	12
44	как в	3	12
45	это не	4	11
46	подобно тому	3	10
47	с одной	2	10
48	одной стороны	2	9
49	другой стороны	2	9
50	за пределы	3	9
51	во всех	3	9
52	том чтобы	2	9
53	тому как	3	9
54	вместе с	2	9
55	роль в	2	8
56	и все	4	8
57	хотя и	2	8
58	в основе	3	8
59	нашего времени	2	8
60	времени и	2	8
61	в новом	2	7
62	место в	2	7
63	в ее	3	7
64	все это	5	7
65	который в	2	7
66	одна из	2	7
67	как будто	2	7
68	и для	4	7
69	у него	2	7
70	времени в	2	7
71	должен быть	5	6
72	не знает	6	6
73	в нем	5	6
74	не будет	7	6
75	хотя бы	2	6
76	есть в	2	6
77	и потому	4	5
78	жизни в	3	5
79	личность в	2	5
80	в них	4	5
81	все эти	2	5
82	мы не	2	5
83	я не	2	5
84	с их	2	5
85	с ее	5	5
86	такой же	2	5
87	ни в	6	5
88	к жизни	3	5
89	нового времени	12	5
90	все они	2	4
91	и что	2	4
92	потому что	4	4
93	того чтобы	2	4
94	сказать что	3	4
95	и от	2	4
96	по своему	4	4
97	с этим	2	4
98	но это	6	4
99	что она	2	4
100	жизни как	2	4
101	этом смысле	2	4
102	не было	4	4
103	это и	2	4
104	и есть	10	4
105	вопрос о	3	3
106	человека и	3	3
107	к ее	3	3
108	ведь и	2	3
109	с тем	3	3
110	она не	3	3
111	мира и	2	3
112	в ней	5	3
113	быть может	4	3
114	и заключается	2	3
115	что все	2	3
116	в одну	2	3
117	для этого	2	3
118	можно было	2	3
119	должно быть	4	3
120	это было	3	3
121	в центре	2	3
122	в жизни	5	3
123	ни к	2	3
124	есть лишь	4	3
125	и с	2	3
126	к содержанию	2	3
127	в категориях	2	3
128	жизни и	8	3
129	не к	2	3
130	так же	2	2
131	не имеют	2	2
132	возвращение к	3	2
133	и должно	2	2
134	не могла	2	2
135	сама жизнь	2	2
136	когда мы	2	2
137	быть в	2	2
138	в прошлом	3	2
139	культуры в	5	2
140	для чего	2	2
141	по существу	2	2
142	я уже	2	2
143	всех сторон	4	2
144	думать что	2	2
145	не означает	3	2
146	том и	2	2
147	на протяжении	2	2
148	культуры и	7	2
149	со всех	4	2
150	нет и	2	2
151	не имеет	4	2
152	связаны с	2	2
153	к ним	3	2
154	зависит от	2	2
155	в мировой	2	2
156	жизни не	3	2
157	истории в	5	2
158	истории не	3	2
159	но я	2	2
