N	2gram	Voloshinov	Formalny
1	и в	32	95
2	и не	42	78
3	может быть	50	66
4	в этом	27	61
5	не может	40	57
6	и пр	31	53
7	вовсе не	15	53
8	таким образом	29	52
9	и его	33	51
10	так и	21	50
11	точки зрения	48	47
12	в нем	17	42
13	в его	10	42
14	прежде всего	19	41
15	с точки	31	40
16	как и	19	39
17	не в	13	35
18	в самом	14	35
19	в процессе	31	34
20	а не	15	34
21	но и	17	33
22	то же	19	32
23	самом деле	18	32
24	не только	18	30
25	в пределах	7	28
26	в том	13	26
27	отнюдь не	14	26
28	если бы	12	26
29	то что	12	25
30	на самом	10	24
31	при этом	13	24
32	в своей	5	24
33	лишь в	17	24
34	на почве	14	24
35	в ней	5	23
36	связи с	22	23
37	было бы	8	23
38	с помощью	11	23
39	в то	7	22
40	и ее	4	22
41	в истории	5	21
42	как бы	31	21
43	что в	5	21
44	и с	4	21
45	в их	5	20
46	не менее	5	20
47	между ними	6	20
48	и от	6	20
49	входит в	5	20
50	как мы	26	20
51	же время	7	20
52	место в	5	20
53	не могут	4	19
54	все это	4	19
55	хотя бы	8	19
56	социального общения	15	19
57	по себе	5	19
58	все же	13	18
59	и все	8	18
60	все эти	8	18
61	в связи	12	18
62	должна быть	6	18
63	с его	6	18
64	и их	2	18
65	только в	14	18
66	социальной жизни	3	17
67	более того	7	17
68	идеологического творчества	11	17
69	как в	5	17
70	как раз	5	17
71	так же	10	16
72	об идеологиях	18	16
73	во всяком	8	16
74	совершенно не	6	16
75	с другой	6	16
76	потому что	2	16
77	всяком случае	4	16
78	его в	7	15
79	но в	13	15
80	бы в	4	15
81	с другими	6	15
82	так как	5	15
83	должно быть	4	15
84	во всех	13	15
85	в литературе	2	15
86	именно в	6	15
87	и на	8	15
88	что он	5	14
89	только на	7	14
90	в целом	2	14
91	языка и	28	14
92	в ее	9	14
93	в своем	3	14
94	еще не	7	14
95	в жизни	2	14
96	в этой	3	14
97	если мы	17	14
98	и потому	7	14
99	в единстве	5	14
100	жизни и	4	14
101	вместе с	2	14
102	как ее	6	13
103	до конца	6	13
104	в настоящее	6	13
105	настоящее время	6	13
106	со стороны	2	13
107	того что	5	13
108	языка как	26	13
109	говорит он	2	13
110	а в	5	13
111	науки об	7	13
112	что же	5	13
113	могут быть	4	13
114	для них	2	13
115	что и	5	13
116	сводится к	5	13
117	независимо от	3	13
118	в результате	9	13
119	она не	2	13
120	тем что	3	13
121	ни в	7	13
122	в действительности	3	12
123	по отношению	10	12
124	как это	2	12
125	того чтобы	9	12
126	лишь как	2	12
127	там где	4	12
128	и здесь	9	12
129	к тому	8	12
130	отношению к	9	12
131	и для	15	12
132	уже не	2	12
133	никогда не	7	11
134	этом отношении	4	11
135	это и	3	11
136	в идеологическом	6	11
137	в корне	6	11
138	они не	2	11
139	в основе	10	11
140	так сказать	19	11
141	в большинстве	7	11
142	но не	2	11
143	то ни	12	11
144	слова и	8	11
145	для него	18	11
146	лишь для	4	11
147	зависимости от	4	11
148	между тем	8	11
149	не есть	6	10
150	действительности и	3	10
151	не как	5	10
152	его целом	2	10
153	друг друга	10	10
154	и др	3	10
155	язык как	13	10
156	формы и	4	10
157	дело идет	4	10
158	в зависимости	2	10
159	мы не	6	10
160	не было	6	10
161	в дальнейшем	3	10
162	бы то	11	10
163	мы видели	5	10
164	другой стороны	7	10
165	с ее	2	10
166	не является	11	10
167	как о	2	10
168	в первом	3	10
169	и как	8	10
170	в своих	2	10
171	главным образом	2	10
172	большинстве случаев	7	10
173	конечно не	9	10
174	он не	5	10
175	если же	2	10
176	в слове	13	10
177	тем же	4	10
178	одним словом	2	9
179	быть и	9	9
180	ничего не	9	9
181	является лишь	7	9
182	для понимания	4	9
183	совсем не	2	9
184	здесь не	2	9
185	и до	4	9
186	или иного	2	9
187	в каждом	8	9
188	менее всего	5	9
189	и даже	4	9
190	но ведь	4	9
191	у нас	4	9
192	не могло	3	9
193	язык и	2	9
194	в свою	6	9
195	ни было	15	9
196	со всею	5	9
197	языка в	17	9
198	говорить о	2	9
199	мы знаем	7	9
200	отношения к	2	9
201	в языке	8	9
202	это не	5	8
203	между собой	3	8
204	до сих	10	8
205	в конкретном	4	8
206	одной стороны	2	8
207	и те	7	8
208	с одной	2	8
209	без исключения	9	8
210	в области	3	8
211	же как	2	8
212	что это	3	8
213	с этим	6	8
214	в данном	8	8
215	всех этих	2	8
216	сих пор	10	8
217	следует что	7	8
218	из этого	2	8
219	и является	4	8
220	мы ни	4	8
221	должен быть	2	8
222	и к	3	8
223	для того	8	8
224	не следует	2	8
225	и речи	4	8
226	на основе	4	8
227	ясно что	6	8
228	следовательно и	4	7
229	том что	12	7
230	в себе	5	7
231	в одной	4	7
232	в понимании	2	7
233	свою очередь	5	7
234	как к	2	7
235	направления в	5	7
236	оценки и	3	7
237	или менее	3	7
238	данной социальной	6	7
239	совершается в	5	7
240	социологического метода	3	7
241	установка на	2	7
242	стороны и	2	7
243	более или	3	7
244	даже и	2	7
245	во втором	2	7
246	является для	3	7
247	в систему	3	7
248	в сущности	17	7
249	не на	2	7
250	войти в	3	7
251	значение и	3	7
252	известной степени	2	7
253	форм и	5	7
254	сказать что	7	7
255	идеологических явлений	5	7
256	к этому	10	7
257	того или	2	7
258	пр и	5	7
